# Program:featureCounts v2.0.0; Command:"/home/vera/bin/subread-2.0.0-source/bin/featureCounts" "-a" "/media/vera/big_data/coriandR/genom/bins.gtf" "-o" "output/15980MLL/patient.fc.tsv" "-T" "8" "output/15980MLL/patient.bam" 
Geneid	Chr	Start	End	Strand	Length	output/15980MLL/patient.bam
chr1-34	chr1	34000001	35000000	.	1000000	3392
chr1-35	chr1	35000001	36000000	.	1000000	3197
chr1-36	chr1	36000001	37000000	.	1000000	3556
chr1-37	chr1	37000001	38000000	.	1000000	3507
chr1-38	chr1	38000001	39000000	.	1000000	3321
chr1-39	chr1	39000001	40000000	.	1000000	3465
chr1-40	chr1	40000001	41000000	.	1000000	3441
chr1-41	chr1	41000001	42000000	.	1000000	3448
chr1-42	chr1	42000001	43000000	.	1000000	3090
chr1-43	chr1	43000001	44000000	.	1000000	3395
chr1-44	chr1	44000001	45000000	.	1000000	3482
chr1-45	chr1	45000001	46000000	.	1000000	3368
chr1-46	chr1	46000001	47000000	.	1000000	3238
chr1-47	chr1	47000001	48000000	.	1000000	3441
chr1-48	chr1	48000001	49000000	.	1000000	2976
chr1-49	chr1	49000001	50000000	.	1000000	2486
chr1-50	chr1	50000001	51000000	.	1000000	2861
chr1-51	chr1	51000001	52000000	.	1000000	3222
chr1-52	chr1	52000001	53000000	.	1000000	3225
chr1-53	chr1	53000001	54000000	.	1000000	3466
chr1-54	chr1	54000001	55000000	.	1000000	3479
chr1-55	chr1	55000001	56000000	.	1000000	3076
chr1-56	chr1	56000001	57000000	.	1000000	2925
chr1-57	chr1	57000001	58000000	.	1000000	2871
chr1-58	chr1	58000001	59000000	.	1000000	3071
chr1-59	chr1	59000001	60000000	.	1000000	3004
chr1-60	chr1	60000001	61000000	.	1000000	2698
chr1-61	chr1	61000001	62000000	.	1000000	2845
chr1-62	chr1	62000001	63000000	.	1000000	2738
chr1-63	chr1	63000001	64000000	.	1000000	2843
chr1-64	chr1	64000001	65000000	.	1000000	2951
chr1-65	chr1	65000001	66000000	.	1000000	2837
chr1-66	chr1	66000001	67000000	.	1000000	2736
chr1-67	chr1	67000001	68000000	.	1000000	3128
chr1-68	chr1	68000001	69000000	.	1000000	2632
chr1-69	chr1	69000001	70000000	.	1000000	2067
chr1-70	chr1	70000001	71000000	.	1000000	2465
chr1-71	chr1	71000001	72000000	.	1000000	2041
chr1-72	chr1	72000001	73000000	.	1000000	1529
chr1-73	chr1	73000001	74000000	.	1000000	1796
chr1-74	chr1	74000001	75000000	.	1000000	2058
chr1-75	chr1	75000001	76000000	.	1000000	2508
chr1-76	chr1	76000001	77000000	.	1000000	2660
chr1-77	chr1	77000001	78000000	.	1000000	2845
chr1-78	chr1	78000001	79000000	.	1000000	2529
chr1-79	chr1	79000001	80000000	.	1000000	1845
chr1-80	chr1	80000001	81000000	.	1000000	1910
chr1-81	chr1	81000001	82000000	.	1000000	2251
chr1-82	chr1	82000001	83000000	.	1000000	2142
chr1-83	chr1	83000001	84000000	.	1000000	2463
chr1-84	chr1	84000001	85000000	.	1000000	2724
chr1-85	chr1	85000001	86000000	.	1000000	2651
chr1-86	chr1	86000001	87000000	.	1000000	2701
chr1-87	chr1	87000001	88000000	.	1000000	2780
chr1-88	chr1	88000001	89000000	.	1000000	2524
chr1-89	chr1	89000001	90000000	.	1000000	3005
chr1-90	chr1	90000001	91000000	.	1000000	2603
chr1-91	chr1	91000001	92000000	.	1000000	2953
chr1-92	chr1	92000001	93000000	.	1000000	2989
chr1-93	chr1	93000001	94000000	.	1000000	2871
chr1-94	chr1	94000001	95000000	.	1000000	3000
chr1-95	chr1	95000001	96000000	.	1000000	2585
chr1-96	chr1	96000001	97000000	.	1000000	2529
chr1-97	chr1	97000001	98000000	.	1000000	1919
chr1-98	chr1	98000001	99000000	.	1000000	2099
chr1-99	chr1	99000001	100000000	.	1000000	2531
chr1-100	chr1	100000001	101000000	.	1000000	2766
chr1-101	chr1	101000001	102000000	.	1000000	2422
chr1-102	chr1	102000001	103000000	.	1000000	1894
chr1-103	chr1	103000001	104000000	.	1000000	2095
chr1-104	chr1	104000001	105000000	.	1000000	1841
chr1-105	chr1	105000001	106000000	.	1000000	1753
chr1-106	chr1	106000001	107000000	.	1000000	2023
chr1-107	chr1	107000001	108000000	.	1000000	2559
chr1-108	chr1	108000001	109000000	.	1000000	3030
chr1-109	chr1	109000001	110000000	.	1000000	3339
chr1-110	chr1	110000001	111000000	.	1000000	3081
chr1-111	chr1	111000001	112000000	.	1000000	3242
chr1-112	chr1	112000001	113000000	.	1000000	3267
chr1-113	chr1	113000001	114000000	.	1000000	2977
chr1-114	chr1	114000001	115000000	.	1000000	2824
chr1-115	chr1	115000001	116000000	.	1000000	3020
chr1-116	chr1	116000001	117000000	.	1000000	3196
chr1-117	chr1	117000001	118000000	.	1000000	2903
chr1-118	chr1	118000001	119000000	.	1000000	2609
chr1-119	chr1	119000001	120000000	.	1000000	3210
chr1-120	chr1	120000001	121000000	.	1000000	3026
chr1-121	chr1	121000001	122000000	.	1000000	2742
chr1-122	chr1	122000001	123000000	.	1000000	7392
chr1-123	chr1	123000001	124000000	.	1000000	11886
chr1-124	chr1	124000001	125000000	.	1000000	16516
chr1-125	chr1	125000001	126000000	.	1000000	7392
chr1-126	chr1	126000001	127000000	.	1000000	0
chr1-127	chr1	127000001	128000000	.	1000000	0
chr1-128	chr1	128000001	129000000	.	1000000	0
chr1-129	chr1	129000001	130000000	.	1000000	0
chr1-130	chr1	130000001	131000000	.	1000000	0
chr1-131	chr1	131000001	132000000	.	1000000	0
chr1-132	chr1	132000001	133000000	.	1000000	0
chr1-133	chr1	133000001	134000000	.	1000000	0
chr1-134	chr1	134000001	135000000	.	1000000	0
chr1-135	chr1	135000001	136000000	.	1000000	0
chr1-136	chr1	136000001	137000000	.	1000000	0
chr1-137	chr1	137000001	138000000	.	1000000	0
chr1-138	chr1	138000001	139000000	.	1000000	0
chr1-139	chr1	139000001	140000000	.	1000000	0
chr1-140	chr1	140000001	141000000	.	1000000	0
chr1-141	chr1	141000001	142000000	.	1000000	0
chr1-142	chr1	142000001	143000000	.	1000000	0
chr1-143	chr1	143000001	144000000	.	1000000	13761
chr1-144	chr1	144000001	145000000	.	1000000	2731
chr1-145	chr1	145000001	146000000	.	1000000	3478
chr1-146	chr1	146000001	147000000	.	1000000	3345
chr1-147	chr1	147000001	148000000	.	1000000	3108
chr1-148	chr1	148000001	149000000	.	1000000	3283
chr1-149	chr1	149000001	150000000	.	1000000	3149
chr1-150	chr1	150000001	151000000	.	1000000	3318
chr1-151	chr1	151000001	152000000	.	1000000	3523
chr1-152	chr1	152000001	153000000	.	1000000	3044
chr1-153	chr1	153000001	154000000	.	1000000	3324
chr1-154	chr1	154000001	155000000	.	1000000	3418
chr1-155	chr1	155000001	156000000	.	1000000	3401
chr1-156	chr1	156000001	157000000	.	1000000	3591
chr1-157	chr1	157000001	158000000	.	1000000	3259
chr1-158	chr1	158000001	159000000	.	1000000	2596
chr1-159	chr1	159000001	160000000	.	1000000	2934
chr1-160	chr1	160000001	161000000	.	1000000	3313
chr1-161	chr1	161000001	162000000	.	1000000	3329
chr1-162	chr1	162000001	163000000	.	1000000	3061
chr1-163	chr1	163000001	164000000	.	1000000	2443
chr1-164	chr1	164000001	165000000	.	1000000	2850
chr1-165	chr1	165000001	166000000	.	1000000	3164
chr1-166	chr1	166000001	167000000	.	1000000	2939
chr1-167	chr1	167000001	168000000	.	1000000	3172
chr1-168	chr1	168000001	169000000	.	1000000	3038
chr1-169	chr1	169000001	170000000	.	1000000	2639
chr1-170	chr1	170000001	171000000	.	1000000	2612
chr1-171	chr1	171000001	172000000	.	1000000	2851
chr1-172	chr1	172000001	173000000	.	1000000	2584
chr1-173	chr1	173000001	174000000	.	1000000	2764
chr1-174	chr1	174000001	175000000	.	1000000	2759
chr1-175	chr1	175000001	176000000	.	1000000	3160
chr1-176	chr1	176000001	177000000	.	1000000	2596
chr1-177	chr1	177000001	178000000	.	1000000	2948
chr1-178	chr1	178000001	179000000	.	1000000	2735
chr1-179	chr1	179000001	180000000	.	1000000	3131
chr1-180	chr1	180000001	181000000	.	1000000	2944
chr1-181	chr1	181000001	182000000	.	1000000	3226
chr1-182	chr1	182000001	183000000	.	1000000	3103
chr1-183	chr1	183000001	184000000	.	1000000	3048
chr1-184	chr1	184000001	185000000	.	1000000	2891
chr1-185	chr1	185000001	186000000	.	1000000	2525
chr1-186	chr1	186000001	187000000	.	1000000	2300
chr1-187	chr1	187000001	188000000	.	1000000	2016
chr1-188	chr1	188000001	189000000	.	1000000	1736
chr1-189	chr1	189000001	190000000	.	1000000	1582
chr1-190	chr1	190000001	191000000	.	1000000	1463
chr1-191	chr1	191000001	192000000	.	1000000	1860
chr1-192	chr1	192000001	193000000	.	1000000	2282
chr1-193	chr1	193000001	194000000	.	1000000	2269
chr1-194	chr1	194000001	195000000	.	1000000	1861
chr1-195	chr1	195000001	196000000	.	1000000	1876
chr1-196	chr1	196000001	197000000	.	1000000	1825
chr1-197	chr1	197000001	198000000	.	1000000	2101
chr1-198	chr1	198000001	199000000	.	1000000	2000
chr1-199	chr1	199000001	200000000	.	1000000	2346
chr1-200	chr1	200000001	201000000	.	1000000	3074
chr1-201	chr1	201000001	202000000	.	1000000	3381
chr1-202	chr1	202000001	203000000	.	1000000	3194
chr1-203	chr1	203000001	204000000	.	1000000	3531
chr1-204	chr1	204000001	205000000	.	1000000	3368
chr1-205	chr1	205000001	206000000	.	1000000	3465
chr1-206	chr1	206000001	207000000	.	1000000	3653
chr1-207	chr1	207000001	208000000	.	1000000	2966
chr1-208	chr1	208000001	209000000	.	1000000	3188
chr1-209	chr1	209000001	210000000	.	1000000	3076
chr1-210	chr1	210000001	211000000	.	1000000	2997
chr1-211	chr1	211000001	212000000	.	1000000	3177
chr1-212	chr1	212000001	213000000	.	1000000	3147
chr1-213	chr1	213000001	214000000	.	1000000	3079
chr1-214	chr1	214000001	215000000	.	1000000	3044
chr1-215	chr1	215000001	216000000	.	1000000	2343
chr1-216	chr1	216000001	217000000	.	1000000	2313
chr1-217	chr1	217000001	218000000	.	1000000	2619
chr1-218	chr1	218000001	219000000	.	1000000	2600
chr1-219	chr1	219000001	220000000	.	1000000	2550
chr1-220	chr1	220000001	221000000	.	1000000	3007
chr1-221	chr1	221000001	222000000	.	1000000	2873
chr1-222	chr1	222000001	223000000	.	1000000	2909
chr1-223	chr1	223000001	224000000	.	1000000	3183
chr1-224	chr1	224000001	225000000	.	1000000	3202
chr1-225	chr1	225000001	226000000	.	1000000	3165
chr1-226	chr1	226000001	227000000	.	1000000	3298
chr1-227	chr1	227000001	228000000	.	1000000	2991
chr1-228	chr1	228000001	229000000	.	1000000	3294
chr1-229	chr1	229000001	230000000	.	1000000	3236
chr1-230	chr1	230000001	231000000	.	1000000	3194
chr1-231	chr1	231000001	232000000	.	1000000	3260
chr1-232	chr1	232000001	233000000	.	1000000	3166
chr1-233	chr1	233000001	234000000	.	1000000	3209
chr1-234	chr1	234000001	235000000	.	1000000	3371
chr1-235	chr1	235000001	236000000	.	1000000	3233
chr1-236	chr1	236000001	237000000	.	1000000	3139
chr1-237	chr1	237000001	238000000	.	1000000	2906
chr1-238	chr1	238000001	239000000	.	1000000	2551
chr1-239	chr1	239000001	240000000	.	1000000	2640
chr1-240	chr1	240000001	241000000	.	1000000	2871
chr1-241	chr1	241000001	242000000	.	1000000	2905
chr1-242	chr1	242000001	243000000	.	1000000	3073
chr1-243	chr1	243000001	244000000	.	1000000	2742
chr1-244	chr1	244000001	245000000	.	1000000	3125
chr1-245	chr1	245000001	246000000	.	1000000	3247
chr1-246	chr1	246000001	247000000	.	1000000	3072
chr1-247	chr1	247000001	248000000	.	1000000	2950
chr1-248	chr1	248000001	248956422	.	956422	2751
chr2-0	chr2	1	1000000	.	1000000	3290
chr2-1	chr2	1000001	2000000	.	1000000	3325
chr2-2	chr2	2000001	3000000	.	1000000	3293
chr2-3	chr2	3000001	4000000	.	1000000	3469
chr2-4	chr2	4000001	5000000	.	1000000	2765
chr2-5	chr2	5000001	6000000	.	1000000	2925
chr2-6	chr2	6000001	7000000	.	1000000	2992
chr2-7	chr2	7000001	8000000	.	1000000	3019
chr2-8	chr2	8000001	9000000	.	1000000	3279
chr2-9	chr2	9000001	10000000	.	1000000	3336
chr2-10	chr2	10000001	11000000	.	1000000	3403
chr2-11	chr2	11000001	12000000	.	1000000	3246
chr2-12	chr2	12000001	13000000	.	1000000	3087
chr2-13	chr2	13000001	14000000	.	1000000	2157
chr2-14	chr2	14000001	15000000	.	1000000	2625
chr2-15	chr2	15000001	16000000	.	1000000	2981
chr2-16	chr2	16000001	17000000	.	1000000	3134
chr2-17	chr2	17000001	18000000	.	1000000	2577
chr2-18	chr2	18000001	19000000	.	1000000	2753
chr2-19	chr2	19000001	20000000	.	1000000	2897
chr2-20	chr2	20000001	21000000	.	1000000	3125
chr2-21	chr2	21000001	22000000	.	1000000	2582
chr2-22	chr2	22000001	23000000	.	1000000	2416
chr2-23	chr2	23000001	24000000	.	1000000	3147
chr2-24	chr2	24000001	25000000	.	1000000	3154
chr2-25	chr2	25000001	26000000	.	1000000	3307
chr2-26	chr2	26000001	27000000	.	1000000	3440
chr2-27	chr2	27000001	28000000	.	1000000	3323
chr2-28	chr2	28000001	29000000	.	1000000	3181
chr2-29	chr2	29000001	30000000	.	1000000	3247
chr2-30	chr2	30000001	31000000	.	1000000	3261
chr2-31	chr2	31000001	32000000	.	1000000	2942
chr2-32	chr2	32000001	33000000	.	1000000	3284
chr2-33	chr2	33000001	34000000	.	1000000	2956
chr2-34	chr2	34000001	35000000	.	1000000	2335
chr2-35	chr2	35000001	36000000	.	1000000	1906
chr2-36	chr2	36000001	37000000	.	1000000	2878
chr2-37	chr2	37000001	38000000	.	1000000	2930
chr2-38	chr2	38000001	39000000	.	1000000	2993
chr2-39	chr2	39000001	40000000	.	1000000	2786
chr2-40	chr2	40000001	41000000	.	1000000	2004
chr2-41	chr2	41000001	42000000	.	1000000	2438
chr2-42	chr2	42000001	43000000	.	1000000	3410
chr2-43	chr2	43000001	44000000	.	1000000	3034
chr2-44	chr2	44000001	45000000	.	1000000	3014
chr2-45	chr2	45000001	46000000	.	1000000	3072
chr2-46	chr2	46000001	47000000	.	1000000	3095
chr2-47	chr2	47000001	48000000	.	1000000	3311
chr2-48	chr2	48000001	49000000	.	1000000	3081
chr2-49	chr2	49000001	50000000	.	1000000	2325
chr2-50	chr2	50000001	51000000	.	1000000	1827
chr2-51	chr2	51000001	52000000	.	1000000	1854
chr2-52	chr2	52000001	53000000	.	1000000	2017
chr2-53	chr2	53000001	54000000	.	1000000	2496
chr2-54	chr2	54000001	55000000	.	1000000	3071
chr2-55	chr2	55000001	56000000	.	1000000	3088
chr2-56	chr2	56000001	57000000	.	1000000	2200
chr2-57	chr2	57000001	58000000	.	1000000	1928
chr2-58	chr2	58000001	59000000	.	1000000	2416
chr2-59	chr2	59000001	60000000	.	1000000	2579
chr2-60	chr2	60000001	61000000	.	1000000	3372
chr2-61	chr2	61000001	62000000	.	1000000	3169
chr2-62	chr2	62000001	63000000	.	1000000	2952
chr2-63	chr2	63000001	64000000	.	1000000	2559
chr2-64	chr2	64000001	65000000	.	1000000	3305
chr2-65	chr2	65000001	66000000	.	1000000	3187
chr2-66	chr2	66000001	67000000	.	1000000	2841
chr2-67	chr2	67000001	68000000	.	1000000	2707
chr2-68	chr2	68000001	69000000	.	1000000	2899
chr2-69	chr2	69000001	70000000	.	1000000	3264
chr2-70	chr2	70000001	71000000	.	1000000	3412
chr2-71	chr2	71000001	72000000	.	1000000	3281
chr2-72	chr2	72000001	73000000	.	1000000	2892
chr2-73	chr2	73000001	74000000	.	1000000	3183
chr2-74	chr2	74000001	75000000	.	1000000	3510
chr2-75	chr2	75000001	76000000	.	1000000	3032
chr2-76	chr2	76000001	77000000	.	1000000	2211
chr2-77	chr2	77000001	78000000	.	1000000	1846
chr2-78	chr2	78000001	79000000	.	1000000	1926
chr2-79	chr2	79000001	80000000	.	1000000	2465
chr2-80	chr2	80000001	81000000	.	1000000	2562
chr2-81	chr2	81000001	82000000	.	1000000	1911
chr2-82	chr2	82000001	83000000	.	1000000	2038
chr2-83	chr2	83000001	84000000	.	1000000	2093
chr2-84	chr2	84000001	85000000	.	1000000	2908
chr2-85	chr2	85000001	86000000	.	1000000	3501
chr2-86	chr2	86000001	87000000	.	1000000	3023
chr2-87	chr2	87000001	88000000	.	1000000	3035
chr2-88	chr2	88000001	89000000	.	1000000	3203
chr2-89	chr2	89000001	90000000	.	1000000	2607
chr2-90	chr2	90000001	91000000	.	1000000	1970
chr2-91	chr2	91000001	92000000	.	1000000	2730
chr2-92	chr2	92000001	93000000	.	1000000	2622
chr2-93	chr2	93000001	94000000	.	1000000	1408
chr2-94	chr2	94000001	95000000	.	1000000	2020
chr2-95	chr2	95000001	96000000	.	1000000	3066
chr2-96	chr2	96000001	97000000	.	1000000	3466
chr2-97	chr2	97000001	98000000	.	1000000	2628
chr2-98	chr2	98000001	99000000	.	1000000	3210
chr2-99	chr2	99000001	100000000	.	1000000	3096
chr2-100	chr2	100000001	101000000	.	1000000	3266
chr2-101	chr2	101000001	102000000	.	1000000	3459
chr2-102	chr2	102000001	103000000	.	1000000	2974
chr2-103	chr2	103000001	104000000	.	1000000	2333
chr2-104	chr2	104000001	105000000	.	1000000	2719
chr2-105	chr2	105000001	106000000	.	1000000	3085
chr2-106	chr2	106000001	107000000	.	1000000	3027
chr2-107	chr2	107000001	108000000	.	1000000	2591
chr2-108	chr2	108000001	109000000	.	1000000	2974
chr2-109	chr2	109000001	110000000	.	1000000	3273
chr2-110	chr2	110000001	111000000	.	1000000	3135
chr2-111	chr2	111000001	112000000	.	1000000	3457
chr2-112	chr2	112000001	113000000	.	1000000	3245
chr2-113	chr2	113000001	114000000	.	1000000	3175
chr2-114	chr2	114000001	115000000	.	1000000	2803
chr2-115	chr2	115000001	116000000	.	1000000	2205
chr2-116	chr2	116000001	117000000	.	1000000	2232
chr2-117	chr2	117000001	118000000	.	1000000	2882
chr2-118	chr2	118000001	119000000	.	1000000	3246
chr2-119	chr2	119000001	120000000	.	1000000	3173
chr2-120	chr2	120000001	121000000	.	1000000	3387
chr2-121	chr2	121000001	122000000	.	1000000	3335
chr2-122	chr2	122000001	123000000	.	1000000	2682
chr2-123	chr2	123000001	124000000	.	1000000	2129
chr2-124	chr2	124000001	125000000	.	1000000	2837
chr2-125	chr2	125000001	126000000	.	1000000	2157
chr2-126	chr2	126000001	127000000	.	1000000	2949
chr2-127	chr2	127000001	128000000	.	1000000	3317
chr2-128	chr2	128000001	129000000	.	1000000	3278
chr2-129	chr2	129000001	130000000	.	1000000	3025
chr2-130	chr2	130000001	131000000	.	1000000	3153
chr2-131	chr2	131000001	132000000	.	1000000	2955
chr2-132	chr2	132000001	133000000	.	1000000	3020
chr2-133	chr2	133000001	134000000	.	1000000	2857
chr2-134	chr2	134000001	135000000	.	1000000	3057
chr2-135	chr2	135000001	136000000	.	1000000	2961
chr2-136	chr2	136000001	137000000	.	1000000	3064
chr2-137	chr2	137000001	138000000	.	1000000	2445
chr2-138	chr2	138000001	139000000	.	1000000	2641
chr2-139	chr2	139000001	140000000	.	1000000	2028
chr2-140	chr2	140000001	141000000	.	1000000	1737
chr2-141	chr2	141000001	142000000	.	1000000	1765
chr2-142	chr2	142000001	143000000	.	1000000	2020
chr2-143	chr2	143000001	144000000	.	1000000	2380
chr2-144	chr2	144000001	145000000	.	1000000	2377
chr2-145	chr2	145000001	146000000	.	1000000	2037
chr2-146	chr2	146000001	147000000	.	1000000	1884
chr2-147	chr2	147000001	148000000	.	1000000	2481
chr2-148	chr2	148000001	149000000	.	1000000	2775
chr2-149	chr2	149000001	150000000	.	1000000	2773
chr2-150	chr2	150000001	151000000	.	1000000	2621
chr2-151	chr2	151000001	152000000	.	1000000	2856
chr2-152	chr2	152000001	153000000	.	1000000	3017
chr2-153	chr2	153000001	154000000	.	1000000	2370
chr2-154	chr2	154000001	155000000	.	1000000	1818
chr2-155	chr2	155000001	156000000	.	1000000	1624
chr2-156	chr2	156000001	157000000	.	1000000	2300
chr2-157	chr2	157000001	158000000	.	1000000	2603
chr2-158	chr2	158000001	159000000	.	1000000	2960
chr2-159	chr2	159000001	160000000	.	1000000	2756
chr2-160	chr2	160000001	161000000	.	1000000	2857
chr2-161	chr2	161000001	162000000	.	1000000	2208
chr2-162	chr2	162000001	163000000	.	1000000	1969
chr2-163	chr2	163000001	164000000	.	1000000	1998
chr2-164	chr2	164000001	165000000	.	1000000	2246
chr2-165	chr2	165000001	166000000	.	1000000	2283
chr2-166	chr2	166000001	167000000	.	1000000	1961
chr2-167	chr2	167000001	168000000	.	1000000	2432
chr2-168	chr2	168000001	169000000	.	1000000	2865
chr2-169	chr2	169000001	170000000	.	1000000	2797
chr2-170	chr2	170000001	171000000	.	1000000	2890
chr2-171	chr2	171000001	172000000	.	1000000	2946
chr2-172	chr2	172000001	173000000	.	1000000	3100
chr2-173	chr2	173000001	174000000	.	1000000	3051
chr2-174	chr2	174000001	175000000	.	1000000	2803
chr2-175	chr2	175000001	176000000	.	1000000	2636
chr2-176	chr2	176000001	177000000	.	1000000	2724
chr2-177	chr2	177000001	178000000	.	1000000	2878
chr2-178	chr2	178000001	179000000	.	1000000	2563
chr2-179	chr2	179000001	180000000	.	1000000	2470
chr2-180	chr2	180000001	181000000	.	1000000	2081
chr2-181	chr2	181000001	182000000	.	1000000	2219
chr2-182	chr2	182000001	183000000	.	1000000	2281
chr2-183	chr2	183000001	184000000	.	1000000	2264
chr2-184	chr2	184000001	185000000	.	1000000	1591
chr2-185	chr2	185000001	186000000	.	1000000	1790
chr2-186	chr2	186000001	187000000	.	1000000	2182
chr2-187	chr2	187000001	188000000	.	1000000	1872
chr2-188	chr2	188000001	189000000	.	1000000	2031
chr2-189	chr2	189000001	190000000	.	1000000	2459
chr2-190	chr2	190000001	191000000	.	1000000	2728
chr2-191	chr2	191000001	192000000	.	1000000	2743
chr2-192	chr2	192000001	193000000	.	1000000	1783
chr2-193	chr2	193000001	194000000	.	1000000	1655
chr2-194	chr2	194000001	195000000	.	1000000	1542
chr2-195	chr2	195000001	196000000	.	1000000	2411
chr2-196	chr2	196000001	197000000	.	1000000	2916
chr2-197	chr2	197000001	198000000	.	1000000	2903
chr2-198	chr2	198000001	199000000	.	1000000	2243
chr2-199	chr2	199000001	200000000	.	1000000	2670
chr2-200	chr2	200000001	201000000	.	1000000	3012
chr2-201	chr2	201000001	202000000	.	1000000	3032
chr2-202	chr2	202000001	203000000	.	1000000	3150
chr2-203	chr2	203000001	204000000	.	1000000	2898
chr2-204	chr2	204000001	205000000	.	1000000	2660
chr2-205	chr2	205000001	206000000	.	1000000	2783
chr2-206	chr2	206000001	207000000	.	1000000	2951
chr2-207	chr2	207000001	208000000	.	1000000	2991
chr2-208	chr2	208000001	209000000	.	1000000	2590
chr2-209	chr2	209000001	210000000	.	1000000	2268
chr2-210	chr2	210000001	211000000	.	1000000	2170
chr2-211	chr2	211000001	212000000	.	1000000	1950
chr2-212	chr2	212000001	213000000	.	1000000	1820
chr2-213	chr2	213000001	214000000	.	1000000	2157
chr2-214	chr2	214000001	215000000	.	1000000	2228
chr2-215	chr2	215000001	216000000	.	1000000	2754
chr2-216	chr2	216000001	217000000	.	1000000	3276
chr2-217	chr2	217000001	218000000	.	1000000	3318
chr2-218	chr2	218000001	219000000	.	1000000	3398
chr2-219	chr2	219000001	220000000	.	1000000	3165
chr2-220	chr2	220000001	221000000	.	1000000	2603
chr2-221	chr2	221000001	222000000	.	1000000	2887
chr2-222	chr2	222000001	223000000	.	1000000	3077
chr2-223	chr2	223000001	224000000	.	1000000	2973
chr2-224	chr2	224000001	225000000	.	1000000	3031
chr2-225	chr2	225000001	226000000	.	1000000	2260
chr2-226	chr2	226000001	227000000	.	1000000	2828
chr2-227	chr2	227000001	228000000	.	1000000	2919
chr2-228	chr2	228000001	229000000	.	1000000	2581
chr2-229	chr2	229000001	230000000	.	1000000	3191
chr2-230	chr2	230000001	231000000	.	1000000	3124
chr2-231	chr2	231000001	232000000	.	1000000	3483
chr2-232	chr2	232000001	233000000	.	1000000	3161
chr2-233	chr2	233000001	234000000	.	1000000	3532
chr2-234	chr2	234000001	235000000	.	1000000	3347
chr2-235	chr2	235000001	236000000	.	1000000	3290
chr2-236	chr2	236000001	237000000	.	1000000	3339
chr2-237	chr2	237000001	238000000	.	1000000	3324
chr2-238	chr2	238000001	239000000	.	1000000	3464
chr2-239	chr2	239000001	240000000	.	1000000	3558
chr2-240	chr2	240000001	241000000	.	1000000	3420
chr2-241	chr2	241000001	242000000	.	1000000	3470
chr2-242	chr2	242000001	242193529	.	193529	574
chr3-0	chr3	1	1000000	.	1000000	2234
chr3-1	chr3	1000001	2000000	.	1000000	2227
chr3-2	chr3	2000001	3000000	.	1000000	2611
chr3-3	chr3	3000001	4000000	.	1000000	2856
chr3-4	chr3	4000001	5000000	.	1000000	3166
chr3-5	chr3	5000001	6000000	.	1000000	2979
chr3-6	chr3	6000001	7000000	.	1000000	2462
chr3-7	chr3	7000001	8000000	.	1000000	2506
chr3-8	chr3	8000001	9000000	.	1000000	3105
chr3-9	chr3	9000001	10000000	.	1000000	3354
chr3-10	chr3	10000001	11000000	.	1000000	3419
chr3-11	chr3	11000001	12000000	.	1000000	3242
chr3-12	chr3	12000001	13000000	.	1000000	3188
chr3-13	chr3	13000001	14000000	.	1000000	3445
chr3-14	chr3	14000001	15000000	.	1000000	3427
