""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"mean"	"sd"
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	2.21909696521095	2.1521568627451	2.12855637513172	2.11320754716981	1.79264844486334	1.82835101253616	1.89185072353389	2.14048059149723	2.09317269076305	1.88082901554404	2.05599214145383	2.13898305084746	1.95738636363636	2.16831683168317	2.09107692307692	2.0434737026462	0.136228093877532
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	2.01776461880089	2.19764705882353	2.03161222339305	2.09164420485175	2.18473138548539	1.92092574734812	1.97867479055598	2.26987060998152	1.98875502008032	2.10103626943005	2.1532416502947	1.99322033898305	2.15909090909091	2.16831683168317	2.208	2.09763544392016	0.103585467279832
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	2.12583271650629	1.9921568627451	2.02528977871444	2.05390835579515	2.35626767200754	2	1.85529322162986	2.18299445471349	1.90200803212851	2.09585492227979	2.10314341846758	1.75593220338983	2.05113636363636	1.83168316831683	2.11938461538462	2.03005905238103	0.151525095474248
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	2.95484826054774	2.51921568627451	2.78398314014752	2.53099730458221	2.44297832233742	2.62873674059788	2.27570449352628	3.29205175600739	2.70200803212851	2.56217616580311	2.70137524557957	2.26440677966102	2.27272727272727	3.03960396039604	2.74276923076923	2.64757215940571	0.293034723227026
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	2.26498889711325	2.01725490196078	2.11380400421496	2.09703504043127	1.97549481621112	2.07907425265188	2.14927646610815	2.19038817005545	2.05943775100402	2.1139896373057	2.23673870333988	2.06101694915254	2.11647727272727	2.46534653465347	2.31630769230769	2.15044207261583	0.126839542497271
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	2.18060695780903	2.08	2.01685985247629	2.35849056603774	1.99057492931197	1.96914175506268	1.94821020563595	2.32902033271719	2.0144578313253	2.05440414507772	2.33300589390963	2.01694915254237	2.01988636363636	1.71287128712871	2.19138461538462	2.08105759253704	0.172182775559709
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	2.01776461880089	2.24	2.07165437302424	2.10512129380054	1.89632422243167	1.95756991321119	1.85529322162986	2.18299445471349	1.93413654618474	2.02849740932642	2.17485265225933	1.94915254237288	1.89488636363636	1.96039603960396	2.24061538461538	2.03395060237406	0.128898878389577
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	2.19541080680977	2.12392156862745	1.97260273972603	2.00269541778976	1.97360980207352	2.01735776277724	1.90555978674791	2.09981515711645	1.96947791164659	2.09585492227979	2.15422396856582	1.85762711864407	1.96306818181818	2.15841584158416	2.11446153846154	2.04027350164455	0.101272637446448
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	2.0059215396003	2.09411764705882	2.06743940990516	1.91913746630728	1.98868991517436	1.85535197685632	1.90708301599391	2.17744916820702	1.89076305220884	2.14766839378238	2.16502946954813	1.96271186440678	2.03125	2.0990099009901	2.03015384615385	2.02278511107955	0.102615062805358
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	2.00296076980015	2.10352941176471	1.96206533192835	2.12129380053908	2.11687087653157	1.93249758919961	2.05483625285605	2.28650646950092	1.97751004016064	2.20466321243523	2.30648330058939	2.06101694915254	1.87784090909091	1.99009900990099	2.24984615384615	2.08320133848642	0.131974462499575
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	1.98667653589933	1.97647058823529	2.18967334035827	1.97843665768194	1.96606974552309	1.80713596914176	1.92079207920792	2.05545286506469	1.85863453815261	1.96891191709845	2.0992141453831	2.06101694915254	2.05113636363636	2.00990099009901	2.10215384615385	2.00211176871922	0.097272614966516
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	1.96891191709845	2.04549019607843	2.18756585879874	2.07277628032345	1.94910461828464	1.94599807135969	2.01675552170602	1.9630314232902	1.90522088353414	2.02331606217617	2.31532416502947	2.14237288135593	1.94602272727273	2.02970297029703	2.11815384615385	2.04198316151726	0.110586287781172
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	2.06069578090303	2.05176470588235	1.91780821917808	1.90835579514825	1.8435438265787	1.87849566055931	2.03655750190404	2.11829944547135	1.8859437751004	1.97150259067358	2.14636542239686	1.90847457627119	1.85511363636364	2.31683168316832	2.25723076923077	2.01046555925532	0.147747503848375
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	2.0340488527017	2.10980392156863	2.08640674394099	1.83288409703504	1.93213949104618	1.90549662487946	1.85529322162986	2.15896487985213	1.80722891566265	2.12176165803109	2.1188605108055	1.80677966101695	1.87215909090909	1.94059405940594	2.02769230769231	1.97400760241183	0.126012915093524
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	2.02664692820133	2.21647058823529	2.02107481559536	2.0377358490566	2.06786050895382	1.86692381870781	1.92536176694593	2.22181146025878	1.99036144578313	1.87046632124352	2.1434184675835	1.95254237288136	1.96590909090909	1.93069306930693	2.15938461538462	2.02644407460314	0.115602750815441
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	2.01776461880089	1.92	2.17281348788198	1.82749326145553	1.85862393967955	1.94599807135969	1.83853769992384	1.88354898336414	1.86184738955823	1.96113989637306	2.24557956777996	1.95593220338983	1.72727272727273	1.82178217821782	2.048	1.93908893500382	0.137454903360204
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	2.01036269430052	2.08627450980392	2.16649104320337	2.03234501347709	2.03958529688973	2.00964320154291	2.05940594059406	2.13493530499076	1.96465863453815	2.06217616580311	2.2475442043222	1.92542372881356	1.88920454545455	1.95049504950495	2.16861538461538	2.04981071452362	0.0991421367171995
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	2.0740192450037	2.0156862745098	2.10958904109589	2.07008086253369	1.88878416588124	1.90935390549662	1.96648895658797	2.2550831792976	2.06265060240964	2.03886010362694	2.37819253438114	2.18983050847458	1.98863636363636	2.10891089108911	2.40061538461538	2.09711880124265	0.152344765441145
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	1.90377498149519	2.11764705882353	2.17281348788198	1.86522911051213	1.93590951932139	1.86306653809065	2.01370906321401	2.02772643253235	1.81847389558233	2.10362694300518	2.21414538310413	1.84745762711864	1.98295454545455	1.87128712871287	2.152	1.99265478098993	0.132802967026458
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	2.01924500370096	2.10509803921569	2.04214963119073	2.01347708894879	2.04147031102733	1.98457087753134	2.17669459253618	1.97227356746765	1.93413654618474	1.85492227979275	2.14734774066798	1.90508474576271	1.86931818181818	2.0990099009901	2.12307692307692	2.01919169532747	0.0999754902549512
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	2.12583271650629	2.22745098039216	2.08640674394099	1.81401617250674	2.02827521206409	1.91513982642237	1.99086062452399	2.28835489833641	1.89076305220884	2.20466321243523	2.32809430255403	2.08813559322034	2.10795454545455	2.08910891089109	2.31507692307692	2.10000891430227	0.155593688693366
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	2.13471502590674	2.04549019607843	2.13487881981033	2.00808625336927	1.92648444863336	1.88042430086789	2.08377760853008	2.39001848428835	1.96787148594378	1.85751295336788	2.24459724950884	1.87457627118644	2.18465909090909	2.18811881188119	2.12923076923077	2.07002945130083	0.152791008960248
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	2	1.89333333333333	2.07165437302424	2.02156334231806	1.97172478793591	1.7801350048216	1.94516374714395	2.06284658040665	1.95502008032129	1.93264248704663	2.05893909626719	1.94237288135593	1.93465909090909	1.87128712871287	2.02215384615385	1.96423305198337	0.0795374832021253
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	2.09770540340489	2.07843137254902	2.16649104320337	2.18598382749326	2.03958529688973	2.03857280617165	1.9040365575019	2.12014787430684	1.97751004016064	2.04145077720207	2.24950884086444	2.10508474576271	1.82670454545455	2.01980198019802	2.27630769230769	2.07515485356472	0.120200265330642
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	2.119911176906	1.9921568627451	2.05690200210748	2.11320754716981	2.01131008482564	1.98071359691418	2.03808073115004	2.24953789279113	2.00803212851406	1.95077720207254	2.30943025540275	2.08474576271186	2.09943181818182	2.04950495049505	2.21969230769231	2.08556228797865	0.103826112557537
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	2.02220577350111	2.0721568627451	2.2781875658588	2.19137466307278	1.99245994344958	1.93056894889103	1.91622239146992	2.28650646950092	1.94859437751004	1.82383419689119	2.12573673870334	1.95593220338983	2.11079545454545	2.08910891089109	2.20246153846154	2.06307640259211	0.138008877551339
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	2.16728349370836	2.04705882352941	2.15595363540569	1.84366576819407	1.96418473138549	1.89778206364513	1.93907083015994	2.1090573012939	1.94859437751004	2.11658031088083	2.11001964636542	2.30508474576271	1.85511363636364	1.82178217821782	2.21107692307692	2.03282056436663	0.148531173973555
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	1.94374537379719	2.04862745098039	2.14752370916754	2.05390835579515	1.99622997172479	1.80135004821601	2.01218583396801	1.91866913123845	1.99036144578313	2.10621761658031	2.08546168958743	1.94237288135593	2.0625	2	2.064	2.01154356721296	0.0863716630940656
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	2.10362694300518	2.13019607843137	2.11169652265543	2.09703504043127	2.07728557964185	1.96142719382835	1.97258187357197	2.15526802218115	1.96465863453815	2.13989637305699	2.14145383104126	2.10508474576271	1.96875	2.27722772277228	2.04061538461538	2.08312026303556	0.0884876975773827
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	2.0340488527017	2.00156862745098	2.06322444678609	2.06469002695418	2.01696512723845	1.7357762777242	1.99390708301599	2.06099815157116	2.04497991967872	1.9119170984456	2.10314341846758	2.14237288135593	2.14488636363636	1.86138613861386	2.048	2.01519096090939	0.107883064566717
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	2.13767579570688	2.17098039215686	1.98103266596417	2.05390835579515	2.06409048067861	1.96914175506268	1.98781416603199	2.1996303142329	2.15421686746988	1.99740932642487	2.32318271119843	1.7864406779661	2.02556818181818	2.14851485148515	2.31692307692308	2.087768641261	0.140905283346526
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	2.00296076980015	2.0156862745098	2.02107481559536	2.05390835579515	2.0923656927427	2.03857280617165	1.90555978674791	1.90757855822551	1.96787148594378	2.12694300518135	2.2229862475442	2.35593220338983	1.97159090909091	2.01980198019802	2.17107692307692	2.05826065426755	0.120769663384855
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	2.07549962990378	1.91843137254902	2.0927291886196	2.09433962264151	1.92459943449576	1.89971070395371	1.85224676313785	1.96118299445471	2.06425702811245	2.02849740932642	2.05500982318271	1.91864406779661	2.13068181818182	2.31683168316832	2.04184615384615	2.02496717955803	0.117528099437686
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	2.039970392302	2.0078431372549	2.17070600632244	1.97843665768194	1.96418473138549	1.99614271938284	1.87661843107388	2.22550831792976	1.90682730923695	2.16839378238342	2.11689587426326	2.03050847457627	1.97159090909091	1.92079207920792	2.184	2.0372279214728	0.110330839578712
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	1.98223538119911	2.29333333333333	2.08429926238145	2.16172506738544	1.93025447690858	2.12150433944069	1.99086062452399	2.02772643253235	2.06104417670683	2.12694300518135	2.23575638506876	1.95593220338983	2.02272727272727	2.05940594059406	2.15876923076923	2.08083447547615	0.103062205126241
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	2.15988156920799	2.03294117647059	1.99578503688093	2.20485175202156	2.07540056550424	2	2.1005331302361	2.13308687615527	2.13654618473896	1.97927461139896	2.02554027504912	2.14576271186441	2.02272727272727	2.0990099009901	2.13415384615385	2.08303299395996	0.0696965690616929
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	2.08142116950407	1.95294117647059	1.93256059009484	2.07816711590297	1.89255419415646	2.03857280617165	1.95277989337395	1.99260628465804	2.21044176706827	1.96373056994819	1.84970530451866	2.10169491525424	2.15340909090909	1.92079207920792	1.91876923076923	2.00267641253388	0.103388923818991
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	2.04293116210215	2.03921568627451	2.0231822971549	2.01617250673854	2.01696512723845	2.14850530376085	2.06245239908606	1.9815157116451	1.97751004016064	2.12694300518135	2.01080550098232	2.06779661016949	2.01136363636364	2.07920792079208	2.01230769230769	2.04112497333052	0.0487578230250075
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	1.91857883049593	1.87764705882353	2.15173867228662	2.14016172506739	2.0923656927427	1.91321118611379	2.0959634424981	1.92606284658041	1.91646586345382	1.95854922279793	2.024557956778	1.83728813559322	2.10795454545455	1.95049504950495	1.94523076923077	1.99041806649478	0.102298841329498
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	1.95706883789785	1.87137254901961	1.98735511064278	1.94609164420485	2.0320452403393	1.96142719382835	1.81416603198781	1.8909426987061	2.07710843373494	2.06735751295337	2.01277013752456	1.9864406779661	2.15909090909091	2.22772277227723	2.06892307692308	2.00399218847312	0.107870692899869
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	2.119911176906	2.05803921568627	2.19599578503688	2.19946091644205	2.07163053722903	1.9556412729026	2.06549885757807	2.09796672828096	2.02409638554217	2.12953367875648	2.28880157170923	2.09491525423729	1.96590909090909	2.16831683168317	2.28430769230769	2.1146683330138	0.0999280206958013
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	2.13619541080681	2.10666666666667	1.95574288724974	2.05390835579515	2.02639019792648	1.86306653809065	2.14318354912414	2.24768946395564	1.8714859437751	2.00777202072539	2.24361493123772	1.59661016949153	1.83522727272727	2.14851485148515	2.19753846153846	2.02890711470639	0.17937038291969
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	2.01036269430052	2.05960784313725	2.29504741833509	2.1078167115903	2.04147031102733	1.93249758919961	1.98324447829398	2.08133086876155	2.10281124497992	2.10621761658031	2.11296660117878	1.90847457627119	2.07386363636364	2.03960396039604	2.06830769230769	2.06157488284821	0.0899677209167652
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	2.05625462620281	2.06117647058824	2.14752370916754	1.99460916442049	1.98491988689915	2.0771456123433	2.06245239908606	2.06839186691312	1.94377510040161	2.08549222797927	2.13654223968566	2.10847457627119	2.17897727272727	2.02970297029703	2.09107692307692	2.06843433640398	0.062847884467235
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	2.04885270170244	2.08156862745098	2.17702845100105	2.17250673854447	2.02639019792648	2.09643201542912	1.8964204112719	2.17190388170055	2.07871485943775	2.14766839378238	2.08939096267191	2.09491525423729	2.05113636363636	2.34653465346535	2.09969230769231	2.10527705466336	0.0970292431366621
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	2.16580310880829	2.04078431372549	2.12223393045311	2.10242587601078	2.01319509896324	1.98457087753134	1.98933739527799	2.15526802218115	1.88755020080321	2.1139896373057	2.00098231827112	2.02033898305085	2.02840909090909	2.06930693069307	2.05169230769231	2.04972587277845	0.0739044569591202
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	2.0340488527017	2.20392156862745	2.33298208640674	2.23180592991914	2.02262016965127	1.9672131147541	1.998476770754	2.181146025878	2.0578313253012	2.16839378238342	1.94302554027505	2.13559322033898	2.17613636363636	1.74257425742574	2.06092307692308	2.08377947233175	0.144125053844971
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	2.11695040710585	1.95450980392157	1.94520547945205	2.07277628032345	2.10744580584354	2.0327868852459	2.03351104341203	2.17560073937153	2.10602409638554	2.08290155440414	2.03438113948919	1.88135593220339	2.22727272727273	2.01980198019802	2.02953846153846	2.05467082241116	0.0886727839205848
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	1.97483345669874	1.94039215686275	2.20653319283456	2.00269541778976	1.97172478793591	1.98457087753134	1.93145468392993	2.06654343807763	1.98714859437751	2.13730569948187	2.05304518664047	2.12881355932203	1.96022727272727	1.84158415841584	2.00123076923077	2.01254021679043	0.092488824186356
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	1.86084381939304	1.99686274509804	2.10958904109589	1.90835579514825	2.09048067860509	1.94406943105111	2.00913937547601	2.21072088724584	1.94538152610442	2.05181347150259	1.98919449901768	2.03728813559322	1.90340909090909	1.78217821782178	1.96676923076923	1.98707306298875	0.106279051115489
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	2.02072538860104	2.21960784313726	1.91570073761855	2.16172506738544	2.14514608859566	2.06171648987464	2.06854531607007	1.8724584103512	1.95823293172691	2.01554404145078	1.98231827111984	1.92881355932203	1.85795454545455	1.96039603960396	1.98092307692308	2.009987187149	0.105471577916099
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	2.03700962250185	1.96235294117647	2.20021074815595	2.05929919137466	2.04147031102733	2.03085824493732	2.09139375476009	1.93345656192237	2.04819277108434	2.09067357512953	2.08840864440079	2.21016949152542	1.90340909090909	2.20792079207921	2.01538461538462	2.06134735709127	0.0928582764408178
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	2.09326424870466	1.98588235294118	2.06743940990516	1.98382749326146	1.88501413760603	2.0771456123433	2.05940594059406	1.96487985212569	2.13493975903614	2.12176165803109	1.98919449901768	1.96271186440678	2.125	2.07920792079208	1.96430769230769	2.0329321627382	0.0751615241113902
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	2.1139896373057	2.11450980392157	2.07797681770285	1.78167115902965	1.93025447690858	2.00385728061717	2.003046458492	1.90388170055453	1.90682730923695	2.14766839378238	1.95874263261297	2.06101694915254	1.91761363636364	1.71287128712871	1.99323076923077	1.97514388746933	0.122446054006253
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	1.99259807549963	1.98117647058824	2.01896733403583	2.02156334231806	1.99434495758718	2.1099324975892	1.95734958111196	1.96672828096118	2.00481927710843	2.12694300518135	2.09528487229862	2.28135593220339	2.03977272727273	1.78217821782178	2.01907692307692	2.02613943297697	0.106837074903212
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	1.99555884529978	1.9921568627451	2.07376185458377	2.07816711590297	1.99434495758718	1.97107039537126	1.91774562071592	1.95378927911275	2.19759036144578	1.87564766839378	2.03536345776031	2.10847457627119	2.16477272727273	1.6039603960396	2.00923076923077	1.99810899251553	0.139630638317016
"chr1-69"	"chr1"	69000001	70000000	"."	1000000	2.06217616580311	1.85882352941176	1.84826132771338	2.09164420485175	1.97926484448633	2.12150433944069	2.00609291698401	1.97227356746765	2.06746987951807	1.92487046632124	1.91159135559921	2.09491525423729	1.99715909090909	1.91089108910891	1.88123076923077	1.98187792007222	0.090778051099767
"chr1-70"	"chr1"	70000001	71000000	"."	1000000	1.91265729089563	1.97176470588235	2.03793466807165	1.96765498652291	2.02639019792648	1.96142719382835	1.90860624523991	1.87060998151571	2.09317269076305	1.9559585492228	2.02062868369352	2.04067796610169	2.04261363636364	1.85148514851485	1.92492307692308	1.97243366809771	0.0702046730766394
"chr1-71"	"chr1"	71000001	72000000	"."	1000000	1.92153960029608	1.96862745098039	2.04847207586934	1.92991913746631	2.13006597549482	2.03471552555448	1.95277989337395	1.96487985212569	2.03212851405622	1.80829015544041	1.83889980353635	2.05084745762712	2.10795454545455	1.83168316831683	1.89169230769231	1.96749969755232	0.0993484214197243
"chr1-72"	"chr1"	72000001	73000000	"."	1000000	1.82235381199112	1.72078431372549	1.61222339304531	1.75741239892183	1.9057492931197	1.91321118611379	1.98172124904798	1.70609981515712	2.01927710843374	1.76943005181347	1.77406679764244	1.76271186440678	1.90909090909091	1.91089108910891	1.68984615384615	1.81699129569765	0.117342293708606
"chr1-73"	"chr1"	73000001	74000000	"."	1000000	2.06217616580311	1.81333333333333	1.80821917808219	1.88679245283019	1.91140433553252	2.19093539054966	2.03655750190404	1.8724584103512	1.92610441767068	1.81865284974093	1.82318271119843	1.99322033898305	2.05965909090909	1.92079207920792	1.86523076923077	1.93258126835514	0.113291408628815
"chr1-74"	"chr1"	74000001	75000000	"."	1000000	2.06957809030348	1.94039215686275	1.83140147523709	1.84366576819407	1.96229971724788	1.90356798457088	2.13861386138614	1.95748613678373	1.97429718875502	1.79274611398964	1.89194499017682	2.24406779661017	2.00568181818182	1.91089108910891	1.88184615384615	1.95656535608364	0.119969045576882
"chr1-75"	"chr1"	75000001	76000000	"."	1000000	1.93042190969652	2.00156862745098	1.92202318229715	1.86792452830189	1.88689915174364	2.02314368370299	2.10814927646611	1.97597042513863	2.07389558232932	1.96113989637306	1.96070726915521	2.24067796610169	2.04829545454545	1.98019801980198	1.96430769230769	1.99635484436082	0.094191550119462
"chr1-76"	"chr1"	76000001	77000000	"."	1000000	2.07549962990378	2.08627450980392	2.1622760800843	2.05390835579515	2.01131008482564	2.00771456123433	2.01370906321401	2.05914972273567	1.94056224899598	2.02072538860104	2.0294695481336	1.95932203389831	2.01136363636364	1.99009900990099	1.91507692307692	2.02243071977115	0.06131578385491
"chr1-77"	"chr1"	77000001	78000000	"."	1000000	2.05181347150259	2.16156862745098	1.89251844046365	2.08355795148248	2.11498586239397	1.99614271938284	1.98172124904798	1.96487985212569	2.03052208835341	2.10880829015544	1.99901768172888	2.19661016949153	1.9375	1.98019801980198	1.89723076923077	2.02647167950748	0.091769680778769
"chr1-78"	"chr1"	78000001	79000000	"."	1000000	1.93930421909697	2.09098039215686	1.83983140147524	2.1644204851752	1.96418473138549	2.07521697203472	2.08073115003808	2.07024029574861	2.06746987951807	1.90414507772021	1.8467583497053	2	1.85227272727273	2.1980198019802	1.91692307692308	2.00069990401538	0.115941487692246
"chr1-79"	"chr1"	79000001	80000000	"."	1000000	1.83715766099186	1.80078431372549	1.6522655426765	1.91913746630728	1.97360980207352	2.13693346190935	1.98172124904798	2.04621072088725	1.914859437751	1.82901554404145	1.77799607072692	2.09830508474576	2.07670454545455	1.61386138613861	1.85846153846154	1.9011349216626	0.155705470313378
"chr1-80"	"chr1"	80000001	81000000	"."	1000000	2	1.87294117647059	1.68387776606955	1.97304582210243	1.94910461828464	2.13114754098361	1.99086062452399	1.69870609981516	2.15421686746988	1.83678756476684	1.7328094302554	2.09830508474576	2.09943181818182	2.14851485148515	1.86030769230769	1.94867046383083	0.162759155901733
"chr1-81"	"chr1"	81000001	82000000	"."	1000000	1.93782383419689	2.03137254901961	1.97471022128556	1.80862533692722	2.05843543826579	2.02121504339441	1.97562833206398	1.85027726432532	2.01767068273092	1.91968911917098	1.8811394891945	2.04406779661017	2.08806818181818	2	1.89661538461538	1.96702257824126	0.0819203497223936
"chr1-82"	"chr1"	82000001	83000000	"."	1000000	1.91857883049593	2.07686274509804	1.87987355110643	2.04312668463612	1.93213949104618	2.14079074252652	1.94668697638995	2.04621072088725	2.06907630522088	1.80569948186528	2.02554027504912	2.04067796610169	2.02840909090909	1.85148514851485	1.96738461538462	1.98483617501546	0.0939384148799355
"chr1-83"	"chr1"	83000001	84000000	"."	1000000	2.10362694300518	2.03137254901961	2.1390937829294	2.04851752021563	2.03581526861451	2.12536162005786	2.08834729626809	2.02402957486137	2.11887550200803	2.02072538860104	1.93516699410609	2.08474576271186	1.99147727272727	1.93069306930693	1.98769230769231	2.04436939014168	0.0656009361821512
