""	"Chr"	"Start"	"End"	"Strand"	"Length"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML11_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML12_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML13_S7_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML14_S8_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy1_S4_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy2_S5_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy3_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.Kontrolle.karyotype_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.WholeGenomeHealthy_S7_L001.bam"	"mean"	"sd"
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	378.204338307308	326.837063092788	335.465014276543	336.465348233307	358.995769442784	357.268922878524	358.242257711299	353.109022014685	274.885363961886	342.163677768791	29.6381467112753
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	347.193223365841	294.613690675189	329.681134720051	316.4773077442	345.168395741912	326.536112308328	342.127554077227	325.662580841645	267.651538594468	321.679059785429	25.9877866592482
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	343.41938398143	363.088357062586	332.091084535256	364.781738926209	350.637431608675	347.369411781393	350.804702187881	338.594077163558	298.194356812455	343.220060451049	19.8809709108661
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	359.663301331722	338.345410384787	366.312371911167	364.781738926209	370.243409244239	342.19802538737	366.506208292874	354.164654367494	331.952208527073	354.907480930326	14.0678724137148
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	351.295222696723	298.066194862789	347.996753315609	308.148957540405	355.384141983601	337.765408478207	359.068652769456	343.608330839402	300.605631934928	333.548810491236	24.3929227766011
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	451.219926397006	384.378799552786	385.591970432808	511.360702512996	459.914959587953	421.098606370468	462.36803503915	449.171566120324	371.738248047872	432.982534895707	45.8625208863142
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	373.610099056721	349.853757676787	359.082522465552	414.751840148978	388.40473589613	367.61169566657	388.818874863128	389.792246274805	282.521068516383	368.271871173895	37.5113805438607
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	389.689936433778	342.373331936987	342.694863722158	288.160917051298	367.457296632869	366.429664490794	378.902134165238	391.903510980424	288.951135509643	350.729198991465	39.3684538426304
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	363.273060742898	330.864984644988	321.487305348353	329.802668070271	375.712445111002	356.530153393663	360.721442885772	367.360058777609	304.624423805716	345.597393642252	24.4126480359994
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	359.827381304958	315.328715800788	333.055064461338	363.11606888545	354.558627135788	365.395387211989	373.943763816292	344.663963192211	294.979323315825	344.98536612496	26.0249147565985
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	361.632261010546	333.166654103388	344.622823574322	353.122048640897	340.421685366986	339.686209138845	383.034109456025	368.415691130419	280.10979339391	344.912363979482	29.020521449847
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	385.259777156425	349.853757676787	318.595365570107	334.799678192548	377.260285450652	367.463941769598	401.62799826457	367.623966865812	293.37180656751	355.095175279334	34.3835824700959
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	350.638902803782	349.853757676787	347.996753315609	338.131018274066	352.494840016254	353.575075454221	370.638183583662	368.151783042216	268.053417781547	344.392636883127	30.3150173093286
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	386.736496915543	363.663774427186	330.163124683092	341.462358355584	355.177763271647	346.039626708645	358.655455240378	369.73523157143	319.092074540552	352.302878412673	20.6673733196336
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	358.514741519075	323.959976269788	314.739445865779	389.766789537593	378.498557722372	353.722829351193	379.315331694316	364.457069807384	317.082678605158	353.33971337474	28.4008748904977
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	353.920502268488	306.697455331789	317.631385644025	326.471327988753	340.008927943079	328.604666865937	356.589467594984	355.220286720303	274.483484774807	328.847500570241	26.916422902043
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	358.02250159937	331.440402009588	333.537054424379	324.805657947994	362.091450122083	346.039626708645	386.752887217734	350.469941132662	272.474088839413	340.625956666874	31.7153327463304
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	375.086818815838	332.015819374188	293.049897528934	306.483287499646	343.414176690309	333.776053259961	364.440220647481	339.91361760457	291.362410632116	331.060255783671	29.4036221325405
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	375.414978762309	326.837063092788	320.523325422271	328.136998029512	363.639290461733	344.562087738924	366.919405821953	339.385801428165	312.662007547291	342.008995367216	22.2577427953621
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	397.2376152026	371.719617531586	337.392974128707	354.787718681655	402.541677664932	349.142458545059	403.693985909964	368.943507306823	299.399994373691	364.984394371669	34.3289768009992
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	369.836259672309	313.602463706988	336.428994202625	314.811637703441	360.853177850363	351.211013102668	392.537652624837	353.63683819109	299.399994373691	343.59089238089	30.1522346096088
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	358.678821492311	323.384558905188	317.149395680984	353.122048640897	356.003278119461	362.292555375575	358.242257711299	362.345805101766	286.53986038717	341.973175712739	26.7568523164432
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	388.869536567601	354.457096593587	357.636552576429	351.456378600138	388.198357184177	358.155446260356	381.38131933971	342.024882310188	333.961604462466	361.793463766073	19.9079698263356
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	374.922738842603	318.205802623788	370.650281578536	368.113079007727	357.035171679227	362.440309272547	372.704171229056	359.970632307945	301.409390309085	353.939064094502	26.0458269461442
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	343.911623901136	329.714149915788	328.235164830928	314.811637703441	339.080223739289	337.322146787291	332.624010908415	316.953613930969	301.811269496164	327.162649023713	13.5218498367313
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	375.743138708779	357.334183416587	309.919546235369	339.796688314825	381.697427757648	358.746461848245	374.356961345371	378.708106570309	268.053417781547	349.372881330964	38.1401971142284
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	385.752017076131	353.881679228987	356.190582687306	344.793698437102	372.204007007796	369.384742430235	364.853418176559	359.178908043338	309.84885323774	357.343100702799	21.386882762125
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	355.069062081135	332.015819374188	358.11854253947	351.456378600138	369.314705040449	377.954468454617	382.620911926947	347.303044074234	291.362410632116	351.690593635921	27.5129729483372
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	352.44378250937	391.283807927985	314.739445865779	306.483287499646	370.759356024122	350.619997514779	342.540751606305	331.204650693894	303.0169070574	340.343554077698	29.6979904793037
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	348.341783178488	329.714149915788	349.924713167773	336.465348233307	346.097099945702	352.393044278445	346.259529368014	355.220286720303	284.128585264698	338.727171119169	21.951688168009
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	357.694341652899	357.334183416587	334.01904438742	383.104109374558	342.175904418589	354.018337145138	387.992479804971	374.221669070869	339.989792268648	358.94998461552	19.2062218313654
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	351.295222696723	363.663774427186	363.902422095962	313.145967662682	343.414176690309	356.97341508458	375.596553932607	362.87362127817	317.484557792237	349.81663462894	21.5341009620937
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	388.049136701425	303.244951144189	343.65884364824	361.450398844691	388.507925252107	359.632985230077	354.110282420511	374.221669070869	310.250732424818	353.680769415214	30.5008265912672
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	371.312979431427	399.915068396985	334.501034350461	339.796688314825	364.05204788564	354.018337145138	350.391504658802	368.679599218621	313.06388673437	355.081238459585	24.9616607058504
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	343.255304008195	325.686228363588	361.492472280757	389.766789537593	342.382283130542	340.424978623705	332.624010908415	346.511319809627	336.372879584939	346.501807360818	19.0049127222448
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	353.592342322017	344.675001395387	334.501034350461	323.139987907236	366.21902436115	362.588063169519	382.207714397868	350.733849220864	313.465765921449	347.90253144955	21.6722348211742
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	373.446019083485	332.015819374188	343.176853685199	346.459368477861	361.988260766107	362.144801478603	379.728529223395	386.625349216378	337.176637959097	358.084626584924	19.4449291136716
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	338.332904811137	364.239191791786	343.176853685199	353.122048640897	357.86068652704	334.071561053905	368.572195938268	373.429944806262	351.644288693933	353.827741772047	13.5803707771368
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	308.962589602022	356.758766051987	365.348391985085	323.139987907236	321.744411935211	344.266579944979	311.550936925397	334.635455840523	314.671403482685	331.230947075014	20.340989990661
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	335.871705212607	351.004592405987	341.248893833035	349.790708559379	337.429194043663	344.118826048007	343.780344193542	352.317297750078	346.419859261909	344.664602367578	5.8151755654188
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	338.168824837901	311.876211613188	357.636552576429	328.136998029512	326.181554242207	344.414333841952	336.755986199203	342.28879039839	267.651538594468	328.123421148139	26.0698561379271
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	336.199865159078	337.194575655587	366.312371911167	374.775759170763	346.922614793515	325.649588926496	343.367146664463	344.400055104009	309.045094863582	342.651896916518	19.69604644305
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	382.30633763819	355.607931322787	333.537054424379	364.781738926209	383.038889385344	346.187380605617	390.471664979443	352.053389661876	322.307108037182	358.921277220114	23.3547282737317
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	374.758658869368	271.02157872659	311.365516124492	361.450398844691	368.489190192636	376.476929484896	348.738714542487	363.401437454575	306.633819741109	342.48180488676	37.1992956587573
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	352.936022429076	323.959976269788	351.852673019937	343.128028396343	346.819425437538	374.999390515175	336.342788670124	333.315915399512	349.23301357146	345.843025967661	14.5016701873818
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	356.873941786723	357.909600781187	369.686301652454	341.462358355584	350.637431608675	338.208670169124	348.738714542487	347.303044074234	348.027376010224	350.983048775632	9.44559837741632
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	348.998103071429	355.607931322787	347.996753315609	394.76379965987	352.082082592348	346.187380605617	329.318430675785	328.829477900073	387.813415531023	354.621930519393	22.8381454952417
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	334.230905480255	342.948749301587	344.140833611281	348.12503851862	344.033312826169	355.495876114859	382.207714397868	355.748102896708	329.5409334046	348.496829616883	15.2915461473275
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	324.550187059373	362.512939697986	369.204311689413	293.157927173574	345.581153165818	352.540798175417	353.283887362354	361.290172748956	347.625496823145	345.527430432893	23.4358982317528
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	339.809624570254	319.356637352988	377.880131024152	339.796688314825	340.318496011009	350.176735823863	332.624010908415	352.58120583828	328.335295843364	342.319869520794	16.826760105227
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	342.927144061724	361.362104968786	332.573074498297	309.814627581164	335.571785636083	324.467557750719	299.568208582113	315.89798157816	313.06388673437	326.138485710157	19.0525802637883
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	332.261945801431	345.825836124587	322.933275237476	299.82060733661	329.79318170139	324.615311647691	365.679813234717	319.064878636587	338.382275520333	330.930791693425	18.3726583770491
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	331.113385988784	327.412480457388	315.22143582882	329.802668070271	332.166536888853	325.058573338607	327.252443030391	337.538444810749	318.288316166394	327.094920508918	6.9017818367343
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	348.834023098194	375.172121719186	322.933275237476	371.444419089245	337.945140823546	328.604666865937	356.589467594984	337.274536722547	383.794623660235	351.399141645706	21.6805285168324
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	332.261945801431	333.166654103388	360.528492354675	349.790708559379	329.380424277484	357.416676775496	330.9712207921	334.107639664119	329.5409334046	339.684966192519	12.5732986496331
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	327.175466631138	349.853757676787	325.343225052681	288.160917051298	334.230324008386	329.343436350798	345.846331838936	366.3044264248	369.326972925399	337.287206440025	24.5725172335446
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	349.982582910841	387.255886375786	346.068793463445	299.82060733661	338.564276959406	338.356424066096	352.457492304196	339.649709516367	340.793550642806	343.661035952839	22.4278290647369
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	339.973704543489	357.909600781187	367.276351837249	269.838546602949	336.913247263779	341.902517593426	290.064665413301	333.843731575917	359.27999324843	333.000262095525	32.5244513094547
"chr1-69"	"chr1"	69000001	70000000	"."	1000000	319.299627915845	355.607931322787	338.83894401783	321.474317866477	315.449861220635	321.216972017333	304.526578931058	303.494301432651	327.933416656285	323.093550153433	16.341484688035
"chr1-70"	"chr1"	70000001	71000000	"."	1000000	337.51250494496	346.401253489187	346.550783426486	311.480297621923	322.776305494978	337.765408478207	323.94686279776	335.163272016928	354.457443003484	335.117125697102	13.6043723370563
"chr1-71"	"chr1"	71000001	72000000	"."	1000000	307.157709896434	348.127505582987	357.636552576429	308.148957540405	317.204080272238	313.9770310657	317.3357023325	318.009246283778	344.008584139436	325.733929965545	18.8702932002335
"chr1-72"	"chr1"	72000001	73000000	"."	1000000	296.328431662906	299.217029591989	323.897255163558	321.474317866477	283.357971511895	312.203984302035	310.72454186724	297.688323492201	341.195429829885	309.565253920909	17.5577236430446
"chr1-73"	"chr1"	73000001	74000000	"."	1000000	304.53243032467	338.345410384787	349.442723204732	323.139987907236	312.766937965242	323.433280471914	324.773257855918	318.009246283778	342.8029465782	326.360691219609	14.5740942997245
"chr1-74"	"chr1"	74000001	75000000	"."	1000000	316.018028451139	380.926295365186	340.284913906953	321.474317866477	315.553050576612	321.069218120361	290.064665413301	314.314533048946	338.382275520333	326.454144252145	25.1343702393154
"chr1-75"	"chr1"	75000001	76000000	"."	1000000	327.503626577608	380.350878000586	347.514763352568	333.134008151789	329.380424277484	327.865897381077	340.88796148999	326.454305106252	333.559725275388	338.516843290305	17.1534680574683
"chr1-76"	"chr1"	76000001	77000000	"."	1000000	338.989224704078	332.591236738788	341.248893833035	334.799678192548	321.125275799351	338.504177963068	343.780344193542	331.9963749585	323.110866411339	334.016230310472	7.78098300192437
"chr1-77"	"chr1"	77000001	78000000	"."	1000000	333.902745533784	372.870452260786	328.717154793969	333.134008151789	318.132784476028	326.092850617412	327.252443030391	322.231775695015	353.653684629327	335.1097665765	17.3676249230961
"chr1-78"	"chr1"	78000001	79000000	"."	1000000	308.470349682317	339.496245113987	314.257455902738	369.778749048486	321.434843867281	325.354081132551	319.401689977894	326.718213194454	355.261201377642	331.130314366372	20.0890257547066
"chr1-79"	"chr1"	79000001	80000000	"."	1000000	296.984751555847	356.183348687387	352.334662982978	271.504216643708	311.631855049499	292.995977695663	278.908332128174	318.009246283778	333.961604462466	312.501555054389	30.4485744039442
"chr1-80"	"chr1"	80000001	81000000	"."	1000000	289.437072787025	356.183348687387	356.190582687306	361.450398844691	311.941423117429	303.338750483709	304.526578931058	291.090621287143	336.774758772018	323.437059510863	29.2916584644298
"chr1-81"	"chr1"	81000001	82000000	"."	1000000	314.213148745551	346.976670853787	354.262622835142	336.465348233307	318.029595120052	310.726445332314	314.856517158027	305.869474226472	348.429255197303	327.758786411328	18.6705167698074
"chr1-82"	"chr1"	82000001	83000000	"."	1000000	338.332904811137	346.401253489187	344.140833611281	311.480297621923	329.896371057367	335.992361714542	321.880875152367	328.56556981187	347.223617636066	333.768231656193	12.0111134073565
"chr1-83"	"chr1"	83000001	84000000	"."	1000000	323.237547273491	353.881679228987	337.874964091748	324.805657947994	333.301619804596	324.467557750719	318.162097390658	349.942124956257	325.522141533812	332.355043330918	12.5226278673733
"chr1-84"	"chr1"	84000001	85000000	"."	1000000	318.151068103198	321.658306811388	339.802923943912	326.471327988753	322.260358715094	320.773710326416	330.9712207921	349.678216868055	353.251805442248	331.446548776796	13.1031759494858
"chr1-85"	"chr1"	85000001	86000000	"."	1000000	322.58122738055	333.742071467988	368.240331763331	319.808647825718	325.459228750371	345.153103326812	332.624010908415	331.468558782096	355.261201377642	337.148709064769	16.0961838803734
"chr1-86"	"chr1"	86000001	87000000	"."	1000000	312.244189066728	346.976670853787	354.262622835142	378.107099252281	332.372915600807	341.754763696454	318.575294919736	314.842349225351	333.559725275388	336.966181191741	21.1732437941763
"chr1-87"	"chr1"	87000001	88000000	"."	1000000	335.215385319666	345.250418759987	307.991586383205	324.805657947994	344.858827673982	350.915505308724	336.755986199203	357.06764333772	341.195429829885	338.228493417818	14.6783662108007
"chr1-88"	"chr1"	88000001	89000000	"."	1000000	336.692105078784	340.647079843187	402.461619139243	308.148957540405	322.363548071071	333.776053259961	320.228085036051	348.358676427043	348.429255197303	340.122819954783	26.9462387809495
"chr1-89"	"chr1"	89000001	90000000	"."	1000000	322.909387327021	319.932054717588	344.140833611281	366.447408966968	329.999560413344	344.118826048007	316.509307274343	333.315915399512	345.616100887751	335.887710516202	15.8280953965973
"chr1-90"	"chr1"	90000001	91000000	"."	1000000	319.135547942609	344.099584030787	308.473576346246	348.12503851862	333.81756658448	319.443925253668	303.286986343822	336.48281245794	365.71006024169	330.95278863554	20.17855655274
"chr1-91"	"chr1"	91000001	92000000	"."	1000000	346.865063419371	326.261645728188	354.262622835142	319.808647825718	330.928264617133	337.469900684263	303.7001838729	329.093385988275	301.811269496164	327.800109385239	17.6463750189131
"chr1-92"	"chr1"	92000001	93000000	"."	1000000	315.853948477904	338.345410384787	344.140833611281	298.154937295851	328.142152005764	342.936794872231	307.832159163688	340.969249957379	341.195429829885	328.618990622086	17.2284310141538
"chr1-93"	"chr1"	93000001	94000000	"."	1000000	328.48810641702	301.518699050389	348.47874327865	303.151947418128	344.342880894099	347.073903987449	314.03012209987	323.551316136027	347.223617636066	328.6510374353	19.2024961414135
"chr1-94"	"chr1"	94000001	95000000	"."	1000000	348.834023098194	339.496245113987	362.93844216988	354.787718681655	340.937632146869	352.0975364845	374.77015887445	364.457069807384	370.934489673714	356.583701783404	12.5461867146606
"chr1-95"	"chr1"	95000001	96000000	"."	1000000	299.445951154376	342.373331936987	320.04133545923	339.796688314825	315.140293152705	343.232302666175	326.839245501312	325.926488929847	323.914624785497	326.301140211217	14.2222785015318
"chr1-96"	"chr1"	96000001	97000000	"."	1000000	319.791867835551	325.686228363588	340.766903869994	326.471327988753	319.371056747748	331.707498702351	301.634196227507	304.549933785461	313.06388673437	320.338100028369	12.5800841937705
"chr1-97"	"chr1"	97000001	98000000	"."	1000000	316.838428317316	351.580009770587	377.398141061111	369.778749048486	305.027736266993	309.839921950481	305.352973989216	299.007863933212	354.859322190563	332.187016280885	30.9047449283663
"chr1-98"	"chr1"	98000001	99000000	"."	1000000	311.259709227316	351.580009770587	398.123709471874	346.459368477861	325.252850038417	325.797342823468	284.279900006198	328.829477900073	338.784154707412	334.485169158134	31.1381037494711
"chr1-99"	"chr1"	99000001	100000000	"."	1000000	321.104507621433	318.205802623788	393.785799804505	281.498236888262	332.88886238069	326.388358411356	324.773257855918	332.788099223107	339.186033894491	330.068773189283	29.1120778641322
"chr1-100"	"chr1"	100000001	101000000	"."	1000000	317.822908156727	329.714149915788	325.825215015723	309.814627581164	333.50799851655	321.660233708249	340.474763960912	314.314533048946	351.242409506854	327.152982156768	13.1773671523588
"chr1-101"	"chr1"	101000001	102000000	"."	1000000	312.408269039963	367.116278614786	327.271184904846	364.781738926209	320.402950307515	324.763065544663	325.186455384997	308.244647020293	342.8029465782	332.553059591275	21.2883471436016
"chr1-102"	"chr1"	102000001	103000000	"."	1000000	291.241952492613	328.563315186588	345.586803500404	353.122048640897	302.138434299647	303.486504380681	280.974319773568	295.31315069838	327.933416656285	314.262216181007	25.3547954705684
"chr1-103"	"chr1"	103000001	104000000	"."	1000000	277.623314714085	350.429175041387	322.933275237476	326.471327988753	309.155310506059	320.625956429444	308.658554221846	296.632691139392	332.75596690123	316.142841353297	21.1945588613796
"chr1-104"	"chr1"	104000001	105000000	"."	1000000	285.170993482908	323.384558905188	338.83894401783	354.787718681655	303.58308528332	314.715800550561	267.338801313968	316.953613930969	315.877041043921	313.405617467813	26.2086630387383
"chr1-105"	"chr1"	105000001	106000000	"."	1000000	299.774111100847	322.233724175988	347.032773389527	326.471327988753	302.138434299647	287.529083507695	307.832159163688	312.203268343328	293.37180656751	310.954076504109	18.5120516462303
"chr1-106"	"chr1"	106000001	107000000	"."	1000000	331.27746596202	363.663774427186	338.83894401783	309.814627581164	321.538033223258	321.216972017333	314.443319628949	320.120510989397	332.75596690123	328.185512749818	16.1507854541574
"chr1-107"	"chr1"	107000001	108000000	"."	1000000	336.035785185843	340.647079843187	367.75834180029	359.784728803932	317.720027052122	351.063259205696	346.672726897093	331.204650693894	345.616100887751	344.055855596645	15.009422060939
"chr1-108"	"chr1"	108000001	109000000	"."	1000000	329.144426309961	336.619158290987	336.910984165666	326.471327988753	342.485472486519	333.923807156933	348.325517013408	323.551316136027	305.026302992794	331.384256949005	12.5493620894837
"chr1-109"	"chr1"	109000001	110000000	"."	1000000	352.279702536135	327.987897821988	354.744612798183	376.441429211522	376.434770602838	361.849293684659	344.606739251699	368.679599218621	333.157846088309	355.131321245995	17.5900959002405
"chr1-110"	"chr1"	110000001	111000000	"."	1000000	352.607862482605	385.529634281986	339.320933980871	334.799678192548	359.614905578644	358.894215745217	351.631097246038	356.539827161315	328.737175030442	351.963925522185	16.7653887821804
"chr1-111"	"chr1"	111000001	112000000	"."	1000000	340.137784516725	340.071662478587	354.744612798183	336.465348233307	350.018295472815	350.324489720835	373.943763816292	359.706724219743	338.784154707412	349.355203995989	12.2025438277533
"chr1-112"	"chr1"	112000001	113000000	"."	1000000	342.598984115254	327.412480457388	347.514763352568	349.790708559379	353.939490999928	337.322146787291	367.745800880111	347.039135986032	331.148450152915	344.945773476763	12.230050466094
"chr1-113"	"chr1"	113000001	114000000	"."	1000000	334.723145399961	312.451628977788	356.672572650347	401.426479822906	331.237832685063	334.662576641793	365.679813234717	339.385801428165	346.821738448988	347.006843254414	25.5139966450198
"chr1-114"	"chr1"	114000001	115000000	"."	1000000	325.206506952315	323.959976269788	309.919546235369	278.166896806744	347.025804149492	336.435623405458	314.03012209987	355.484194808506	345.214221700672	326.160321380913	23.6746580437525
"chr1-115"	"chr1"	115000001	116000000	"."	1000000	362.288580903487	345.825836124587	348.960733241691	346.459368477861	363.020154325873	355.939137805775	368.985393467347	351.789481573673	336.372879584939	353.293507278359	10.2382121039393
"chr1-116"	"chr1"	116000001	117000000	"."	1000000	368.523619886427	327.987897821988	350.888693093855	341.462358355584	355.280952627624	372.339820369677	341.714356548148	325.926488929847	330.344691778757	346.052097712434	17.0386980236857
"chr1-117"	"chr1"	117000001	118000000	"."	1000000	323.893867166432	377.473791177586	317.631385644025	314.811637703441	352.907597440161	348.55144295717	327.252443030391	356.01201098491	331.550329339994	338.898278382679	20.9690003810032
"chr1-118"	"chr1"	118000001	119000000	"."	1000000	324.878347005844	332.591236738788	321.969295311394	399.760809782147	349.605538048908	349.437966339003	342.540751606305	336.218904369737	342.8029465782	344.422866197814	22.9507879312554
"chr1-119"	"chr1"	119000001	120000000	"."	1000000	340.465944463195	372.295034896186	373.060231393741	351.456378600138	342.382283130542	350.619997514779	361.13464041485	337.802352898951	317.886436979315	349.678144476855	17.6188377058322
"chr1-120"	"chr1"	120000001	121000000	"."	1000000	297.312911502318	364.239191791786	204.845734292429	373.110089130004	303.89265335125	289.006622477416	271.470776604756	294.257518345571	354.055563816405	305.799006812437	52.6017597894404
"chr1-121"	"chr1"	121000001	122000000	"."	1000000	341.450424302607	379.775460635986	373.060231393741	333.134008151789	353.526733576021	368.054957357487	358.242257711299	371.318680100644	364.102543493375	360.296144080328	15.3359708228486
