""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"62720_S6_L001.bam"	"63120_S8_L001.bam"	"63220_S9_L001.bam"	"63320_S1_L001.bam"	"63420_S1_L001.bam"	"63520_S2_L001.bam"	"63620_S3_L001.bam"	"63720_S4_L001.bam"	"63820_S5_L001.bam"	"64820_S7_L001.bam"	"AML11_S6_L001.bam"	"AML12_S6_L001.bam"	"AML13_S7_L001.bam"	"AML14_S8_L001.bam"	"healthy1_S4_L001.bam"	"healthy2_S5_L001.bam"	"healthy3_S6_L001.bam"	"Kontrolle-karyotype_S6_L001.bam"	"WholeGenomeHealthy_S7_L001.bam"	"gc"	"bin"	"sum"	"norm.var"	"gc_blocked"	"norm.clean.var"	"var_blocked"	"norm.pat"
"11"	"chr1-10"	"chr1"	10000001	11000000	"."	1000000	1448	1331	1041	745	1070	940	1345	1009	1179	755	2157	599	734	197	3510	2329	869	1303	759	0.480842	11	23320	0.0138976500890741	FALSE	0.0138976500890741	FALSE	NA
"12"	"chr1-11"	"chr1"	11000001	12000000	"."	1000000	1475	1367	911	696	1068	978	1254	1179	1177	725	2305	568	696	202	3479	2418	867	1338	684	0.500389	12	23387	0.0235873210238626	FALSE	0.0160874749221954	FALSE	NA
"13"	"chr1-12"	"chr1"	12000001	13000000	"."	1000000	1431	1258	969	720	1023	944	1261	1087	1299	730	2116	512	684	190	3345	2210	828	1234	666	0.444586	13	22507	0.0173486168895054	FALSE	0.0102140145062587	FALSE	NA
"14"	"chr1-13"	"chr1"	13000001	14000000	"."	1000000	1499	1372	1010	784	951	948	1242	1158	1303	726	2093	631	689	219	3398	2351	849	1283	742	0.450033	14	23248	0.018876384715769	FALSE	0.018876384715769	FALSE	NA
"15"	"chr1-14"	"chr1"	14000001	15000000	"."	1000000	1363	1401	964	776	1159	996	1299	1228	1238	811	2192	588	760	219	3588	2316	887	1342	826	0.449915	15	23953	0.00872532879857878	FALSE	0.00872532879857878	FALSE	NA
"16"	"chr1-15"	"chr1"	15000001	16000000	"."	1000000	1436	1270	961	762	1250	1037	1218	1181	1184	809	2141	518	722	185	3444	2286	869	1302	748	0.483764	16	23323	0.0198525628580119	FALSE	0.0198525628580119	FALSE	NA
"17"	"chr1-16"	"chr1"	16000001	17000000	"."	1000000	1996	1606	1321	939	1296	1363	1494	1781	1682	989	2750	668	800	307	4457	2850	1119	1702	925	0.47616	17	30045	0.0451858858688389	FALSE	0.0451858858688389	FALSE	NA
"18"	"chr1-17"	"chr1"	17000001	18000000	"."	1000000	1530	1286	1003	778	1048	1078	1411	1185	1282	816	2277	608	745	249	3764	2488	941	1477	703	0.502632	18	24669	0.0241751892872767	FALSE	0.0137133054583143	FALSE	NA
"19"	"chr1-18"	"chr1"	18000001	19000000	"."	1000000	1473	1326	957	875	1056	1021	1279	1260	1254	793	2375	595	711	173	3561	2480	917	1485	719	0.497501	19	24310	0.0342137994564239	FALSE	0.0342137994564239	FALSE	NA
"20"	"chr1-19"	"chr1"	19000001	20000000	"."	1000000	1363	1428	983	781	1006	1015	1218	1181	1204	783	2214	575	667	198	3641	2413	873	1392	758	0.471745	20	23693	0.0180038642269713	FALSE	0.0180038642269713	FALSE	NA
"21"	"chr1-20"	"chr1"	20000001	21000000	"."	1000000	1483	1354	936	743	1047	1046	1251	1136	1226	809	2193	548	691	218	3436	2473	905	1306	734	0.460951	21	23535	0.0147338876424058	FALSE	0.0105894700849661	FALSE	NA
"22"	"chr1-21"	"chr1"	21000001	22000000	"."	1000000	1355	1335	981	712	1055	962	1252	1178	1177	829	2204	579	715	212	3299	2299	927	1396	697	0.483198	22	23164	0.0201742543509896	FALSE	0.0133596830774988	FALSE	NA
"23"	"chr1-22"	"chr1"	22000001	23000000	"."	1000000	1353	1341	931	787	1123	1002	1349	1237	1231	851	2348	608	661	201	3656	2487	972	1393	730	0.494369	23	24261	0.0227238118348089	FALSE	0.0227238118348089	FALSE	NA
"24"	"chr1-23"	"chr1"	23000001	24000000	"."	1000000	1342	1260	1039	734	1043	937	1261	1112	1157	760	2137	608	722	203	3416	2393	897	1395	667	0.460703	24	23083	0.0221299457385143	FALSE	0.0128156833435023	FALSE	NA
"25"	"chr1-24"	"chr1"	24000001	25000000	"."	1000000	1330	1304	1038	769	1034	1009	1324	1062	1186	781	2357	632	685	205	3442	2342	868	1401	794	0.469168	25	23563	0.0126789231977005	FALSE	0.0126789231977005	FALSE	NA
"26"	"chr1-25"	"chr1"	25000001	26000000	"."	1000000	1392	1308	910	708	978	974	1337	1146	1174	761	2185	563	653	234	3668	2394	918	1381	789	0.477051	26	23473	0.0213827891816315	FALSE	0.0213827891816315	FALSE	NA
"27"	"chr1-26"	"chr1"	26000001	27000000	"."	1000000	1374	1345	990	680	1025	988	1218	1168	1125	819	2157	533	659	196	3295	2224	863	1346	683	0.486304	27	22688	0.0223736332759927	FALSE	0.0161449798652803	FALSE	NA
"28"	"chr1-27"	"chr1"	27000001	28000000	"."	1000000	1369	1413	959	756	1097	968	1264	1202	1239	722	2182	576	692	195	3509	2342	936	1328	678	0.485994	28	23427	0.0230629490974498	FALSE	0.0146092951086747	FALSE	NA
"29"	"chr1-28"	"chr1"	28000001	29000000	"."	1000000	1363	1224	1031	678	986	1009	1207	1019	1159	757	2286	577	608	184	3328	2259	882	1288	725	0.453068	29	22570	0.0217935921022457	FALSE	0.0217935921022457	FALSE	NA
"30"	"chr1-29"	"chr1"	29000001	30000000	"."	1000000	1358	1330	1028	754	1082	1042	1352	1155	1223	796	2288	568	665	197	3524	2332	888	1286	778	0.472683	30	23646	0.00983839653470466	FALSE	0.00983839653470466	FALSE	NA
"31"	"chr1-30"	"chr1"	30000001	31000000	"."	1000000	1401	1285	1001	768	1002	990	1291	1220	1284	787	2421	646	700	213	3901	2363	977	1398	745	0.4824	31	24393	0.0264629444260025	FALSE	0.0264629444260025	FALSE	NA
"32"	"chr1-31"	"chr1"	31000001	32000000	"."	1000000	1286	1350	1031	692	1027	966	1322	1097	1132	812	2254	545	698	189	3497	2377	950	1340	745	0.473163	32	23310	0.0236667576752146	FALSE	0.0236667576752146	FALSE	NA
"33"	"chr1-32"	"chr1"	32000001	33000000	"."	1000000	1364	1342	969	747	1083	1029	1429	1067	1204	716	2186	562	658	212	3450	2452	867	1373	713	0.472913	33	23423	0.0150825688105616	FALSE	0.00978555550604914	FALSE	NA
"34"	"chr1-33"	"chr1"	33000001	34000000	"."	1000000	1436	1420	990	673	1076	993	1307	1238	1177	851	2370	616	742	211	3762	2424	923	1296	831	0.458975	34	24336	0.0190781315704835	FALSE	0.0190781315704835	FALSE	NA
"35"	"chr1-34"	"chr1"	34000001	35000000	"."	1000000	1442	1304	1013	745	1022	975	1368	1293	1225	717	2285	553	769	221	3460	2453	902	1364	750	0.448008	35	23861	0.0214096548442283	FALSE	0.0214096548442283	FALSE	NA
"36"	"chr1-35"	"chr1"	35000001	36000000	"."	1000000	1351	1207	983	750	1046	923	1277	1116	1217	746	2096	573	681	189	3286	2283	805	1201	751	0.4239	36	22481	0.00753935648284055	FALSE	0.00753935648284055	FALSE	NA
"37"	"chr1-36"	"chr1"	36000001	37000000	"."	1000000	1417	1325	1028	811	1082	1057	1250	1147	1231	788	2290	621	643	204	3699	2428	906	1435	667	0.484499	37	24029	0.0248831523986827	FALSE	0.0135035270952436	FALSE	NA
"38"	"chr1-37"	"chr1"	37000001	38000000	"."	1000000	1432	1270	976	784	1067	1027	1338	1217	1250	753	2351	615	739	207	3607	2500	883	1361	771	0.472904	38	24148	0.0113131988196744	FALSE	0.0113131988196744	FALSE	NA
"39"	"chr1-38"	"chr1"	38000001	39000000	"."	1000000	1366	1321	1081	813	1057	1001	1258	1237	1213	704	2164	577	743	211	3579	2558	926	1316	725	0.454738	39	23850	0.0240136143721064	FALSE	0.0240136143721064	FALSE	NA
"40"	"chr1-39"	"chr1"	39000001	40000000	"."	1000000	1464	1305	1023	684	1042	984	1273	1141	1213	817	2148	680	653	184	3593	2373	829	1255	754	0.45828	40	23415	0.0206161006242078	FALSE	0.0206161006242078	FALSE	NA
"41"	"chr1-40"	"chr1"	40000001	41000000	"."	1000000	1313	1306	1019	762	1059	934	1321	1038	1239	813	2123	573	726	202	3354	2385	838	1346	707	0.444053	41	23058	0.0128114242000588	FALSE	0.00754880977018752	FALSE	NA
"42"	"chr1-41"	"chr1"	41000001	42000000	"."	1000000	1421	1358	1002	778	1102	1017	1295	1166	1223	826	2180	621	693	230	3316	2396	939	1418	846	0.462513	42	23827	0.009215014736777	FALSE	0.009215014736777	FALSE	NA
"43"	"chr1-42"	"chr1"	42000001	43000000	"."	1000000	1374	1276	979	766	1070	900	1309	1115	1273	738	2141	632	755	188	3328	2416	909	1375	790	0.424446	43	23334	0.0142248051086996	FALSE	0.00940786219476704	FALSE	NA
"44"	"chr1-43"	"chr1"	43000001	44000000	"."	1000000	1444	1384	940	762	1095	1021	1305	1190	1341	771	2365	527	713	217	3765	2434	857	1418	772	0.474953	44	24321	0.0171036622656551	FALSE	0.0171036622656551	FALSE	NA
"45"	"chr1-44"	"chr1"	44000001	45000000	"."	1000000	1353	1285	959	762	1110	1057	1251	1032	1225	821	2263	695	694	204	3528	2396	848	1397	779	0.465378	45	23659	0.0144126184886273	FALSE	0.00936840088184997	FALSE	NA
"46"	"chr1-45"	"chr1"	45000001	46000000	"."	1000000	1402	1223	993	777	1021	985	1216	1061	1285	783	2092	566	750	234	3318	2304	805	1313	837	0.426325	46	22965	0.0114563060677437	FALSE	0.00704677431208066	FALSE	NA
"47"	"chr1-46"	"chr1"	46000001	47000000	"."	1000000	1378	1280	1030	734	1042	1035	1232	1204	1187	837	2155	599	694	194	3549	2454	925	1329	780	0.456795	47	23638	0.0144578458872844	FALSE	0.0144578458872844	FALSE	NA
"48"	"chr1-47"	"chr1"	47000001	48000000	"."	1000000	1339	1462	989	802	1024	1100	1307	1097	1283	821	2276	577	712	208	3508	2451	919	1465	839	0.460638	48	24179	0.0120231168247914	FALSE	0.0120231168247914	FALSE	NA
"49"	"chr1-48"	"chr1"	48000001	49000000	"."	1000000	1459	1296	947	818	1101	1037	1379	1154	1330	764	2062	633	712	212	3468	2261	892	1415	875	0.415183	49	23815	0.00563947795174903	FALSE	0.00563947795174903	FALSE	NA
"50"	"chr1-49"	"chr1"	49000001	50000000	"."	1000000	1406	1245	917	771	1004	1057	1282	1078	1376	758	1883	620	758	194	3118	2330	754	1268	783	0.375699	50	22602	0.0117696733846385	FALSE	0.0117696733846385	FALSE	NA
"51"	"chr1-50"	"chr1"	50000001	51000000	"."	1000000	1380	1300	960	748	1070	1114	1354	1072	1231	821	2047	610	708	210	3270	2329	832	1335	862	0.400627	51	23253	0.00209237205769652	FALSE	0.00209237205769652	FALSE	NA
"52"	"chr1-51"	"chr1"	51000001	52000000	"."	1000000	1296	1197	1021	794	1110	992	1376	1042	1193	756	2061	542	742	197	3161	2331	815	1297	666	0.411079	52	22589	0.018248029608354	FALSE	0.00966309750909554	FALSE	NA
"53"	"chr1-52"	"chr1"	52000001	53000000	"."	1000000	1322	1193	943	722	1078	1017	1191	1023	1293	798	2049	586	760	225	3362	2204	831	1305	769	0.423526	53	22671	0.0110131820278791	FALSE	0.0110131820278791	FALSE	NA
"54"	"chr1-53"	"chr1"	53000001	54000000	"."	1000000	1432	1312	1042	816	1099	1014	1356	1135	1260	822	2330	618	692	219	3712	2343	945	1334	802	0.472964	54	24283	0.0116262382310056	FALSE	0.0116262382310056	FALSE	NA
"55"	"chr1-54"	"chr1"	54000001	55000000	"."	1000000	1443	1343	928	762	1075	966	1407	1216	1165	775	2284	471	646	217	3571	2548	844	1377	763	0.484937	55	23801	0.0275543181772167	FALSE	0.0184962688791351	FALSE	NA
"56"	"chr1-55"	"chr1"	55000001	56000000	"."	1000000	1358	1313	1089	782	1083	1002	1302	1126	1309	813	2151	563	730	206	3361	2538	814	1263	869	0.412484	56	23672	0.00864526185445341	FALSE	0.00530475841780079	FALSE	NA
"57"	"chr1-56"	"chr1"	56000001	57000000	"."	1000000	1389	1314	1019	740	1053	1077	1354	1119	1210	805	2175	622	767	205	3398	2289	844	1316	866	0.404437	57	23562	0.00369083007551305	FALSE	0.00369083007551305	FALSE	NA
"58"	"chr1-57"	"chr1"	57000001	58000000	"."	1000000	1384	1327	1033	806	1075	1087	1245	1175	1294	829	2127	618	722	237	3412	2343	797	1246	965	0.406107	58	23722	0.0116938381336588	FALSE	0.0116938381336588	FALSE	NA
"59"	"chr1-58"	"chr1"	58000001	59000000	"."	1000000	1463	1301	1007	780	1068	1029	1306	1166	1175	816	2037	596	714	209	3334	2406	925	1348	820	0.417019	59	23500	0.00804238098116055	FALSE	0.00804238098116055	FALSE	NA
"60"	"chr1-59"	"chr1"	59000001	60000000	"."	1000000	1374	1405	1107	828	1073	1020	1312	1180	1281	837	1978	630	766	176	3349	2386	855	1369	865	0.402909	60	23791	0.0171439562691151	FALSE	0.0112770410417978	FALSE	NA
"61"	"chr1-60"	"chr1"	60000001	61000000	"."	1000000	1430	1246	923	769	1118	1054	1335	1177	1311	804	2071	555	784	204	3298	2370	805	1336	817	0.385882	61	23407	0.0066018348080064	FALSE	0.00469961693334603	FALSE	NA
"62"	"chr1-61"	"chr1"	61000001	62000000	"."	1000000	1334	1237	1047	743	1046	1029	1268	1118	1237	825	2090	628	690	186	3252	2196	725	1197	779	0.399864	62	22627	0.0124755243656728	FALSE	0.0124755243656728	FALSE	NA
"63"	"chr1-62"	"chr1"	62000001	63000000	"."	1000000	1257	1273	1001	708	1109	1008	1319	1196	1211	792	2025	601	670	180	3196	2197	885	1209	842	0.407032	63	22679	0.0113219501236072	FALSE	0.0113219501236072	FALSE	NA
"64"	"chr1-63"	"chr1"	63000001	64000000	"."	1000000	1365	1415	909	802	1138	1069	1358	1013	1219	778	2018	569	654	198	3219	2200	792	1279	792	0.403547	64	22787	0.0106581520666337	FALSE	0.00728174442805905	FALSE	NA
"65"	"chr1-64"	"chr1"	64000001	65000000	"."	1000000	1376	1251	1044	764	1083	1053	1373	1046	1275	807	2126	652	670	223	3275	2224	863	1278	955	0.406266	65	23338	0.0103040511607794	FALSE	0.0103040511607794	FALSE	NA
"66"	"chr1-65"	"chr1"	65000001	66000000	"."	1000000	1414	1266	981	736	1000	1077	1352	1063	1329	819	2025	579	748	210	3192	2419	801	1266	820	0.392518	66	23097	0.00599303787145977	FALSE	0.00599303787145977	FALSE	NA
"67"	"chr1-66"	"chr1"	66000001	67000000	"."	1000000	1428	1348	986	661	1024	1039	1315	1030	1187	829	1994	608	675	173	3239	2229	837	1388	919	0.377629	67	22909	0.0174833318245889	FALSE	0.0174833318245889	FALSE	NA
"68"	"chr1-67"	"chr1"	67000001	68000000	"."	1000000	1346	1263	958	750	1058	1094	1285	1064	1248	821	2133	673	718	180	3281	2290	853	1287	848	0.409002	68	23150	0.00958198131036443	FALSE	0.00249229353361965	FALSE	NA
"69"	"chr1-68"	"chr1"	68000001	69000000	"."	1000000	1348	1270	984	771	1058	1022	1259	1057	1368	724	2072	622	762	162	3265	2314	702	1265	894	0.386798	69	22919	0.0211941931409889	FALSE	0.0130650344250043	FALSE	NA
"70"	"chr1-69"	"chr1"	69000001	70000000	"."	1000000	1393	1185	877	776	1050	1100	1317	1067	1287	743	1946	618	703	193	3057	2174	737	1150	816	0.361758	70	22189	0.0102340990325958	FALSE	0.0102340990325958	FALSE	NA
"71"	"chr1-70"	"chr1"	70000001	71000000	"."	1000000	1292	1257	967	730	1075	1017	1253	1012	1303	755	2057	602	719	187	3128	2286	784	1270	882	0.376105	71	22576	0.00546237584459521	FALSE	0.00546237584459521	FALSE	NA
"72"	"chr1-71"	"chr1"	71000001	72000000	"."	1000000	1298	1255	972	716	1130	1055	1282	1063	1265	698	1872	605	742	185	3074	2125	768	1205	856	0.361607	72	22166	0.0101719435684632	FALSE	0.0101719435684632	FALSE	NA
"73"	"chr1-72"	"chr1"	72000001	73000000	"."	1000000	1231	1097	765	652	1011	992	1301	923	1257	683	1806	520	672	193	2746	2113	752	1128	849	0.347653	73	20691	0.0145089051737709	FALSE	0.0145089051737709	FALSE	NA
"74"	"chr1-73"	"chr1"	73000001	74000000	"."	1000000	1393	1156	858	700	1014	1136	1337	1013	1199	702	1856	588	725	194	3031	2189	786	1205	853	0.351923	74	21935	0.0115229702711955	FALSE	0.00825191987246292	FALSE	NA
"75"	"chr1-74"	"chr1"	74000001	75000000	"."	1000000	1398	1237	869	684	1041	987	1404	1059	1229	692	1926	662	706	193	3058	2173	702	1191	842	0.364474	75	22053	0.0166228915889313	FALSE	0.0105857028725658	FALSE	NA
"76"	"chr1-75"	"chr1"	75000001	76000000	"."	1000000	1304	1276	912	693	1001	1049	1384	1069	1291	757	1996	661	721	200	3192	2219	825	1237	830	0.376241	76	22617	0.00783992295984806	FALSE	0.00374749123513701	FALSE	NA
"77"	"chr1-76"	"chr1"	76000001	77000000	"."	1000000	1402	1330	1026	762	1067	1041	1322	1114	1208	780	2066	578	708	201	3112	2291	832	1258	804	0.386777	77	22902	0.00456805771901491	FALSE	0.00303116204976224	FALSE	NA
"78"	"chr1-77"	"chr1"	77000001	78000000	"."	1000000	1386	1378	898	773	1122	1035	1301	1063	1264	814	2035	648	682	200	3083	2207	792	1221	880	0.388185	78	22782	0.00920108836429039	FALSE	0.00920108836429039	FALSE	NA
"79"	"chr1-78"	"chr1"	78000001	79000000	"."	1000000	1310	1333	873	803	1042	1076	1366	1120	1287	735	1880	590	652	222	3115	2202	773	1238	884	0.372289	79	22501	0.0126921467601121	FALSE	0.0126921467601121	FALSE	NA
"80"	"chr1-79"	"chr1"	79000001	80000000	"."	1000000	1241	1148	784	712	1047	1108	1301	1107	1192	706	1810	619	731	163	3020	1983	675	1205	831	0.356941	80	21383	0.0258857036724731	FALSE	0.0258857036724731	FALSE	NA
"81"	"chr1-80"	"chr1"	80000001	81000000	"."	1000000	1351	1194	799	732	1034	1105	1307	919	1341	709	1764	619	739	217	3023	2053	737	1103	838	0.350435	81	21584	0.0271834869656031	FALSE	0.0271834869656031	FALSE	NA
"82"	"chr1-81"	"chr1"	81000001	82000000	"."	1000000	1309	1295	937	671	1092	1048	1297	1001	1256	741	1915	603	735	202	3082	2103	762	1159	867	0.366426	82	22075	0.00894121176546831	FALSE	0.00894121176546831	FALSE	NA
"83"	"chr1-82"	"chr1"	82000001	83000000	"."	1000000	1296	1324	892	758	1025	1110	1278	1107	1288	697	2062	602	714	187	3197	2274	779	1245	864	0.366172	83	22699	0.00765147606622195	FALSE	0.00765147606622195	FALSE	NA
"84"	"chr1-83"	"chr1"	83000001	84000000	"."	1000000	1421	1295	1015	760	1080	1102	1371	1095	1319	780	1970	615	701	195	3230	2196	770	1326	810	0.37378	84	23051	0.00631626298042183	FALSE	0.00631626298042183	FALSE	NA
"85"	"chr1-84"	"chr1"	84000001	85000000	"."	1000000	1325	1276	1043	738	1040	1054	1329	1035	1299	782	1939	559	705	196	3123	2171	801	1325	879	0.389103	85	22619	0.00712070827015892	FALSE	0.00434693849385312	FALSE	NA
"86"	"chr1-85"	"chr1"	85000001	86000000	"."	1000000	1309	1156	919	739	961	972	1255	1039	1276	758	1966	580	764	192	3154	2336	805	1256	884	0.387141	86	22321	0.00906791042500879	FALSE	0.00630111212501739	FALSE	NA
"87"	"chr1-86"	"chr1"	86000001	87000000	"."	1000000	1395	1296	951	765	1109	1079	1318	1062	1135	823	1903	603	735	227	3221	2313	771	1193	830	0.381598	87	22729	0.0109334725471584	FALSE	0.0109334725471584	FALSE	NA
"88"	"chr1-87"	"chr1"	87000001	88000000	"."	1000000	1337	1338	972	826	1127	1136	1329	1173	1242	822	2043	600	639	195	3342	2375	815	1353	849	0.392309	88	23513	0.00871617980368923	FALSE	0.00614881957648115	FALSE	NA
"89"	"chr1-88"	"chr1"	88000001	89000000	"."	1000000	1272	1241	922	707	1085	961	1410	1021	1254	829	2052	592	835	185	3124	2259	775	1320	867	0.377494	89	22711	0.0174214405522123	FALSE	0.00877879313974	FALSE	NA
"90"	"chr1-89"	"chr1"	89000001	90000000	"."	1000000	1380	1286	1018	794	1148	1096	1352	1177	1296	852	1968	556	714	220	3198	2329	766	1263	860	0.397117	90	23273	0.00904818023572922	FALSE	0.00904818023572922	FALSE	NA
"91"	"chr1-90"	"chr1"	90000001	91000000	"."	1000000	1346	1163	934	776	1040	1022	1299	1084	1331	775	1945	598	640	209	3235	2162	734	1275	910	0.385798	91	22478	0.00993726536862116	FALSE	0.00993726536862116	FALSE	NA
"92"	"chr1-91"	"chr1"	91000001	92000000	"."	1000000	1281	1215	938	735	1047	1088	1350	1140	1253	831	2114	567	735	192	3207	2284	735	1247	751	0.407924	92	22710	0.00915226635646458	FALSE	0.00915226635646458	FALSE	NA
"93"	"chr1-92"	"chr1"	92000001	93000000	"."	1000000	1277	1298	1019	666	1105	971	1231	1027	1270	771	1925	588	714	179	3180	2321	745	1292	849	0.39335	93	22428	0.0114963468820696	FALSE	0.0114963468820696	FALSE	NA
"94"	"chr1-93"	"chr1"	93000001	94000000	"."	1000000	1422	1357	1040	703	1092	1042	1328	1055	1369	837	2002	524	723	182	3337	2349	760	1226	864	0.406351	94	23212	0.0151675607800329	FALSE	0.0151675607800329	FALSE	NA
"95"	"chr1-94"	"chr1"	94000001	95000000	"."	1000000	1359	1266	977	792	1093	975	1275	1093	1303	811	2126	590	753	213	3304	2383	907	1381	923	0.416843	95	23524	0.00735069832461966	FALSE	0.00735069832461966	FALSE	NA
"96"	"chr1-95"	"chr1"	95000001	96000000	"."	1000000	1404	1280	906	726	1060	903	1327	1142	1302	757	1825	595	664	204	3054	2323	791	1235	806	0.382658	96	22304	0.00990380165503588	FALSE	0.00699691434544739	FALSE	NA
"97"	"chr1-96"	"chr1"	96000001	97000000	"."	1000000	1353	1341	885	762	992	1025	1352	1041	1299	769	1949	566	707	196	3095	2245	730	1154	779	0.373281	97	22240	0.00939846182467711	FALSE	0.00939846182467711	FALSE	NA
"98"	"chr1-97"	"chr1"	97000001	98000000	"."	1000000	1323	1187	993	724	1075	1146	1346	975	1321	828	1931	611	783	222	2956	2097	739	1133	883	0.352766	98	22273	0.0232592922250746	FALSE	0.0232592922250746	FALSE	NA
"99"	"chr1-98"	"chr1"	98000001	99000000	"."	1000000	1312	1194	983	760	1178	1031	1333	1028	1259	766	1897	611	826	208	3152	2205	688	1246	843	0.363084	99	22520	0.0199645450098187	FALSE	0.0127385503073059	FALSE	NA
"100"	"chr1-99"	"chr1"	99000001	100000000	"."	1000000	1338	1228	948	826	1071	1036	1369	991	1264	772	1957	553	817	169	3226	2209	786	1261	844	0.377321	100	22665	0.0198451521256578	FALSE	0.0132614318094847	FALSE	NA
"101"	"chr1-100"	"chr1"	100000001	101000000	"."	1000000	1428	1347	926	724	1010	1068	1278	1085	1272	807	1937	573	676	186	3232	2177	824	1191	874	0.381488	101	22615	0.00799146104405738	FALSE	0.00799146104405738	FALSE	NA
"102"	"chr1-101"	"chr1"	101000001	102000000	"."	1000000	1359	1307	949	681	1008	982	1363	1007	1288	735	1904	638	679	219	3105	2198	787	1168	853	0.372385	102	22230	0.0124899628986435	FALSE	0.0124899628986435	FALSE	NA
"103"	"chr1-102"	"chr1"	102000001	103000000	"."	1000000	1367	1233	833	680	991	1003	1339	896	1305	675	1775	571	717	212	2928	2054	680	1119	816	0.34806	103	21194	0.0236901641810391	FALSE	0.0236901641810391	FALSE	NA
"104"	"chr1-103"	"chr1"	103000001	104000000	"."	1000000	1153	1355	983	710	1107	1004	1562	994	1298	822	1692	609	670	196	2996	2170	747	1124	828	0.346656	104	22020	0.0320568866590427	FALSE	0.0228352811509408	FALSE	NA
"105"	"chr1-104"	"chr1"	104000001	105000000	"."	1000000	1279	1183	817	715	977	968	1255	957	1202	678	1738	562	703	213	2942	2130	647	1201	786	0.35145	105	20953	0.0154163515740181	FALSE	0.0154163515740181	FALSE	NA
"106"	"chr1-105"	"chr1"	105000001	106000000	"."	1000000	1227	1195	808	676	998	1014	1304	904	1245	696	1827	560	720	196	2928	1946	745	1183	730	0.343689	106	20902	0.0130071570479886	FALSE	0.0130071570479886	FALSE	NA
"107"	"chr1-106"	"chr1"	106000001	107000000	"."	1000000	1376	1258	855	720	1101	1172	1352	1007	1301	714	2019	632	703	186	3116	2174	761	1213	828	0.354667	107	22488	0.0136211304521342	FALSE	0.009649675944265	FALSE	NA
