""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"mean"	"sd"
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	2.0059215396003	2.09411764705882	2.06743940990516	1.91913746630728	1.98868991517436	1.85535197685632	1.98844299248371	0.089699054135971
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	2.00296076980015	2.10352941176471	1.96206533192835	2.12129380053908	2.11687087653157	1.93249758919961	2.03986962996058	0.0843281486041745
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	1.98667653589933	1.97647058823529	2.18967334035827	1.97843665768194	1.96606974552309	1.80713596914176	1.98407713947328	0.121654160086586
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	1.96891191709845	2.04549019607843	2.18756585879874	2.07277628032345	1.94910461828464	1.94599807135969	2.02830782365723	0.0940337344764574
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	2.06069578090303	2.05176470588235	1.91780821917808	1.90835579514825	1.8435438265787	1.87849566055931	1.94344399804162	0.0911790132339256
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	2.0340488527017	2.10980392156863	2.08640674394099	1.83288409703504	1.93213949104618	1.90549662487946	1.98346328852867	0.110004759543719
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	2.02664692820133	2.21647058823529	2.02107481559536	2.0377358490566	2.06786050895382	1.86692381870781	2.0394520847917	0.111725765377745
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	2.01776461880089	1.92	2.17281348788198	1.82749326145553	1.85862393967955	1.94599807135969	1.95711556319627	0.125066068401542
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	2.01036269430052	2.08627450980392	2.16649104320337	2.03234501347709	2.03958529688973	2.00964320154291	2.05745029320292	0.0602875008108431
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	2.0740192450037	2.0156862745098	2.10958904109589	2.07008086253369	1.88878416588124	1.90935390549662	2.01125224908683	0.0921650591179451
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	1.90377498149519	2.11764705882353	2.17281348788198	1.86522911051213	1.93590951932139	1.86306653809065	1.97640678268748	0.134644942102201
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	2.01924500370096	2.10509803921569	2.04214963119073	2.01347708894879	2.04147031102733	1.98457087753134	2.03433515860247	0.040641400492096
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	2.12583271650629	2.22745098039216	2.08640674394099	1.81401617250674	2.02827521206409	1.91513982642237	2.03285360863877	0.149096284048657
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	2.13471502590674	2.04549019607843	2.13487881981033	2.00808625336927	1.92648444863336	1.88042430086789	2.02167984077767	0.105221643030404
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	2	1.89333333333333	2.07165437302424	2.02156334231806	1.97172478793591	1.7801350048216	1.95640180690552	0.104606303594618
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	2.09770540340489	2.07843137254902	2.16649104320337	2.18598382749326	2.03958529688973	2.03857280617165	2.10112829161865	0.0627699713588991
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	2.119911176906	1.9921568627451	2.05690200210748	2.11320754716981	2.01131008482564	1.98071359691418	2.04570021177803	0.0607664692942328
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	2.02220577350111	2.0721568627451	2.2781875658588	2.19137466307278	1.99245994344958	1.93056894889103	2.0811589595864	0.130437077295269
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	2.16728349370836	2.04705882352941	2.15595363540569	1.84366576819407	1.96418473138549	1.89778206364513	2.01265475264469	0.13396313818468
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	1.94374537379719	2.04862745098039	2.14752370916754	2.05390835579515	1.99622997172479	1.80135004821601	1.99856415161351	0.118035769191038
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	2.10362694300518	2.13019607843137	2.11169652265543	2.09703504043127	2.07728557964185	1.96142719382835	2.08021122633224	0.0607278381280267
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	2.0340488527017	2.00156862745098	2.06322444678609	2.06469002695418	2.01696512723845	1.7357762777242	1.98604555980927	0.125121978701102
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	2.13767579570688	2.17098039215686	1.98103266596417	2.05390835579515	2.06409048067861	1.96914175506268	2.06280490756073	0.0810529115116287
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	2.00296076980015	2.0156862745098	2.02107481559536	2.05390835579515	2.0923656927427	2.03857280617165	2.03742811910247	0.0323084571504853
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	2.07549962990378	1.91843137254902	2.0927291886196	2.09433962264151	1.92459943449576	1.89971070395371	2.00088499202723	0.095489047368298
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	2.039970392302	2.0078431372549	2.17070600632244	1.97843665768194	1.96418473138549	1.99614271938284	2.0262139407216	0.075417840515378
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	1.98223538119911	2.29333333333333	2.08429926238145	2.16172506738544	1.93025447690858	2.12150433944069	2.09555864344144	0.129969539247071
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	2.15988156920799	2.03294117647059	1.99578503688093	2.20485175202156	2.07540056550424	2	2.07814335001422	0.0868057485075351
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	2.08142116950407	1.95294117647059	1.93256059009484	2.07816711590297	1.89255419415646	2.03857280617165	1.99603617538343	0.0805484982704279
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	2.04293116210215	2.03921568627451	2.0231822971549	2.01617250673854	2.01696512723845	2.14850530376085	2.0478286805449	0.0505886712542044
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	1.91857883049593	1.87764705882353	2.15173867228662	2.14016172506739	2.0923656927427	1.91321118611379	2.01561719425499	0.1255945235847
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	1.95706883789785	1.87137254901961	1.98735511064278	1.94609164420485	2.0320452403393	1.96142719382835	1.95922676265546	0.0529039268477865
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	2.119911176906	2.05803921568627	2.19599578503688	2.19946091644205	2.07163053722903	1.9556412729026	2.10011315070047	0.092638025366425
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	2.13619541080681	2.10666666666667	1.95574288724974	2.05390835579515	2.02639019792648	1.86306653809065	2.02366167608925	0.100875900591869
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	2.01036269430052	2.05960784313725	2.29504741833509	2.1078167115903	2.04147031102733	1.93249758919961	2.07446709459835	0.122753554615773
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	2.05625462620281	2.06117647058824	2.14752370916754	1.99460916442049	1.98491988689915	2.0771456123433	2.05360491160359	0.0593925675896118
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	2.04885270170244	2.08156862745098	2.17702845100105	2.17250673854447	2.02639019792648	2.09643201542912	2.10046312200909	0.0625719067927244
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	2.16580310880829	2.04078431372549	2.12223393045311	2.10242587601078	2.01319509896324	1.98457087753134	2.07150220091538	0.0697466916914209
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	2.0340488527017	2.20392156862745	2.33298208640674	2.23180592991914	2.02262016965127	1.9672131147541	2.1320986203434	0.144388897408802
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	2.11695040710585	1.95450980392157	1.94520547945205	2.07277628032345	2.10744580584354	2.0327868852459	2.03827911031539	0.0746638084208698
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	1.97483345669874	1.94039215686275	2.20653319283456	2.00269541778976	1.97172478793591	1.98457087753134	2.01345831494218	0.0967475714172042
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	1.86084381939304	1.99686274509804	2.10958904109589	1.90835579514825	2.09048067860509	1.94406943105111	1.98503358506524	0.0997534194586329
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	2.02072538860104	2.21960784313726	1.91570073761855	2.16172506738544	2.14514608859566	2.06171648987464	2.08743693586876	0.110384342360048
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	2.03700962250185	1.96235294117647	2.20021074815595	2.05929919137466	2.04147031102733	2.03085824493732	2.05520017652893	0.0784568824450876
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	2.09326424870466	1.98588235294118	2.06743940990516	1.98382749326146	1.88501413760603	2.0771456123433	2.01542887579363	0.0793120984872583
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	2.1139896373057	2.11450980392157	2.07797681770285	1.78167115902965	1.93025447690858	2.00385728061717	2.00370986258092	0.130115900357028
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	1.99259807549963	1.98117647058824	2.01896733403583	2.02156334231806	1.99434495758718	2.1099324975892	2.01976377960302	0.0469198100249487
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	1.99555884529978	1.9921568627451	2.07376185458377	2.07816711590297	1.99434495758718	1.97107039537126	2.01751000524834	0.0461767207219817
"chr1-69"	"chr1"	69000001	70000000	"."	1000000	2.06217616580311	1.85882352941176	1.84826132771338	2.09164420485175	1.97926484448633	2.12150433944069	1.99361240195117	0.118463833397402
"chr1-70"	"chr1"	70000001	71000000	"."	1000000	1.91265729089563	1.97176470588235	2.03793466807165	1.96765498652291	2.02639019792648	1.96142719382835	1.97963817385456	0.0460606116868474
"chr1-71"	"chr1"	71000001	72000000	"."	1000000	1.92153960029608	1.96862745098039	2.04847207586934	1.92991913746631	2.13006597549482	2.03471552555448	2.00555662761024	0.0804216508407845
"chr1-72"	"chr1"	72000001	73000000	"."	1000000	1.82235381199112	1.72078431372549	1.61222339304531	1.75741239892183	1.9057492931197	1.91321118611379	1.78862239948621	0.11582017323712
"chr1-73"	"chr1"	73000001	74000000	"."	1000000	2.06217616580311	1.81333333333333	1.80821917808219	1.88679245283019	1.91140433553252	2.19093539054966	1.94547680935517	0.151509074083585
"chr1-74"	"chr1"	74000001	75000000	"."	1000000	2.06957809030348	1.94039215686275	1.83140147523709	1.84366576819407	1.96229971724788	1.90356798457088	1.92515086540269	0.0875969718881301
"chr1-75"	"chr1"	75000001	76000000	"."	1000000	1.93042190969652	2.00156862745098	1.92202318229715	1.86792452830189	1.88689915174364	2.02314368370299	1.93866351386553	0.0618422676644513
"chr1-76"	"chr1"	76000001	77000000	"."	1000000	2.07549962990378	2.08627450980392	2.1622760800843	2.05390835579515	2.01131008482564	2.00771456123433	2.06616387027452	0.0571044801134862
"chr1-77"	"chr1"	77000001	78000000	"."	1000000	2.05181347150259	2.16156862745098	1.89251844046365	2.08355795148248	2.11498586239397	1.99614271938284	2.05009784544608	0.0953951115687433
"chr1-78"	"chr1"	78000001	79000000	"."	1000000	1.93930421909697	2.09098039215686	1.83983140147524	2.1644204851752	1.96418473138549	2.07521697203472	2.01232303355408	0.118893792005498
"chr1-79"	"chr1"	79000001	80000000	"."	1000000	1.83715766099186	1.80078431372549	1.6522655426765	1.91913746630728	1.97360980207352	2.13693346190935	1.88664804128067	0.164934978376791
"chr1-80"	"chr1"	80000001	81000000	"."	1000000	2	1.87294117647059	1.68387776606955	1.97304582210243	1.94910461828464	2.13114754098361	1.93501948731847	0.149170341786739
"chr1-81"	"chr1"	81000001	82000000	"."	1000000	1.93782383419689	2.03137254901961	1.97471022128556	1.80862533692722	2.05843543826579	2.02121504339441	1.97203040384825	0.0908679653759181
"chr1-82"	"chr1"	82000001	83000000	"."	1000000	1.91857883049593	2.07686274509804	1.87987355110643	2.04312668463612	1.93213949104618	2.14079074252652	1.99856200748487	0.103191315526742
"chr1-83"	"chr1"	83000001	84000000	"."	1000000	2.10362694300518	2.03137254901961	2.1390937829294	2.04851752021563	2.03581526861451	2.12536162005786	2.08063128064037	0.0477779428383019
"chr1-84"	"chr1"	84000001	85000000	"."	1000000	1.96150999259808	2.00156862745098	2.19810326659642	1.98921832884097	1.96041470311027	2.0327868852459	2.02393363397377	0.0894987737277625
"chr1-85"	"chr1"	85000001	86000000	"."	1000000	1.93782383419689	1.81333333333333	1.93677555321391	1.99191374663073	1.8114985862394	1.87463837994214	1.8943305722594	0.0735189624824795
"chr1-86"	"chr1"	86000001	87000000	"."	1000000	2.06513693560326	2.03294117647059	2.00421496311907	2.06199460916442	2.09048067860509	2.08100289296046	2.05596187598715	0.0320838633938916
"chr1-87"	"chr1"	87000001	88000000	"."	1000000	1.97927461139896	2.09882352941176	2.04847207586934	2.22641509433962	2.124410933082	2.19093539054966	2.11138860577522	0.0908832695685624
"chr1-88"	"chr1"	88000001	89000000	"."	1000000	1.88304959289415	1.94666666666667	1.94309799789252	1.90566037735849	2.04524033930254	1.85342333654773	1.92952305177702	0.0669164398256646
"chr1-89"	"chr1"	89000001	90000000	"."	1000000	2.04293116210215	2.01725490196078	2.14541622760801	2.14016172506739	2.16399622997172	2.11378977820636	2.10392500415274	0.0599540538863591
"chr1-90"	"chr1"	90000001	91000000	"."	1000000	1.99259807549963	1.8243137254902	1.96838777660695	2.09164420485175	1.96041470311027	1.97107039537126	1.96807148015501	0.085563758642403
"chr1-91"	"chr1"	91000001	92000000	"."	1000000	1.89637305699482	1.90588235294118	1.9768177028451	1.9811320754717	1.97360980207352	2.09836065573771	1.972029274344	0.072342497141423
"chr1-92"	"chr1"	92000001	93000000	"."	1000000	1.89045151739452	2.03607843137255	2.14752370916754	1.79514824797844	2.08294062205467	1.87270973963356	1.97080871126688	0.1378398907921
"chr1-93"	"chr1"	93000001	94000000	"."	1000000	2.10510732790526	2.12862745098039	2.19178082191781	1.89487870619946	2.05843543826579	2.00964320154291	2.06474549113527	0.103709943243735
"chr1-94"	"chr1"	94000001	95000000	"."	1000000	2.01184307920059	1.98588235294118	2.05900948366702	2.13477088948787	2.06032045240339	1.88042430086789	2.02204175976132	0.0860310967735004
"chr1-95"	"chr1"	95000001	96000000	"."	1000000	2.07846039970392	2.0078431372549	1.90937829293994	1.95687331536388	1.99811498586239	1.74156219864995	1.94870538829583	0.11601429321212
"chr1-96"	"chr1"	96000001	97000000	"."	1000000	2.00296076980015	2.10352941176471	1.86512118018967	2.05390835579515	1.86993402450518	1.97685631629701	1.97871834305865	0.0964995820300413
"chr1-97"	"chr1"	97000001	98000000	"."	1000000	1.95854922279793	1.86196078431373	2.0927291886196	1.95148247978437	2.02639019792648	2.21022179363549	2.01688894451293	0.122395972624279
"chr1-98"	"chr1"	98000001	99000000	"."	1000000	1.94226498889711	1.87294117647059	2.07165437302424	2.04851752021563	2.22054665409991	1.98842815814851	2.02405881180933	0.120222585806111
"chr1-99"	"chr1"	99000001	100000000	"."	1000000	1.98075499629904	1.92627450980392	1.99789251844046	2.22641509433962	2.01885014137606	1.99807135969142	2.02470976999175	0.103701172202161
"chr1-100"	"chr1"	100000001	101000000	"."	1000000	2.1139896373057	2.11294117647059	1.95152792413066	1.95148247978437	1.90386427898209	2.05978784956606	2.01559889103991	0.0914434798812017
"chr1-101"	"chr1"	101000001	102000000	"."	1000000	2.01184307920059	2.05019607843137	2	1.8355795148248	1.90009425070688	1.89392478302797	1.94860628436527	0.0837606436425971
"chr1-102"	"chr1"	102000001	103000000	"."	1000000	2.02368615840118	1.93411764705882	1.75553213909378	1.83288409703504	1.86804901036758	1.9344262295082	1.89144921357743	0.0933864253652204
"chr1-103"	"chr1"	103000001	104000000	"."	1000000	1.70688378978534	2.12549019607843	2.07165437302424	1.91374663072776	2.08671065032988	1.93635486981678	1.97347341829374	0.155939973798427
"chr1-104"	"chr1"	104000001	105000000	"."	1000000	1.89341228719467	1.8556862745098	1.7218124341412	1.92722371967655	1.84165881244109	1.86692381870781	1.85111955777852	0.0702296033173912
"chr1-105"	"chr1"	105000001	106000000	"."	1000000	1.81643227239082	1.87450980392157	1.70284510010537	1.82210242587601	1.88124410933082	1.9556412729026	1.84212916408787	0.0847643021451162
"chr1-106"	"chr1"	106000001	107000000	"."	1000000	2.03700962250185	1.97333333333333	1.80189673340358	1.94070080862534	2.07540056550424	2.26036644165863	2.01478458417116	0.15297486541805
"chr1-107"	"chr1"	107000001	108000000	"."	1000000	1.9659511472983	2.00627450980392	2.06743940990516	2.01347708894879	2.05655042412818	2.04243008678881	2.02535377781219	0.0376026015492405
"chr1-108"	"chr1"	108000001	109000000	"."	1000000	2.1880088823094	2.04705882352941	2.00421496311907	2.16172506738544	1.97549481621112	1.57762777242044	1.99235505416248	0.220173916491494
"chr1-109"	"chr1"	109000001	110000000	"."	1000000	2.00148038490007	2.06117647058824	2.08008429926238	1.99460916442049	1.92459943449576	2.11764705882353	2.02993280208174	0.069767539837771
"chr1-110"	"chr1"	110000001	111000000	"."	1000000	1.98223538119911	2.08941176470588	2.29715489989463	2.14285714285714	2.23751178133836	1.86306653809065	2.10203958468096	0.161064832511306
"chr1-111"	"chr1"	111000001	112000000	"."	1000000	1.95410806809771	2.1678431372549	2.02739726027397	2.04043126684636	2.07917059377945	2.13307618129219	2.0670044179241	0.0770744914550001
"chr1-112"	"chr1"	112000001	113000000	"."	1000000	1.93930421909697	2.05176470588235	2.08219178082192	1.93800539083558	2.06786050895382	1.94985535197686	2.00483032626125	0.0691981576123795
"chr1-113"	"chr1"	113000001	114000000	"."	1000000	1.97779422649889	2.09254901960784	1.97892518440464	2.14824797843666	1.95852968897267	2	2.02600768298678	0.0763431956637233
"chr1-114"	"chr1"	114000001	115000000	"."	1000000	2.07698001480385	2.22901960784314	2.07586933614331	2.09433962264151	2.16588124410933	1.98457087753134	2.10444345051208	0.0840667150077738
"chr1-115"	"chr1"	115000001	116000000	"."	1000000	2.02072538860104	2.1443137254902	2.28029504741834	1.98652291105121	1.98868991517436	1.92092574734812	2.05691212251388	0.131870888332727
"chr1-116"	"chr1"	116000001	117000000	"."	1000000	2.02072538860104	2.05176470588235	2.29504741833509	2.14016172506739	2.07163053722903	1.99228543876567	2.09526920231343	0.110036846201583
"chr1-117"	"chr1"	117000001	118000000	"."	1000000	1.95558845299778	2.05019607843137	1.96417281348788	2.05390835579515	2.06409048067861	1.99421407907425	2.01369504341084	0.0483683186090942
"chr1-118"	"chr1"	118000001	119000000	"."	1000000	2.10214655810511	2.08313725490196	1.7913593256059	2.19137466307278	1.98114985862394	1.9556412729026	2.01746815553538	0.139995086282302
"chr1-119"	"chr1"	119000001	120000000	"."	1000000	2.19837157660992	2.08941176470588	2.07586933614331	2.26145552560647	1.99622997172479	1.91513982642237	2.08941300020212	0.127049792328408
"chr1-120"	"chr1"	120000001	121000000	"."	1000000	2.08734270910437	1.6878431372549	2.22760800842993	2.0188679245283	1.64561734213007	1.8572806171649	1.92075995643541	0.230440466620374
"chr1-121"	"chr1"	121000001	122000000	"."	1000000	1.98963730569948	1.86666666666667	2.49315068493151	2.09164420485175	2.29029217719133	1.98649951783992	2.11964842619678	0.231533478076546
"chr1-122"	"chr1"	122000001	123000000	"."	1000000	4.97853441894893	3.54039215686275	7.22655426765016	4.79514824797844	6.04524033930254	5.04532304725169	5.27186541299908	1.24752079764801
"chr1-123"	"chr1"	123000001	124000000	"."	1000000	8.43375277572169	6.3356862745098	12.3688092729189	7.39353099730458	10.3034872761546	8.33751205400193	8.86212977510191	2.16207040981429
"chr1-124"	"chr1"	124000001	125000000	"."	1000000	11.8904515173945	8.38745098039216	14.5521601685985	9.74393530997305	12.5918944392083	11.8823529411765	11.5080408927905	2.17153853198581
"chr1-125"	"chr1"	125000001	126000000	"."	1000000	13.2923760177646	4.76549019607843	8.30347734457323	12.7816711590296	8.27521206409048	14.9971070395371	10.4025556368456	3.89433902558495
"chr1-126"	"chr1"	126000001	127000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-127"	"chr1"	127000001	128000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-128"	"chr1"	128000001	129000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-129"	"chr1"	129000001	130000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-130"	"chr1"	130000001	131000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-131"	"chr1"	131000001	132000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-132"	"chr1"	132000001	133000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-133"	"chr1"	133000001	134000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-134"	"chr1"	134000001	135000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-135"	"chr1"	135000001	136000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-136"	"chr1"	136000001	137000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-137"	"chr1"	137000001	138000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-138"	"chr1"	138000001	139000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-139"	"chr1"	139000001	140000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-140"	"chr1"	140000001	141000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-141"	"chr1"	141000001	142000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-142"	"chr1"	142000001	143000000	"."	1000000	0	0	0	0	0	0	0	0
"chr1-143"	"chr1"	143000001	144000000	"."	1000000	23.019985196151	7.55764705882353	13.8229715489989	20.3018867924528	15.3760603204524	24.6113789778206	17.4483216491166	6.41495959795048
"chr1-144"	"chr1"	144000001	145000000	"."	1000000	1.96150999259808	1.75372549019608	1.82507903055848	1.7088948787062	2.14891611687088	1.88042430086789	1.87975830163293	0.159498033575624
"chr1-145"	"chr1"	145000001	146000000	"."	1000000	2.09918578830496	2.12549019607843	2.1622760800843	1.79784366576819	2.0320452403393	2.1099324975892	2.05446224469406	0.132741519068416
"chr1-146"	"chr1"	146000001	147000000	"."	1000000	2.07549962990378	2.22745098039216	2.01685985247629	2.22371967654987	1.99434495758718	1.97878495660559	2.08611000891914	0.11292594622375
"chr1-147"	"chr1"	147000001	148000000	"."	1000000	1.95854922279793	2.05176470588235	2.1159114857745	2.26415094339623	1.99622997172479	1.98649951783992	2.06218430790262	0.113669778193761
"chr1-148"	"chr1"	148000001	149000000	"."	1000000	2.07698001480385	2.01725490196078	2.23814541622761	2.00269541778976	2.13572101790763	2.0443587270974	2.08585924929784	0.0884321051426628
"chr1-149"	"chr1"	149000001	150000000	"."	1000000	2.1820873427091	1.93098039215686	2.25079030558483	2.07008086253369	2.14891611687088	2.03085824493732	2.10228554413211	0.114961608569624
"chr1-150"	"chr1"	150000001	151000000	"."	1000000	2.01628423390081	1.92313725490196	2.12644889357218	1.86792452830189	1.85485391140434	1.90742526518804	1.94934568121154	0.103777280033961
"chr1-151"	"chr1"	151000001	152000000	"."	1000000	2.01332346410067	2.08156862745098	2.19388830347734	1.97035040431267	1.92648444863336	2.02314368370299	2.03479315527967	0.0937864733229873
"chr1-152"	"chr1"	152000001	153000000	"."	1000000	1.99259807549963	2.10666666666667	1.96417281348788	2.31266846361186	1.81903864278982	2.13500482160077	2.05502491394277	0.169283542866524
"chr1-153"	"chr1"	153000001	154000000	"."	1000000	1.98075499629904	2.02509803921569	2.11801896733404	2.08086253369272	1.99622997172479	2.05400192864031	2.0424944061511	0.0520831677818925
"chr1-154"	"chr1"	154000001	155000000	"."	1000000	2.04737231680237	1.86666666666667	2.17070600632244	2.04582210242588	1.86616399622997	1.82063645130183	1.96956125662486	0.13840980872718
"chr1-155"	"chr1"	155000001	156000000	"."	1000000	1.94522575869726	2.06274509803922	2.09694415173867	1.71428571428571	1.99622997172479	1.95371263259402	1.96152388784661	0.135086825939266
"chr1-156"	"chr1"	156000001	157000000	"."	1000000	2.12879348630644	2.03137254901961	2.15595363540569	1.95687331536388	2.0320452403393	1.87078109932498	2.02930322095998	0.106137453746731
