# Program:featureCounts v2.0.0; Command:"/home/vera/bin/subread-2.0.0-source/bin/featureCounts" "-a" "/media/vera/big_data/coriandR/genom/bins.gtf" "-o" "pon.marburg.6p.fc.tsv" "-T" "8" "/media/vera/big_data/mr_genoms/marburg.gesund.september/62720_S6_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63120_S8_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63220_S9_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63320_S1_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63420_S1_L001.bam" "/media/vera/big_data/mr_genoms/marburg.gesund.september/63520_S2_L001.bam" 
Geneid	Chr	Start	End	Strand	Length	/media/vera/big_data/mr_genoms/marburg.gesund.september/62720_S6_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63120_S8_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63220_S9_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63320_S1_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63420_S1_L001.bam	/media/vera/big_data/mr_genoms/marburg.gesund.september/63520_S2_L001.bam
chr1-127	chr1	127000001	128000000	.	1000000	0	0	0	0	0	0
chr1-128	chr1	128000001	129000000	.	1000000	0	0	0	0	0	0
chr1-129	chr1	129000001	130000000	.	1000000	0	0	0	0	0	0
chr1-130	chr1	130000001	131000000	.	1000000	0	0	0	0	0	0
chr1-131	chr1	131000001	132000000	.	1000000	0	0	0	0	0	0
chr1-132	chr1	132000001	133000000	.	1000000	0	0	0	0	0	0
chr1-133	chr1	133000001	134000000	.	1000000	0	0	0	0	0	0
chr1-134	chr1	134000001	135000000	.	1000000	0	0	0	0	0	0
chr1-135	chr1	135000001	136000000	.	1000000	0	0	0	0	0	0
chr1-136	chr1	136000001	137000000	.	1000000	0	0	0	0	0	0
chr1-137	chr1	137000001	138000000	.	1000000	0	0	0	0	0	0
chr1-138	chr1	138000001	139000000	.	1000000	0	0	0	0	0	0
chr1-139	chr1	139000001	140000000	.	1000000	0	0	0	0	0	0
chr1-140	chr1	140000001	141000000	.	1000000	0	0	0	0	0	0
chr1-141	chr1	141000001	142000000	.	1000000	0	0	0	0	0	0
chr1-142	chr1	142000001	143000000	.	1000000	0	0	0	0	0	0
chr1-143	chr1	143000001	144000000	.	1000000	15550	4818	6559	7532	8157	12761
chr1-144	chr1	144000001	145000000	.	1000000	1325	1118	866	634	1140	975
chr1-145	chr1	145000001	146000000	.	1000000	1418	1355	1026	667	1078	1094
chr1-146	chr1	146000001	147000000	.	1000000	1402	1420	957	825	1058	1026
chr1-147	chr1	147000001	148000000	.	1000000	1323	1308	1004	840	1059	1030
chr1-148	chr1	148000001	149000000	.	1000000	1403	1286	1062	743	1133	1060
chr1-149	chr1	149000001	150000000	.	1000000	1474	1231	1068	768	1140	1053
chr1-150	chr1	150000001	151000000	.	1000000	1362	1226	1009	693	984	989
chr1-151	chr1	151000001	152000000	.	1000000	1360	1327	1041	731	1022	1049
chr1-152	chr1	152000001	153000000	.	1000000	1346	1343	932	858	965	1107
chr1-153	chr1	153000001	154000000	.	1000000	1338	1291	1005	772	1059	1065
chr1-154	chr1	154000001	155000000	.	1000000	1383	1190	1030	759	990	944
chr1-155	chr1	155000001	156000000	.	1000000	1314	1315	995	636	1059	1013
chr1-156	chr1	156000001	157000000	.	1000000	1438	1295	1023	726	1078	970
chr1-157	chr1	157000001	158000000	.	1000000	1443	1403	954	770	1090	1092
chr1-158	chr1	158000001	159000000	.	1000000	1299	1311	929	764	1106	1045
chr1-159	chr1	159000001	160000000	.	1000000	1476	1345	1028	865	1025	1045
chr1-160	chr1	160000001	161000000	.	1000000	1462	1256	1018	765	1087	973
chr1-161	chr1	161000001	162000000	.	1000000	1443	1473	1036	789	1106	1072
chr1-162	chr1	162000001	163000000	.	1000000	1432	1424	1047	763	1105	1033
chr1-163	chr1	163000001	164000000	.	1000000	1353	1202	972	858	1003	1072
chr1-164	chr1	164000001	165000000	.	1000000	1402	1148	890	738	1087	1028
chr1-165	chr1	165000001	166000000	.	1000000	1414	1430	950	805	1129	1058
chr1-166	chr1	166000001	167000000	.	1000000	1403	1329	1006	796	1081	1104
chr1-167	chr1	167000001	168000000	.	1000000	1413	1277	1003	742	1077	1012
chr1-168	chr1	168000001	169000000	.	1000000	1435	1370	989	836	1113	1069
chr1-169	chr1	169000001	170000000	.	1000000	1398	1279	987	787	1038	988
chr1-170	chr1	170000001	171000000	.	1000000	1381	1235	873	781	1121	1105
chr1-171	chr1	171000001	172000000	.	1000000	1377	1373	998	802	1061	1089
chr1-172	chr1	172000001	173000000	.	1000000	1248	1319	905	778	1101	1043
chr1-173	chr1	173000001	174000000	.	1000000	1480	1328	905	729	1027	1027
chr1-174	chr1	174000001	175000000	.	1000000	1376	1302	1005	766	1033	1105
chr1-175	chr1	175000001	176000000	.	1000000	1473	1295	1002	778	1002	1002
chr1-176	chr1	176000001	177000000	.	1000000	1445	1312	873	764	1039	1117
chr1-177	chr1	177000001	178000000	.	1000000	1376	1408	922	738	1149	1006
chr1-178	chr1	178000001	179000000	.	1000000	1290	1265	930	710	1074	949
chr1-179	chr1	179000001	180000000	.	1000000	1314	1364	929	713	1011	1069
chr1-180	chr1	180000001	181000000	.	1000000	1352	1293	946	732	1065	1066
chr1-181	chr1	181000001	182000000	.	1000000	1404	1296	1062	776	1063	1012
chr1-182	chr1	182000001	183000000	.	1000000	1374	1330	1033	801	1035	1019
chr1-183	chr1	183000001	184000000	.	1000000	1273	1270	1063	782	1039	1014
chr1-184	chr1	184000001	185000000	.	1000000	1451	1287	931	692	987	1039
chr1-185	chr1	185000001	186000000	.	1000000	1343	1283	967	703	1080	1040
chr1-186	chr1	186000001	187000000	.	1000000	1277	1273	899	756	1119	1131
chr1-187	chr1	187000001	188000000	.	1000000	1342	1169	874	719	997	1071
chr1-188	chr1	188000001	189000000	.	1000000	1301	1251	847	633	1022	1069
chr1-189	chr1	189000001	190000000	.	1000000	1319	1155	804	724	1041	1154
chr1-190	chr1	190000001	191000000	.	1000000	1219	1203	843	769	1045	1027
chr1-191	chr1	191000001	192000000	.	1000000	1345	1148	864	688	1034	1119
chr1-192	chr1	192000001	193000000	.	1000000	1306	1261	929	725	1088	1126
chr1-193	chr1	193000001	194000000	.	1000000	1382	1241	937	703	1097	1096
chr1-194	chr1	194000001	195000000	.	1000000	1244	1168	805	687	1095	1032
chr1-195	chr1	195000001	196000000	.	1000000	1257	1220	746	688	1082	1129
chr1-196	chr1	196000001	197000000	.	1000000	1212	1194	824	759	991	1034
chr1-197	chr1	197000001	198000000	.	1000000	1267	1237	872	670	1077	1086
chr1-198	chr1	198000001	199000000	.	1000000	1314	1173	902	738	1075	1117
chr1-199	chr1	199000001	200000000	.	1000000	1388	1229	946	789	1103	1021
chr1-200	chr1	200000001	201000000	.	1000000	1330	1245	998	661	1091	1051
chr1-201	chr1	201000001	202000000	.	1000000	1358	1311	933	707	1078	1040
chr1-202	chr1	202000001	203000000	.	1000000	1422	1285	961	711	1109	1019
chr1-203	chr1	203000001	204000000	.	1000000	1338	1392	974	786	1084	1019
chr1-204	chr1	204000001	205000000	.	1000000	1455	1314	1076	821	1111	963
chr1-205	chr1	205000001	206000000	.	1000000	1421	1295	1033	721	1073	955
chr1-206	chr1	206000001	207000000	.	1000000	1446	1356	1000	787	1015	1032
chr1-207	chr1	207000001	208000000	.	1000000	1279	1288	906	750	1014	988
chr1-208	chr1	208000001	209000000	.	1000000	1396	1287	931	786	1094	1024
chr1-209	chr1	209000001	210000000	.	1000000	1290	1318	999	733	1066	1044
chr1-210	chr1	210000001	211000000	.	1000000	1275	1146	971	719	1014	1037
chr1-211	chr1	211000001	212000000	.	1000000	1454	1300	1032	708	1077	1084
chr1-212	chr1	212000001	213000000	.	1000000	1352	1305	1007	671	1056	1037
chr1-213	chr1	213000001	214000000	.	1000000	1437	1281	937	779	1052	1078
chr1-214	chr1	214000001	215000000	.	1000000	1454	1328	974	835	1066	1043
chr1-215	chr1	215000001	216000000	.	1000000	1413	1192	867	700	1070	1073
chr1-216	chr1	216000001	217000000	.	1000000	1377	1274	852	861	1064	1128
chr1-217	chr1	217000001	218000000	.	1000000	1367	1235	892	788	985	1081
chr1-218	chr1	218000001	219000000	.	1000000	1347	1204	913	843	1004	1092
chr1-219	chr1	219000001	220000000	.	1000000	1436	1294	979	695	1067	1064
chr1-220	chr1	220000001	221000000	.	1000000	1399	1272	986	798	1129	1046
chr1-221	chr1	221000001	222000000	.	1000000	1336	1296	955	754	1066	1099
chr1-222	chr1	222000001	223000000	.	1000000	1411	1218	1018	762	1072	1065
chr1-223	chr1	223000001	224000000	.	1000000	1299	1188	1026	707	1001	984
chr1-224	chr1	224000001	225000000	.	1000000	1373	1285	1007	751	1045	1058
chr1-225	chr1	225000001	226000000	.	1000000	1328	1360	968	769	1048	1009
chr1-226	chr1	226000001	227000000	.	1000000	1428	1357	996	763	1041	1105
chr1-227	chr1	227000001	228000000	.	1000000	1359	1320	1006	769	1106	1078
chr1-228	chr1	228000001	229000000	.	1000000	1500	1343	1036	767	1194	1040
chr1-229	chr1	229000001	230000000	.	1000000	1344	1324	973	780	1060	1061
chr1-230	chr1	230000001	231000000	.	1000000	1466	1381	1015	823	1049	1018
chr1-231	chr1	231000001	232000000	.	1000000	1410	1296	1002	756	1077	1013
chr1-232	chr1	232000001	233000000	.	1000000	1310	1270	999	722	1072	998
chr1-233	chr1	233000001	234000000	.	1000000	1295	1245	929	762	1016	986
chr1-234	chr1	234000001	235000000	.	1000000	1444	1328	973	893	1161	1082
chr1-235	chr1	235000001	236000000	.	1000000	1341	1296	1004	708	1070	1018
chr1-236	chr1	236000001	237000000	.	1000000	1295	1274	948	772	1121	1087
chr1-237	chr1	237000001	238000000	.	1000000	1255	1302	913	633	1082	986
chr1-238	chr1	238000001	239000000	.	1000000	1318	1207	835	762	1093	1024
chr1-239	chr1	239000001	240000000	.	1000000	1347	1312	882	749	1021	1083
chr1-240	chr1	240000001	241000000	.	1000000	1333	1227	878	737	1052	1030
chr1-241	chr1	241000001	242000000	.	1000000	1424	1371	884	724	1101	1018
chr1-242	chr1	242000001	243000000	.	1000000	1438	1373	929	763	1077	1007
chr1-243	chr1	243000001	244000000	.	1000000	1383	1207	1044	738	926	1096
chr1-244	chr1	244000001	245000000	.	1000000	1334	1279	916	720	1070	1036
chr1-245	chr1	245000001	246000000	.	1000000	1432	1319	1055	789	1094	1131
chr1-246	chr1	246000001	247000000	.	1000000	1321	1241	955	818	1026	977
chr1-247	chr1	247000001	248000000	.	1000000	1310	1208	987	755	1092	1085
chr1-248	chr1	248000001	248956422	.	956422	1250	1237	878	722	1029	1031
chr2-0	chr2	1	1000000	.	1000000	1358	1392	889	780	1047	1051
chr2-1	chr2	1000001	2000000	.	1000000	1404	1343	952	738	1194	1058
chr2-2	chr2	2000001	3000000	.	1000000	1371	1360	924	767	1142	1052
chr2-3	chr2	3000001	4000000	.	1000000	1383	1325	984	665	1142	1057
chr2-4	chr2	4000001	5000000	.	1000000	1438	1274	815	735	1078	1060
chr2-5	chr2	5000001	6000000	.	1000000	1295	1368	847	782	999	1108
chr2-6	chr2	6000001	7000000	.	1000000	1376	1341	965	740	1117	1023
chr2-7	chr2	7000001	8000000	.	1000000	1348	1336	1001	750	1123	1062
chr2-8	chr2	8000001	9000000	.	1000000	1341	1278	967	779	976	990
chr2-9	chr2	9000001	10000000	.	1000000	1312	1265	1006	740	1114	1082
chr2-10	chr2	10000001	11000000	.	1000000	1381	1379	1000	766	1115	998
chr2-11	chr2	11000001	12000000	.	1000000	1413	1341	919	721	1108	987
chr2-12	chr2	12000001	13000000	.	1000000	1389	1294	1046	825	1079	1054
chr2-13	chr2	13000001	14000000	.	1000000	1294	1141	842	764	1127	1128
chr2-14	chr2	14000001	15000000	.	1000000	1409	1265	894	699	1006	1050
chr2-15	chr2	15000001	16000000	.	1000000	1360	1238	953	809	1089	1044
chr2-16	chr2	16000001	17000000	.	1000000	1421	1356	1060	745	1102	1059
chr2-17	chr2	17000001	18000000	.	1000000	1467	1311	1003	685	1085	1056
chr2-18	chr2	18000001	19000000	.	1000000	1441	1217	925	784	992	1113
chr2-19	chr2	19000001	20000000	.	1000000	1383	1280	882	759	1082	1069
chr2-20	chr2	20000001	21000000	.	1000000	1289	1342	951	815	1072	1034
chr2-21	chr2	21000001	22000000	.	1000000	1405	1258	871	751	1126	1022
chr2-22	chr2	22000001	23000000	.	1000000	1320	1242	885	757	1072	1046
chr2-23	chr2	23000001	24000000	.	1000000	1345	1421	1027	688	1092	1066
chr2-24	chr2	24000001	25000000	.	1000000	1383	1182	1075	699	1028	1021
chr2-25	chr2	25000001	26000000	.	1000000	1399	1328	1017	740	1100	959
chr2-26	chr2	26000001	27000000	.	1000000	1379	1338	939	789	1050	1013
chr2-27	chr2	27000001	28000000	.	1000000	1393	1341	913	767	1093	1077
chr2-28	chr2	28000001	29000000	.	1000000	1387	1294	1014	796	1041	1028
chr2-29	chr2	29000001	30000000	.	1000000	1408	1233	1034	790	1097	1086
chr2-30	chr2	30000001	31000000	.	1000000	1342	1333	1060	826	1022	1034
chr2-31	chr2	31000001	32000000	.	1000000	1251	1322	978	770	1081	999
chr2-32	chr2	32000001	33000000	.	1000000	1377	1291	968	752	1100	1065
chr2-33	chr2	33000001	34000000	.	1000000	1354	1295	1032	736	1087	981
chr2-34	chr2	34000001	35000000	.	1000000	1255	1151	876	720	1074	1028
chr2-35	chr2	35000001	36000000	.	1000000	1329	954	822	743	1131	1112
chr2-36	chr2	36000001	37000000	.	1000000	1420	1393	997	758	1162	1014
chr2-37	chr2	37000001	38000000	.	1000000	1403	1324	955	750	1151	1052
chr2-38	chr2	38000001	39000000	.	1000000	1506	1242	992	716	1040	1001
chr2-39	chr2	39000001	40000000	.	1000000	1293	1356	990	759	1090	1057
chr2-40	chr2	40000001	41000000	.	1000000	1313	1327	921	815	1075	1025
chr2-41	chr2	41000001	42000000	.	1000000	1296	1170	941	715	1111	1074
chr2-42	chr2	42000001	43000000	.	1000000	1453	1214	1019	710	1017	1017
chr2-43	chr2	43000001	44000000	.	1000000	1386	1314	1020	723	1089	968
chr2-44	chr2	44000001	45000000	.	1000000	1357	1377	1021	730	1023	1073
chr2-45	chr2	45000001	46000000	.	1000000	1365	1294	1078	810	1092	1027
chr2-46	chr2	46000001	47000000	.	1000000	1479	1284	1053	763	1065	1018
chr2-47	chr2	47000001	48000000	.	1000000	1352	1254	1007	707	1009	1030
chr2-48	chr2	48000001	49000000	.	1000000	1372	1272	1026	706	1135	1046
chr2-49	chr2	49000001	50000000	.	1000000	1334	1325	923	781	1052	1125
chr2-50	chr2	50000001	51000000	.	1000000	1254	1210	817	785	1055	1030
chr2-51	chr2	51000001	52000000	.	1000000	1354	1163	840	711	1044	1010
chr2-52	chr2	52000001	53000000	.	1000000	1285	1217	920	720	1169	1121
chr2-53	chr2	53000001	54000000	.	1000000	1394	1215	1009	736	1069	1034
chr2-54	chr2	54000001	55000000	.	1000000	1369	1257	1057	773	1089	1006
chr2-55	chr2	55000001	56000000	.	1000000	1341	1354	909	817	1081	966
chr2-56	chr2	56000001	57000000	.	1000000	1353	1199	855	761	1088	1073
chr2-57	chr2	57000001	58000000	.	1000000	1284	1234	921	714	1143	992
chr2-58	chr2	58000001	59000000	.	1000000	1339	1209	956	731	1095	1042
chr2-59	chr2	59000001	60000000	.	1000000	1374	1312	915	704	1082	1052
chr2-60	chr2	60000001	61000000	.	1000000	1460	1283	1113	743	1079	1077
chr2-61	chr2	61000001	62000000	.	1000000	1319	1147	906	713	1104	987
chr2-62	chr2	62000001	63000000	.	1000000	1391	1304	1053	723	1096	1056
chr2-63	chr2	63000001	64000000	.	1000000	1351	1300	937	738	1092	1061
chr2-64	chr2	64000001	65000000	.	1000000	1401	1343	1061	727	1139	1018
chr2-65	chr2	65000001	66000000	.	1000000	1325	1342	988	771	1106	1048
chr2-66	chr2	66000001	67000000	.	1000000	1387	1422	962	804	1125	1069
chr2-67	chr2	67000001	68000000	.	1000000	1402	1251	960	741	1051	1097
chr2-68	chr2	68000001	69000000	.	1000000	1293	1234	1025	708	1080	1017
chr2-69	chr2	69000001	70000000	.	1000000	1406	1242	944	782	1055	1024
chr2-70	chr2	70000001	71000000	.	1000000	1443	1333	999	702	1070	1069
