""	"id"	"symbol"	"chr"	"start"	"end"
"41"	"ENSG00000198744"	"MTCO3P12"	"chr1"	634376	634922
"42"	"ENSG00000268663"	"WBP1LP6"	"chr1"	674842	675265
"43"	"ENSG00000284662"	"OR4F16"	"chr1"	685679	686673
"44"	"ENSG00000229376"	"CICP3"	"chr1"	722092	724903
"45"	"ENSG00000228327"	"AL669831.1"	"chr1"	725885	778626
"46"	"ENSG00000223181"	"RNU6-1199P"	"chr1"	758233	758336
"47"	"ENSG00000229905"	"AL669831.2"	"chr1"	760911	761989
"48"	"ENSG00000237491"	"AL669831.5"	"chr1"	778747	810065
"49"	"ENSG00000285268"	"AL669831.7"	"chr1"	781937	782050
"50"	"ENSG00000230092"	"AL669831.4"	"chr1"	800879	817712
"51"	"ENSG00000177757"	"FAM87B"	"chr1"	817371	819837
"52"	"ENSG00000228794"	"LINC01128"	"chr1"	825138	868202
"53"	"ENSG00000225880"	"LINC00115"	"chr1"	826206	827522
"54"	"ENSG00000230368"	"FAM41C"	"chr1"	868071	876903
"55"	"ENSG00000234711"	"TUBB8P11"	"chr1"	873292	874349
"56"	"ENSG00000283040"	"AL669831.6"	"chr1"	874529	877234
"57"	"ENSG00000272438"	"AL645608.6"	"chr1"	904834	915976
"58"	"ENSG00000230699"	"AL645608.2"	"chr1"	911435	914948
"59"	"ENSG00000241180"	"AL645608.4"	"chr1"	914171	914971
"60"	"ENSG00000223764"	"LINC02593"	"chr1"	916865	921016
"61"	"ENSG00000187634"	"SAMD11"	"chr1"	923928	944581
"62"	"ENSG00000188976"	"NOC2L"	"chr1"	944203	959309
"63"	"ENSG00000187961"	"KLHL17"	"chr1"	960584	965719
"64"	"ENSG00000187583"	"PLEKHN1"	"chr1"	966497	975865
"65"	"ENSG00000187642"	"PERM1"	"chr1"	975204	982093
"66"	"ENSG00000272512"	"AL645608.7"	"chr1"	995966	998051
"67"	"ENSG00000188290"	"HES4"	"chr1"	998962	1000172
"68"	"ENSG00000187608"	"ISG15"	"chr1"	1001138	1014540
"69"	"ENSG00000231702"	"AL645608.3"	"chr1"	1008076	1008229
"70"	"ENSG00000224969"	"AL645608.1"	"chr1"	1011997	1013193
"71"	"ENSG00000188157"	"AGRN"	"chr1"	1020120	1056118
"72"	"ENSG00000242590"	"AL645608.5"	"chr1"	1055033	1056116
"73"	"ENSG00000217801"	"AL390719.1"	"chr1"	1059708	1069355
"74"	"ENSG00000273443"	"AL645608.8"	"chr1"	1062208	1063288
"75"	"ENSG00000237330"	"RNF223"	"chr1"	1070967	1074306
"76"	"ENSG00000131591"	"C1orf159"	"chr1"	1081818	1116361
"77"	"ENSG00000285812"	"AL390719.3"	"chr1"	1097585	1104598
"78"	"ENSG00000223823"	"LINC01342"	"chr1"	1137017	1144056
"79"	"ENSG00000207730"	"MIR200B"	"chr1"	1167104	1167198
"80"	"ENSG00000207607"	"MIR200A"	"chr1"	1167863	1167952
"81"	"ENSG00000198976"	"MIR429"	"chr1"	1169005	1169087
"82"	"ENSG00000272141"	"AL390719.2"	"chr1"	1169357	1170343
"83"	"ENSG00000205231"	"TTLL10-AS1"	"chr1"	1173056	1179555
"84"	"ENSG00000162571"	"TTLL10"	"chr1"	1173884	1197935
"85"	"ENSG00000186891"	"TNFRSF18"	"chr1"	1203508	1206592
"86"	"ENSG00000186827"	"TNFRSF4"	"chr1"	1211340	1214153
"87"	"ENSG00000078808"	"SDF4"	"chr1"	1216908	1232067
"88"	"ENSG00000176022"	"B3GALT6"	"chr1"	1232237	1235041
"89"	"ENSG00000184163"	"C1QTNF12"	"chr1"	1242446	1246722
"90"	"ENSG00000260179"	"AL162741.1"	"chr1"	1249777	1251334
"91"	"ENSG00000160087"	"UBE2J2"	"chr1"	1253909	1273885
"92"	"ENSG00000230415"	"LINC01786"	"chr1"	1275223	1280420
"93"	"ENSG00000162572"	"SCNN1D"	"chr1"	1280436	1292029
"94"	"ENSG00000131584"	"ACAP3"	"chr1"	1292390	1309609
"95"	"ENSG00000278073"	"MIR6726"	"chr1"	1296110	1296170
"96"	"ENSG00000169972"	"PUSL1"	"chr1"	1308597	1311677
"97"	"ENSG00000127054"	"INTS11"	"chr1"	1311585	1324691
"98"	"ENSG00000283712"	"MIR6727"	"chr1"	1312502	1312566
"99"	"ENSG00000240731"	"AL139287.1"	"chr1"	1317581	1318689
"100"	"ENSG00000224051"	"CPTP"	"chr1"	1324756	1328896
"101"	"ENSG00000169962"	"TAS1R3"	"chr1"	1331280	1335314
"102"	"ENSG00000107404"	"DVL1"	"chr1"	1335276	1349418
"103"	"ENSG00000284372"	"MIR6808"	"chr1"	1339650	1339708
"104"	"ENSG00000162576"	"MXRA8"	"chr1"	1352689	1361777
"105"	"ENSG00000175756"	"AURKAIP1"	"chr1"	1373730	1375495
"106"	"ENSG00000223663"	"NDUFB4P8"	"chr1"	1378666	1379032
"107"	"ENSG00000221978"	"CCNL2"	"chr1"	1385711	1399335
"108"	"ENSG00000224870"	"MRPL20-AS1"	"chr1"	1399520	1402046
"109"	"ENSG00000242485"	"MRPL20"	"chr1"	1401909	1407293
"110"	"ENSG00000264293"	"RN7SL657P"	"chr1"	1405460	1405752
"111"	"ENSG00000272455"	"AL391244.2"	"chr1"	1409096	1410618
"112"	"ENSG00000235098"	"ANKRD65"	"chr1"	1418420	1421769
"113"	"ENSG00000225905"	"AL391244.1"	"chr1"	1420245	1422691
"114"	"ENSG00000205116"	"TMEM88B"	"chr1"	1426128	1427787
"115"	"ENSG00000225285"	"LINC01770"	"chr1"	1430539	1434573
"116"	"ENSG00000179403"	"VWA1"	"chr1"	1434861	1442882
"117"	"ENSG00000215915"	"ATAD3C"	"chr1"	1449689	1470158
"118"	"ENSG00000160072"	"ATAD3B"	"chr1"	1471769	1497848
"119"	"ENSG00000284740"	"AL645728.2"	"chr1"	1503250	1509452
"120"	"ENSG00000197785"	"ATAD3A"	"chr1"	1512151	1534687
"121"	"ENSG00000205090"	"TMEM240"	"chr1"	1534778	1540624
"122"	"ENSG00000160075"	"SSU72"	"chr1"	1541673	1574863
"123"	"ENSG00000215014"	"AL645728.1"	"chr1"	1574102	1577075
"124"	"ENSG00000274481"	"AL691432.3"	"chr1"	1583510	1583909
"125"	"ENSG00000228594"	"FNDC10"	"chr1"	1598012	1600135
"126"	"ENSG00000286989"	"AL691432.4"	"chr1"	1600314	1602703
"127"	"ENSG00000272106"	"AL691432.2"	"chr1"	1613758	1615795
"128"	"ENSG00000197530"	"MIB2"	"chr1"	1615415	1630610
"129"	"ENSG00000189409"	"MMP23B"	"chr1"	1632095	1635263
"130"	"ENSG00000248333"	"CDK11B"	"chr1"	1635227	1659012
"131"	"ENSG00000272004"	"FO704657.1"	"chr1"	1659325	1662602
"132"	"ENSG00000189339"	"SLC35E2B"	"chr1"	1659529	1692728
"133"	"ENSG00000269737"	"AL691432.1"	"chr1"	1671990	1674397
"134"	"ENSG00000215914"	"MMP23A"	"chr1"	1699942	1701782
"135"	"ENSG00000008128"	"CDK11A"	"chr1"	1702379	1724357
"136"	"ENSG00000268575"	"AL031282.2"	"chr1"	1702736	1737688
"137"	"ENSG00000227775"	"AL031282.1"	"chr1"	1724512	1737251
"138"	"ENSG00000215790"	"SLC35E2A"	"chr1"	1724838	1745999
"139"	"ENSG00000008130"	"NADK"	"chr1"	1751232	1780457
"140"	"ENSG00000078369"	"GNB1"	"chr1"	1785285	1891117
"141"	"ENSG00000231050"	"AL109917.1"	"chr1"	1891471	1892658
"142"	"ENSG00000169885"	"CALML6"	"chr1"	1915108	1917296
"143"	"ENSG00000178821"	"TMEM52"	"chr1"	1917590	1919279
"144"	"ENSG00000142609"	"CFAP74"	"chr1"	1921951	2003837
"145"	"ENSG00000233542"	"AL391845.2"	"chr1"	2013213	2015639
"146"	"ENSG00000187730"	"GABRD"	"chr1"	2019329	2030758
"147"	"ENSG00000226969"	"AL391845.1"	"chr1"	2049203	2050070
"148"	"ENSG00000067606"	"PRKCZ"	"chr1"	2050411	2185395
"149"	"ENSG00000271806"	"AL590822.2"	"chr1"	2141084	2145279
"150"	"ENSG00000182873"	"PRKCZ-AS1"	"chr1"	2181794	2184389
"151"	"ENSG00000162585"	"FAAP20"	"chr1"	2184461	2212720
"152"	"ENSG00000234396"	"AL590822.1"	"chr1"	2212523	2220738
"153"	"ENSG00000157933"	"SKI"	"chr1"	2228319	2310213
"154"	"ENSG00000287356"	"AL590822.3"	"chr1"	2315040	2323085
"155"	"ENSG00000116151"	"MORN1"	"chr1"	2321253	2391707
"156"	"ENSG00000272161"	"AL589739.1"	"chr1"	2326201	2326693
"157"	"ENSG00000269896"	"AL513477.1"	"chr1"	2350414	2352820
"158"	"ENSG00000272420"	"AL513477.2"	"chr1"	2363061	2363628
"159"	"ENSG00000157916"	"RER1"	"chr1"	2391775	2405442
"160"	"ENSG00000157911"	"PEX10"	"chr1"	2403964	2413797
"161"	"ENSG00000149527"	"PLCH2"	"chr1"	2425980	2505532
"162"	"ENSG00000224387"	"AL139246.1"	"chr1"	2492300	2493258
"163"	"ENSG00000229393"	"AL139246.4"	"chr1"	2493437	2494479
"164"	"ENSG00000157881"	"PANK4"	"chr1"	2508531	2526628
"165"	"ENSG00000197921"	"HES5"	"chr1"	2528745	2530263
"166"	"ENSG00000272449"	"AL139246.5"	"chr1"	2530064	2547460
"167"	"ENSG00000238164"	"TNFRSF14-AS1"	"chr1"	2549920	2557031
"168"	"ENSG00000157873"	"TNFRSF14"	"chr1"	2555639	2565382
"169"	"ENSG00000225931"	"AL139246.2"	"chr1"	2566410	2569888
"170"	"ENSG00000228037"	"AL139246.3"	"chr1"	2581560	2584533
"171"	"ENSG00000157870"	"PRXL2B"	"chr1"	2586491	2591469
"172"	"ENSG00000142606"	"MMEL1"	"chr1"	2590639	2633016
"173"	"ENSG00000237058"	"AL831784.1"	"chr1"	2632568	2636620
"174"	"ENSG00000215912"	"TTC34"	"chr1"	2635976	2801717
"175"	"ENSG00000285945"	"AC242022.2"	"chr1"	2768091	2784733
"176"	"ENSG00000283259"	"AC242022.1"	"chr1"	2773603	2776473
"177"	"ENSG00000233234"	"AL592464.2"	"chr1"	2811850	2812692
"178"	"ENSG00000287396"	"AL592464.3"	"chr1"	2814056	2817767
"179"	"ENSG00000231630"	"AL592464.1"	"chr1"	2814432	2814998
"180"	"ENSG00000284745"	"AL589702.1"	"chr1"	2960658	2968707
"181"	"ENSG00000169717"	"ACTRT2"	"chr1"	3021483	3022903
"182"	"ENSG00000177133"	"PRDM16-DT"	"chr1"	3059615	3068437
"183"	"ENSG00000142611"	"PRDM16"	"chr1"	3069168	3438621
"184"	"ENSG00000283572"	"MIR4251"	"chr1"	3127975	3128035
"185"	"ENSG00000226286"	"AL008733.1"	"chr1"	3132927	3133709
"186"	"ENSG00000279839"	"AL512383.1"	"chr1"	3205988	3208664
"187"	"ENSG00000272235"	"AL590438.1"	"chr1"	3306636	3310096
"188"	"ENSG00000287828"	"AL354743.2"	"chr1"	3313052	3323149
"189"	"ENSG00000286518"	"AL354743.1"	"chr1"	3367815	3373928
"190"	"ENSG00000130762"	"ARHGEF16"	"chr1"	3454665	3481113
"191"	"ENSG00000272088"	"AL512413.1"	"chr1"	3487246	3487627
"192"	"ENSG00000162591"	"MEGF6"	"chr1"	3487951	3611508
"193"	"ENSG00000207776"	"MIR551A"	"chr1"	3560695	3560790
"194"	"ENSG00000238260"	"AL513320.1"	"chr1"	3623190	3624743
"195"	"ENSG00000158109"	"TPRG1L"	"chr1"	3625015	3630127
"196"	"ENSG00000116213"	"WRAP73"	"chr1"	3630767	3652761
"197"	"ENSG00000078900"	"TP73"	"chr1"	3652516	3736201
"198"	"ENSG00000227589"	"AL136528.1"	"chr1"	3658938	3668772
"199"	"ENSG00000235131"	"AL136528.2"	"chr1"	3712200	3714298
"200"	"ENSG00000227372"	"TP73-AS1"	"chr1"	3735511	3747373
"201"	"ENSG00000276189"	"RF02197"	"chr1"	3736943	3737103
"202"	"ENSG00000162592"	"CCDC27"	"chr1"	3746460	3771645
"203"	"ENSG00000235169"	"SMIM1"	"chr1"	3772761	3775982
"204"	"ENSG00000130764"	"LRRC47"	"chr1"	3778559	3796498
"205"	"ENSG00000266075"	"RN7SL574P"	"chr1"	3782815	3783111
"206"	"ENSG00000272153"	"AL365330.1"	"chr1"	3785008	3785538
"207"	"ENSG00000116198"	"CEP104"	"chr1"	3812086	3857214
"208"	"ENSG00000169598"	"DFFB"	"chr1"	3857267	3885429
"209"	"ENSG00000198912"	"C1orf174"	"chr1"	3889125	3900293
"210"	"ENSG00000236423"	"LINC01134"	"chr1"	3900352	3917225
"211"	"ENSG00000233304"	"LINC01346"	"chr1"	3940486	3955262
"212"	"ENSG00000226374"	"LINC01345"	"chr1"	3944547	3949024
"213"	"ENSG00000284668"	"AL805961.1"	"chr1"	3976133	4012704
"214"	"ENSG00000284703"	"AL805961.2"	"chr1"	4012921	4019508
"215"	"ENSG00000229280"	"EEF1DP6"	"chr1"	4175528	4175899
"216"	"ENSG00000235054"	"LINC01777"	"chr1"	4412027	4424689
"217"	"ENSG00000284694"	"AL355602.1"	"chr1"	4479131	4484375
"218"	"ENSG00000227169"	"Z98747.1"	"chr1"	4551735	4552145
"219"	"ENSG00000232596"	"LINC01646"	"chr1"	4571481	4594016
"220"	"ENSG00000196581"	"AJAP1"	"chr1"	4654732	4792534
"221"	"ENSG00000287586"	"Z98886.1"	"chr1"	4730211	4734992
"222"	"ENSG00000284739"	"BX005132.2"	"chr1"	4963954	4973298
"223"	"ENSG00000284674"	"BX005132.1"	"chr1"	4973381	4981568
"224"	"ENSG00000231510"	"AL691497.1"	"chr1"	5086459	5090899
"225"	"ENSG00000284616"	"AL139823.1"	"chr1"	5301928	5307394
"226"	"ENSG00000284692"	"Z98259.3"	"chr1"	5478736	5493057
"227"	"ENSG00000284666"	"Z98259.2"	"chr1"	5480787	5482028
"228"	"ENSG00000260972"	"Z98259.1"	"chr1"	5492978	5494674
"229"	"ENSG00000283356"	"Z97988.2"	"chr1"	5554747	5554881
"230"	"ENSG00000236948"	"AL365255.1"	"chr1"	5561709	5668295
"231"	"ENSG00000264341"	"Z97988.1"	"chr1"	5564071	5564143
"232"	"ENSG00000264101"	"MIR4689"	"chr1"	5862672	5862741
"233"	"ENSG00000131697"	"NPHP4"	"chr1"	5862811	5992473
"234"	"ENSG00000069424"	"KCNAB2"	"chr1"	5990927	6101193
"235"	"ENSG00000116254"	"CHD5"	"chr1"	6101787	6180321
"236"	"ENSG00000285629"	"AL031847.2"	"chr1"	6159430	6197757
"237"	"ENSG00000116251"	"RPL22"	"chr1"	6185020	6209389
"238"	"ENSG00000226944"	"AL031847.1"	"chr1"	6204840	6205780
"239"	"ENSG00000158286"	"RNF207"	"chr1"	6205475	6221299
"240"	"ENSG00000116237"	"ICMT"	"chr1"	6221193	6235972
"241"	"ENSG00000225077"	"LINC00337"	"chr1"	6234692	6239444
"242"	"ENSG00000173673"	"HES3"	"chr1"	6244192	6245578
"243"	"ENSG00000158292"	"GPR153"	"chr1"	6247353	6261098
"244"	"ENSG00000097021"	"ACOT7"	"chr1"	6264269	6394391
"245"	"ENSG00000271746"	"AL031848.2"	"chr1"	6393555	6394391
"246"	"ENSG00000069812"	"HES2"	"chr1"	6412418	6424670
"247"	"ENSG00000187017"	"ESPN"	"chr1"	6424776	6461367
"248"	"ENSG00000265392"	"MIR4252"	"chr1"	6429834	6429896
"249"	"ENSG00000231868"	"AL031848.1"	"chr1"	6443034	6447006
"250"	"ENSG00000215788"	"TNFRSF25"	"chr1"	6460786	6466195
"251"	"ENSG00000171680"	"PLEKHG5"	"chr1"	6466092	6520061
"252"	"ENSG00000162408"	"NOL9"	"chr1"	6521347	6554513
"253"	"ENSG00000253022"	"RNU6-731P"	"chr1"	6540854	6540964
"254"	"ENSG00000229519"	"AL591866.1"	"chr1"	6547905	6548619
"255"	"ENSG00000173662"	"TAS1R1"	"chr1"	6555307	6579755
"256"	"ENSG00000204859"	"ZBTB48"	"chr1"	6579994	6589280
"257"	"ENSG00000162413"	"KLHL21"	"chr1"	6590724	6614607
"258"	"ENSG00000116273"	"PHF13"	"chr1"	6613731	6624030
"259"	"ENSG00000041988"	"THAP3"	"chr1"	6624866	6635586
"260"	"ENSG00000007923"	"DNAJC11"	"chr1"	6634168	6701924
"261"	"ENSG00000228750"	"LINC01672"	"chr1"	6724637	6730012
"262"	"ENSG00000284744"	"AL591163.1"	"chr1"	6767954	6770038
"263"	"ENSG00000237436"	"CAMTA1-DT"	"chr1"	6783892	6784843
"264"	"ENSG00000171735"	"CAMTA1"	"chr1"	6785454	7769706
"265"	"ENSG00000227950"	"AL590128.1"	"chr1"	6834333	6834618
"266"	"ENSG00000237365"	"AL512330.1"	"chr1"	7008376	7014279
"267"	"ENSG00000207056"	"RNU1-8P"	"chr1"	7219360	7219524
"268"	"ENSG00000237402"	"CAMTA1-IT1"	"chr1"	7368942	7370270
"269"	"ENSG00000237728"	"Z97987.1"	"chr1"	7382487	7389754
"270"	"ENSG00000225126"	"AL365194.1"	"chr1"	7441096	7441554
"271"	"ENSG00000270171"	"AL359881.3"	"chr1"	7693124	7694844
"272"	"ENSG00000270035"	"AL359881.2"	"chr1"	7698303	7698872
"273"	"ENSG00000269978"	"AL359881.1"	"chr1"	7700704	7700970
"274"	"ENSG00000049245"	"VAMP3"	"chr1"	7771296	7781432
"275"	"ENSG00000269925"	"Z98884.2"	"chr1"	7776383	7776775
"276"	"ENSG00000049246"	"PER3"	"chr1"	7784320	7845177
"277"	"ENSG00000236266"	"Z98884.1"	"chr1"	7810242	7827342
"278"	"ENSG00000049247"	"UTS2"	"chr1"	7843083	7853512
"279"	"ENSG00000049249"	"TNFRSF9"	"chr1"	7915894	7943165
"280"	"ENSG00000270330"	"AL009183.1"	"chr1"	7942372	7942726
"281"	"ENSG00000116288"	"PARK7"	"chr1"	7954291	7985505
"282"	"ENSG00000200344"	"RF00019"	"chr1"	7982881	7982983
"283"	"ENSG00000284747"	"AL034417.4"	"chr1"	7991134	8005312
"284"	"ENSG00000284716"	"AL034417.3"	"chr1"	7998187	7999934
"285"	"ENSG00000116285"	"ERRFI1"	"chr1"	8004404	8026309
"286"	"ENSG00000238290"	"AL034417.2"	"chr1"	8026738	8122702
"287"	"ENSG00000232848"	"AL034417.1"	"chr1"	8057245	8058463
"288"	"ENSG00000229305"	"AL358876.1"	"chr1"	8189824	8192770
"289"	"ENSG00000227634"	"LINC01714"	"chr1"	8201518	8215210
"290"	"ENSG00000200975"	"RNU1-7P"	"chr1"	8206434	8206597
"291"	"ENSG00000233645"	"AL358876.2"	"chr1"	8218190	8220529
"292"	"ENSG00000251977"	"RNU6-991P"	"chr1"	8292157	8292263
"293"	"ENSG00000162426"	"SLC45A1"	"chr1"	8317826	8344167
"294"	"ENSG00000252254"	"RF00019"	"chr1"	8328067	8328179
"295"	"ENSG00000142599"	"RERE"	"chr1"	8352397	8848921
"296"	"ENSG00000232912"	"RERE-AS1"	"chr1"	8424645	8435013
"297"	"ENSG00000221083"	"RF00599"	"chr1"	8511795	8511919
"298"	"ENSG00000270282"	"AL096855.1"	"chr1"	8512653	8513021
"299"	"ENSG00000234619"	"RPL7P11"	"chr1"	8750430	8751087
"300"	"ENSG00000224315"	"RPL7P7"	"chr1"	8786211	8786913
"301"	"ENSG00000222511"	"RF00019"	"chr1"	8796571	8796673
"302"	"ENSG00000226545"	"AL357552.1"	"chr1"	8798475	8799506
"303"	"ENSG00000228423"	"AL357552.2"	"chr1"	8805860	8807051
"304"	"ENSG00000229716"	"RPL23AP19"	"chr1"	8831007	8831375
"305"	"ENSG00000074800"	"ENO1"	"chr1"	8861000	8879190
"306"	"ENSG00000274258"	"MIR6728"	"chr1"	8866502	8866590
"307"	"ENSG00000230679"	"ENO1-AS1"	"chr1"	8878835	8879894
"308"	"ENSG00000201725"	"RNU6-304P"	"chr1"	8883427	8883533
"309"	"ENSG00000238249"	"HMGN2P17"	"chr1"	8893409	8894151
"310"	"ENSG00000232208"	"AL139415.1"	"chr1"	8907393	8907744
"311"	"ENSG00000232663"	"AL139415.2"	"chr1"	8909742	8909904
"312"	"ENSG00000131686"	"CA6"	"chr1"	8945867	8975092
"313"	"ENSG00000265141"	"RN7SL451P"	"chr1"	8979576	8979874
"314"	"ENSG00000197241"	"SLC2A7"	"chr1"	9003300	9026345
"315"	"ENSG00000142583"	"SLC2A5"	"chr1"	9035107	9088478
"316"	"ENSG00000252404"	"RF00424"	"chr1"	9082696	9082879
"317"	"ENSG00000180758"	"GPR157"	"chr1"	9100305	9129102
"318"	"ENSG00000228526"	"MIR34AHG"	"chr1"	9148011	9198906
"319"	"ENSG00000284357"	"MIR34A"	"chr1"	9151668	9151777
"320"	"ENSG00000234546"	"LNCTAM34A"	"chr1"	9182004	9196284
"321"	"ENSG00000049239"	"H6PD"	"chr1"	9234775	9271337
"322"	"ENSG00000171621"	"SPSB1"	"chr1"	9292894	9369532
"323"	"ENSG00000284652"	"BX323043.1"	"chr1"	9421098	9422862
"324"	"ENSG00000284693"	"LINC02606"	"chr1"	9425094	9440564
"325"	"ENSG00000252956"	"RNA5SP40"	"chr1"	9437669	9437778
"326"	"ENSG00000235263"	"AL928921.1"	"chr1"	9501092	9503471
"327"	"ENSG00000171612"	"SLC25A33"	"chr1"	9539465	9585173
"328"	"ENSG00000231181"	"AL954705.1"	"chr1"	9576427	9576985
"329"	"ENSG00000188807"	"TMEM201"	"chr1"	9588911	9614877
"330"	"ENSG00000171608"	"PIK3CD"	"chr1"	9651732	9729114
"331"	"ENSG00000179840"	"PIK3CD-AS1"	"chr1"	9652610	9654586
"332"	"ENSG00000233268"	"AL691449.1"	"chr1"	9660828	9662626
"333"	"ENSG00000231789"	"PIK3CD-AS2"	"chr1"	9672426	9687555
"334"	"ENSG00000171603"	"CLSTN1"	"chr1"	9729026	9824526
"335"	"ENSG00000271264"	"MZT1P1"	"chr1"	9780822	9781240
"336"	"ENSG00000280113"	"AL357140.3"	"chr1"	9826289	9828271
"337"	"ENSG00000178585"	"CTNNBIP1"	"chr1"	9848276	9910336
"338"	"ENSG00000223989"	"AL357140.1"	"chr1"	9848318	9850154
"339"	"ENSG00000285701"	"AL357140.4"	"chr1"	9900614	9908034
"340"	"ENSG00000162441"	"LZIC"	"chr1"	9922113	9943407
"341"	"ENSG00000228150"	"AL357140.2"	"chr1"	9942923	9949974
"342"	"ENSG00000173614"	"NMNAT1"	"chr1"	9943428	9985501
"343"	"ENSG00000202415"	"RN7SKP269"	"chr1"	9947318	9947636
"344"	"ENSG00000283611"	"TMEM274P"	"chr1"	9950572	9960787
"345"	"ENSG00000265521"	"MIR5697"	"chr1"	9967381	9967458
"346"	"ENSG00000241326"	"AL603962.1"	"chr1"	9983141	9984568
"347"	"ENSG00000162444"	"RBP7"	"chr1"	9997206	10016021
"348"	"ENSG00000130939"	"UBE4B"	"chr1"	10032832	10181239
"349"	"ENSG00000224340"	"AL590639.1"	"chr1"	10054445	10054781
"350"	"ENSG00000233623"	"PGAM1P11"	"chr1"	10058671	10059648
"351"	"ENSG00000201746"	"RNU6-828P"	"chr1"	10163268	10163374
"352"	"ENSG00000054523"	"KIF1B"	"chr1"	10210805	10381603
"353"	"ENSG00000264881"	"AL358013.1"	"chr1"	10227718	10227803
"354"	"ENSG00000199562"	"RNU6-37P"	"chr1"	10298966	10299072
"355"	"ENSG00000264501"	"RN7SL731P"	"chr1"	10306465	10306757
"356"	"ENSG00000284735"	"AL139424.3"	"chr1"	10381906	10387150
"357"	"ENSG00000284642"	"AL139424.2"	"chr1"	10395416	10397432
"358"	"ENSG00000142657"	"PGD"	"chr1"	10398592	10420511
"359"	"ENSG00000271989"	"AL139424.1"	"chr1"	10429881	10430677
"360"	"ENSG00000251503"	"CENPS-CORT"	"chr1"	10430102	10452153
"361"	"ENSG00000175279"	"CENPS"	"chr1"	10430433	10442808
"362"	"ENSG00000241563"	"CORT"	"chr1"	10449719	10451902
"363"	"ENSG00000160049"	"DFFA"	"chr1"	10456522	10472529
"364"	"ENSG00000203469"	"AL354956.1"	"chr1"	10458555	10459338
"365"	"ENSG00000142655"	"PEX14"	"chr1"	10472288	10630758
"366"	"ENSG00000287727"	"AL139423.2"	"chr1"	10612222	10616452
"367"	"ENSG00000243267"	"RN7SL614P"	"chr1"	10616836	10617115
"368"	"ENSG00000130940"	"CASZ1"	"chr1"	10636604	10796650
"369"	"ENSG00000272078"	"AL139423.1"	"chr1"	10639241	10654333
"370"	"ENSG00000225158"	"HSPE1P24"	"chr1"	10895761	10895998
"371"	"ENSG00000175262"	"C1orf127"	"chr1"	10946471	10982037
"372"	"ENSG00000215785"	"CFL1P6"	"chr1"	10990978	10991797
"373"	"ENSG00000120948"	"TARDBP"	"chr1"	11012344	11026420
