""	"Chr"	"Start"	"End"	"Strand"	"Length"	"X15644_S1_L001.bam"	"X15645_S2_L001.bam"	"X15646_S3_L001.bam"	"X15647_S4_L001.bam"	"X15650_S7_L001.bam"	"X15651_S1_L001.bam"	"X15652_S2_L001.bam"	"X15653_S3_L001.bam"	"X15654_S8_L001.bam"	"X15655_S9_L001.bam"	"X15656_S10_L001.bam"	"mean"	"sd"
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	526.927212021404	512.473864048621	503.725485517514	560.393912120899	515.78847236923	529.267463659803	430.643225181076	463.353602657489	441.310009615264	425.704065584495	441.096809141796	486.425829265235	47.1256876324015
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	549.691064665388	550.866266321624	488.197105888778	546.980941510059	474.416680381768	483.369800043458	387.512886838975	482.117759002861	426.659648201128	399.143673277663	436.260221322259	475.019640677633	58.3580795198837
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	289.959237776651	305.845092264707	226.865838966158	307.425286400455	325.53862600353	314.864391661775	224.013696082951	324.740963848129	328.990572106894	323.397369291514	379.510924239688	304.650181694768	45.0221487460926
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	196.664759727535	170.393246043102	181.038182013061	180.270325009691	199.913330625545	224.031952476981	240.077546587917	238.789021879006	258.051979996345	264.620204834729	254.082080119689	218.902966301237	34.4455595019355
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	302.64728679133	314.90397369991	317.763670939243	299.645763446168	368.118353523472	380.019816236026	299.491788181627	345.32100629144	356.235103859496	344.54731131362	370.482626976552	336.288791023535	30.4488976472434
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	391.836807806285	406.355538664816	441.990707969127	385.220515943328	455.995663511438	447.421979588699	402.036368117438	462.445659608519	420.234051089666	406.767489587957	406.273376841128	420.598014429855	26.8405658944201
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	470.950525191935	453.375447066583	578.337455928754	407.486047157322	475.624615914249	527.02072488138	482.575673388911	519.343424010615	440.538937961888	410.456432963906	421.428018675678	471.557936649202	53.4267043985477
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	638.507407768146	620.749065964618	630.603709313278	635.238288129387	524.847988862834	536.00767999507	443.186231739748	511.474584252878	455.960371029399	425.704065584495	461.732917171821	534.910209982879	83.6077761721828
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	642.612364802307	666.47484844707	652.191944406886	697.474471763685	541.457102434443	628.444932593022	495.55878544087	522.975196206493	464.956206985447	424.720347350908	479.144633322155	565.091893977572	94.7093613920345
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	314.215802069421	306.707842877584	231.410730564813	339.884675278688	329.162432600972	337.652742128631	217.852219176937	311.727113479565	372.9416563493	350.941479831932	364.356282405138	316.077543342089	49.9101274516371
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	251.521912820415	267.884065298143	201.111453240451	283.013679888726	318.592996691767	284.372936811756	213.011058750783	312.029761162555	357.777247166247	319.216566798772	385.959707999071	290.408307875335	56.4227663497899
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	236.967974244753	241.138796298972	190.885447143479	272.283303400054	305.003721951359	258.374959518582	174.501828088193	306.279455185747	355.464032206121	316.757271214806	394.988005262208	277.513163137661	66.6905783634623
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	324.291605698725	302.394089813202	226.108357033049	343.10378822529	347.583449471302	318.715943853356	242.718179547638	321.71448701823	379.881301229679	336.185706328136	396.277762014084	321.724970021154	51.0382600529511
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	264.209961835095	271.335067749649	212.473682237087	268.527671629019	316.177125626805	284.051974129124	225.113959816168	325.648906897099	346.468196250073	312.576468722064	353.070910826218	289.059447792582	46.20943971169
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	182.110821151873	201.020892800217	163.994838518108	195.024592681615	211.992685950351	196.108199088017	202.448526911901	239.091669561996	294.292347704995	303.231145502994	317.925039337581	227.930978109968	53.1110271389012
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	278.017544586364	281.688075104166	345.033020531169	282.208901652076	371.742160120914	378.415002822867	295.970944235333	380.125489835275	376.797014616177	355.614141441467	375.641653984059	338.295813539079	44.1308735411685
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	384.746427474552	321.374603296484	431.764701872154	356.51675883613	379.895724965159	397.351801098142	363.527137454848	403.126713742505	359.319390472998	372.829210529228	366.613356720922	376.096893314829	28.7898281378174
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	295.183728547401	320.080477377169	278.753351384128	283.281939300943	338.825916860817	321.28364531441	271.104983864632	299.92385384296	376.797014616177	347.252536455983	366.935795908892	318.129385770319	35.983707874447
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	275.032121288792	272.197818362525	265.49741755472	284.623236362027	378.083821666438	335.72696603284	253.500764133163	322.6224300672	378.08213403847	361.516450842985	383.057755307349	319.085537786955	50.6394418719531
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	267.568563044863	280.82532449129	243.530441494557	232.849169804184	318.291012808646	324.493272140728	276.82635527736	301.134444574919	326.163309377851	328.807819576239	335.014316299946	294.136729899144	35.9896539228098
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	193.306158517767	177.295250946114	182.553145879279	171.95428323097	244.304961444208	222.748101746454	194.306575286096	245.144623221794	279.899010175319	295.853258751096	284.391363788789	226.523339362535	45.9971351342969
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	310.857200859653	326.982482280181	302.614032277063	321.374775835729	388.049289809403	367.502271613386	280.347199223654	390.71815873992	405.069641906613	352.662986740708	399.502153893776	349.607290289099	43.4498343885735
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	214.204121600769	217.41315444487	193.53663390936	204.950190933637	241.587106496126	228.525430033826	236.116597148336	261.487598103246	299.432825394165	320.200285032358	292.129904300049	246.325804308795	41.7320121318472
"chr1-69"	"chr1"	69000001	70000000	"."	1000000	135.836760039512	123.804712947773	131.423115394419	129.301036688498	154.917732040641	163.370005459575	188.585203873368	169.482702474326	204.076964260058	256.258599849245	200.234735728842	168.844688068751	40.6989739042282
"chr1-70"	"chr1"	70000001	71000000	"."	1000000	234.728906771574	212.668026074049	245.802887293884	195.292852093832	261.820026665177	265.757101219113	244.478601520785	287.212651157385	308.171637465755	289.950949349578	271.816235457993	256.154534097193	33.882062464771
"chr1-71"	"chr1"	71000001	72000000	"."	1000000	142.180784546852	102.6673229323	149.981422755591	131.71537139845	169.412958430409	124.53352086113	153.816869903716	164.035044180509	185.571244579045	249.126642655744	203.459127608533	161.500028168389	40.4565592158141
"chr1-72"	"chr1"	72000001	73000000	"."	1000000	87.6968093661685	91.8829402713437	142.785344391055	89.330384268195	136.194731287191	138.97684157956	154.477028143646	131.349094417603	145.732542487976	205.843040377945	130.910310315475	132.289006082378	34.238471771632
"chr1-73"	"chr1"	73000001	74000000	"."	1000000	135.463582127316	109.569327835311	135.210525059964	98.4512042835663	131.061005274149	134.162401340083	150.296025957422	161.91651039958	165.266357706823	232.649362243173	191.851316841644	149.627056279003	37.7988637793383
"chr1-74"	"chr1"	74000001	75000000	"."	1000000	133.97087047853	138.902848673111	131.044374427864	122.326291970862	169.110974547288	162.728080094312	170.540878648612	177.956837598043	186.856364001338	238.305742086294	207.005958676194	167.159020109313	35.2181753474647
"chr1-75"	"chr1"	75000001	76000000	"."	1000000	188.454845659213	188.942384219946	185.96181457827	184.56247560516	257.290268418375	222.748101746454	265.823717945191	253.31611066252	296.86258654958	263.14462748435	275.685505713622	234.799312598426	41.7647655943108
"chr1-76"	"chr1"	76000001	77000000	"."	1000000	184.723066537249	177.295250946114	151.496386621809	177.587730887523	203.537137222986	198.675900549071	166.359876462388	216.090445654766	255.738765036218	292.410244933544	310.83137720226	212.249652913993	52.2380025293511
"chr1-77"	"chr1"	77000001	78000000	"."	1000000	289.959237776651	265.727188765952	284.434465882446	265.308558682417	334.296158614015	315.506317027038	291.569889302466	316.872124090392	341.070694676444	321.921791941134	319.537235277427	304.200332912398	26.1698908541064
"chr1-78"	"chr1"	78000001	79000000	"."	1000000	171.288661698176	169.530495430226	148.845199855927	180.002065597474	198.705395093064	225.63676589014	204.869107124978	211.853378092908	230.807448243743	289.950949349578	247.955735548276	207.222291084044	40.4460647185408
"chr1-79"	"chr1"	79000001	80000000	"."	1000000	129.492735532172	154.000984398449	150.360163722145	141.104450826038	185.720088118897	171.715035208001	155.797344623506	183.70714357485	188.398507308089	214.696504480222	178.953749322878	168.54060973775	24.7995379361526
"chr1-80"	"chr1"	80000001	81000000	"."	1000000	105.982527063795	108.706577222435	129.529410561646	96.0368695736151	139.516554001513	145.717057914827	163.279138009381	158.890033569681	159.611832248735	204.613392585962	160.252276420667	142.921424470205	31.60113003626
"chr1-81"	"chr1"	81000001	82000000	"."	1000000	164.57145927864	156.589236237079	171.190916882644	161.223906742298	209.274831002269	210.230557123815	174.941933581479	237.881078830037	238.26114089304	272.48995070342	228.931823458096	202.326075884801	39.0167086598243
"chr1-82"	"chr1"	82000001	83000000	"."	1000000	122.402355200439	134.157720302291	132.180597327528	120.448476085344	151.595909326319	155.987863759044	125.870171080008	152.534432226894	194.824104419551	256.012670290849	211.197668119793	159.746542558005	43.3342821603255
"chr1-83"	"chr1"	83000001	84000000	"."	1000000	150.763876527371	138.902848673111	152.632609521472	137.080559642786	191.15579801506	176.529475447478	141.934021584974	177.956837598043	223.610779478905	268.801007327471	262.787938194856	183.832341091957	48.1708161228141
"chr1-84"	"chr1"	84000001	85000000	"."	1000000	245.924244137468	208.785648316105	215.882350936077	239.019136285171	288.394608379751	270.892504141221	220.05274664337	286.002060425426	325.135213840016	327.332242225859	325.018701472902	268.403586982124	45.4216098369538
"chr1-85"	"chr1"	85000001	86000000	"."	1000000	239.207041717932	235.530917315275	254.135188558084	247.335178063891	328.558464834732	312.29669020072	260.542452025751	294.173547866152	322.82199887989	316.511341656409	302.125519127093	283.021667295085	35.9359641712563
"chr1-86"	"chr1"	86000001	87000000	"."	1000000	203.008784234875	243.295672831164	247.696592126657	216.217086246742	295.944205457755	281.805235350701	261.862768505611	282.370288229547	297.890682087414	316.757271214806	311.153816390229	268.909309334137	37.7721793578316
"chr1-87"	"chr1"	87000001	88000000	"."	1000000	205.994207532447	220.432781589937	180.659441046507	214.071010949008	266.349784911979	250.992817818051	164.159348995954	267.540551763044	300.203897047541	307.166018437339	335.659194675884	246.657186797063	54.6418239028543
"chr1-88"	"chr1"	88000001	89000000	"."	1000000	196.664759727535	195.41301381652	221.94220640095	189.391145025062	248.53273580789	232.056019542776	188.365151126725	240.604907976945	235.947925932913	329.545608251429	263.110377382826	231.052168271961	41.5258288548351
"chr1-89"	"chr1"	89000001	90000000	"."	1000000	247.043777874058	240.276045686096	244.666664394221	262.089445735815	323.726722704809	326.419048236519	269.564614638129	291.449718719243	354.949984437204	333.972340302567	366.290917532953	296.404480023783	46.4290263159923
"chr1-90"	"chr1"	90000001	91000000	"."	1000000	184.723066537249	231.217164250893	190.12796521037	207.096266231371	264.839865496378	239.438161243307	220.272799390014	290.844423353264	319.223664497471	305.444511528563	327.920654164625	252.831685627591	51.7420973244922
"chr1-91"	"chr1"	91000001	92000000	"."	1000000	343.696857132941	323.962855135113	326.474713169997	314.936549942525	369.930256822193	380.019816236026	341.741915537154	378.006956054346	408.925000173491	356.351930116657	389.828978254701	357.625075325013	30.1841479637679
"chr1-92"	"chr1"	92000001	93000000	"."	1000000	330.262452293869	319.217726764293	372.681111089649	278.45326988104	418.247678121419	374.563450631285	417.440060382474	391.62610178889	377.568086269553	381.436745073109	332.757241984162	363.11399311634	43.2045429923025
"chr1-93"	"chr1"	93000001	94000000	"."	1000000	335.113765152423	332.15898595744	346.547984397387	364.564541202634	415.831807056457	394.784099637087	346.363023216665	375.585774590427	394.788686528273	358.811225700623	374.351897232182	367.172890061054	26.8401476502052
"chr1-94"	"chr1"	94000001	95000000	"."	1000000	338.472366362191	352.002250053598	273.450977852365	349.005495294059	437.272662757989	384.834256475502	263.403137732114	379.217546786305	407.38285686674	369.632126270072	393.053370134393	358.884276962303	52.7672559768724
"chr1-95"	"chr1"	95000001	96000000	"."	1000000	204.501495883661	198.001265655149	198.081525508015	179.733806185257	249.740671340371	233.660832955935	196.287050005886	249.079043100662	287.352702824615	305.198581970166	320.182113653365	238.347189916644	48.4084518986649
"chr1-96"	"chr1"	96000001	97000000	"."	1000000	207.860097093429	170.82462134954	179.144477180289	164.4430196889	227.695847872599	194.182422992226	229.294962002392	248.171100051692	261.907338263223	287.737583324008	251.825005803905	220.280588692928	40.3530638577532
"chr1-97"	"chr1"	97000001	98000000	"."	1000000	98.5189688198659	112.588954980379	128.771928628537	103.279873703469	131.362989157269	135.767214753242	157.33771385001	167.969464059377	173.234098125036	230.681925776	176.696675007094	146.928164260025	39.0746069774208
"chr1-98"	"chr1"	98000001	99000000	"."	1000000	131.358625093155	142.353851124617	120.818368330892	146.737898482591	160.051458053684	162.728080094312	166.139823715745	179.772723695982	176.06136085408	269.538796002661	226.029870766373	171.053714201281	43.0714871251163
"chr1-99"	"chr1"	99000001	100000000	"."	1000000	188.82802357141	224.74653465432	210.958718370868	182.684659719642	281.146995184867	276.02790706333	238.31712461477	251.197576881591	282.212225135445	298.804413451855	318.569917713519	250.317645123783	45.1010619568678
"chr1-100"	"chr1"	100000001	101000000	"."	1000000	248.536489522844	245.883924669793	267.769863354047	236.873060987436	304.701738068239	289.508339733864	266.483876185122	311.727113479565	319.994736150846	342.825804404844	333.4021203601	287.9733697197	37.0841935675488
"chr1-101"	"chr1"	101000001	102000000	"."	1000000	184.723066537249	155.295110317764	173.842103648525	164.4430196889	195.685556261862	186.158355926431	172.961458861689	229.70959138931	259.337099418638	274.949246287386	237.315242345294	203.129077334823	40.5307292481319
"chr1-102"	"chr1"	102000001	103000000	"."	1000000	135.090404215119	111.726204367502	140.512898591727	121.789773146428	160.957409703044	155.024975711149	191.005784086446	171.903883938245	181.458862427709	223.795898140896	196.365465473212	162.693778163771	34.1941078121702
"chr1-103"	"chr1"	103000001	104000000	"."	1000000	131.731803005351	110.432078448188	124.605777996438	109.181580772238	128.645134209187	129.347961100607	163.059085262737	151.323841494934	154.985402328482	201.170378768409	181.8557020146	144.212613218288	29.2485929777552
"chr1-104"	"chr1"	104000001	105000000	"."	1000000	126.880490146797	147.098979495438	153.768832421136	119.10717902426	162.467329118645	146.038020597459	197.82741923239	162.521805765559	198.422438801971	235.354587385535	197.655222225088	167.922027655843	35.3480634717392
"chr1-105"	"chr1"	105000001	106000000	"."	1000000	122.402355200439	131.138093157223	115.137253832575	113.473731367707	165.185184066726	155.666901076413	176.92240830127	167.666816376387	179.145647467582	231.911573567983	166.056181804112	156.791467838038	35.0371633937406
"chr1-106"	"chr1"	106000001	107000000	"."	1000000	147.778453229799	123.373337641335	116.273476732238	122.594551383078	155.521699806881	157.271714489571	180.22319950092	162.824453448549	183.00100573446	234.862728268742	183.467897954446	160.653865290002	34.5340740706025
"chr1-107"	"chr1"	107000001	108000000	"."	1000000	171.288661698176	158.74611276927	154.14757338769	185.635513254027	217.730379729634	205.095154201706	168.120298435535	206.70836748208	271.417221988188	321.921791941134	302.770397503031	214.871042944588	58.5927663120379
"chr1-108"	"chr1"	108000001	109000000	"."	1000000	321.67936031335	336.472739021822	277.995869451019	283.281939300943	360.568756445469	377.13115209234	308.954056287292	335.636280435764	331.560810951479	374.304787879608	312.121133954136	329.064262375747	33.0212091147674
"chr1-109"	"chr1"	109000001	110000000	"."	1000000	603.801861933875	600.474426562021	600.683172955471	597.681970419035	523.338069447234	545.957523156655	422.501273555271	500.881915348232	441.567033499722	415.620953690235	436.582660510228	517.190078279816	77.793253348146
"chr1-110"	"chr1"	110000001	111000000	"."	1000000	478.040905523668	435.257684196177	372.302370123095	527.666263830449	444.822259835993	439.718875205537	321.277010099321	400.402884595596	412.009286786993	388.322772708213	419.170944359894	421.726477933176	54.441788882412
"chr1-111"	"chr1"	111000001	112000000	"."	1000000	360.863041093979	399.022158455366	283.298242982782	388.976147714363	374.761998952116	377.773077457603	265.383612451905	346.22894934041	382.451540074264	364.713535102141	387.894343126886	357.396967886529	43.7627716055091
