""	"Chr"	"Start"	"End"	"Strand"	"Length"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML11_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML12_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML13_S7_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.AML14_S8_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy1_S4_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy2_S5_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.healthy3_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.Kontrolle.karyotype_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.new.pon.marburg.WholeGenomeHealthy_S7_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.62720_S6_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63120_S8_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63220_S9_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63320_S1_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63420_S1_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63520_S2_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63620_S3_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63720_S4_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.63820_S5_L001.bam"	"X.media.vera.big_data.mr_genoms.marburg.gesund.september.64820_S7_L001.bam"	"mean"	"sd"
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	353.920502268488	344.675001395387	353.780632872101	328.136998029512	362.19463947806	344.118826048007	359.068652769456	343.872238927604	305.026302992794	364.004390174496	355.94069295315	373.824526551776	341.177672050862	336.332032011266	303.33990139517	342.890852870251	311.726765465618	317.292096305014	329.567820910664	340.573186603667	20.2988713258595
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	378.204338307308	326.837063092788	335.465014276543	336.465348233307	358.995769442784	357.268922878524	358.242257711299	353.109022014685	274.885363961886	370.791764853164	365.567939344069	327.1413484041	318.737798318658	335.703374007506	315.602578260081	319.69154609613	364.247627833462	316.753856955896	316.472410808253	338.430702357918	25.766025471095
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	347.193223365841	294.613690675189	329.681134720051	316.4773077442	345.168395741912	326.536112308328	342.127554077227	325.662580841645	267.651538594468	359.730857969409	336.418776660453	347.969227885371	329.72875688137	321.55856892292	304.630709486213	321.476108155678	335.824572904981	349.586457252089	318.654979158655	327.404765965579	21.7050486753753
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	343.41938398143	363.088357062586	332.091084535256	364.781738926209	350.637431608675	347.369411781393	350.804702187881	338.594077163558	298.194356812455	376.824986789758	366.905056898363	362.692384070407	359.03797971527	298.926880787583	305.921517577256	316.632296851191	357.759756599787	350.662935950325	316.908924478333	342.171224409353	24.1290768730394
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	359.663301331722	338.345410384787	366.312371911167	364.781738926209	370.243409244239	342.19802538737	366.506208292874	354.164654367494	331.952208527073	342.636729149059	374.66033871327	346.173721033537	355.374326861033	364.307313178558	321.411214669776	331.163730764652	379.38599404537	333.170157103992	354.012586435163	352.445444227755	16.5528525745395
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	351.295222696723	298.066194862789	347.996753315609	308.148957540405	355.384141983601	337.765408478207	359.068652769456	343.608330839402	300.605631934928	360.987779206199	339.627858790759	345.096416922437	348.962934366117	392.911252349609	334.641997602969	310.513798361313	364.865520331907	318.637694677809	353.139559095002	340.596005585539	24.2897977727072
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	451.219926397006	384.378799552786	385.591970432808	511.360702512996	459.914959587953	421.098606370468	462.36803503915	449.171566120324	371.738248047872	501.762957726722	429.482158439338	474.372910254463	430.021253766121	407.370386436075	439.842857022996	380.876530994911	550.233269865476	452.659292608171	431.712019709465	441.851392151847	46.7570718644154
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	373.610099056721	349.853757676787	359.082522465552	414.751840148978	388.40473589613	367.61169566657	388.818874863128	389.792246274805	282.521068516383	384.617898457858	343.906634964501	360.17867447784	356.290240074592	329.416793969912	347.872780536163	359.716723717416	366.101305328798	345.011422784587	356.195154785565	361.250235245383	27.9688510637182
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	389.689936433778	342.373331936987	342.694863722158	288.160917051298	367.457296632869	366.429664490794	378.902134165238	391.903510980424	288.951135509643	370.288996358448	354.603575398855	343.66001144097	400.712030932221	331.93142598495	329.478765238796	326.064982023087	389.272274020494	337.476071896936	346.155340373717	351.905592873245	31.9843325173434
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	363.273060742898	330.864984644988	321.487305348353	329.802668070271	375.712445111002	356.530153393663	360.721442885772	367.360058777609	304.624423805716	342.636729149059	381.88077350646	352.996647070505	357.664109894931	316.214975890966	327.542553102231	310.513798361313	364.865520331907	324.020088168988	341.790203672913	343.710628522608	22.9701291476806
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	359.827381304958	315.328715800788	333.055064461338	363.11606888545	354.558627135788	365.395387211989	373.943763816292	344.663963192211	294.979323315825	372.802838832029	362.091433702904	336.118882663268	340.261758837303	329.102464968033	337.546315807817	318.926733784896	350.96293911689	329.940721009285	353.139559095002	343.987470681161	20.9258315260258
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	361.632261010546	333.166654103388	344.622823574322	353.122048640897	340.421685366986	339.686209138845	383.034109456025	368.415691130419	280.10979339391	340.625655170195	357.010386996585	352.278444329771	326.065104027133	331.61709698307	310.439345895908	319.181671221974	363.938681584239	316.753856955896	361.869832496609	341.262702709301	24.184867686418
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	385.259777156425	349.853757676787	318.595365570107	334.799678192548	377.260285450652	367.463941769598	401.62799826457	367.623966865812	293.37180656751	340.122886675479	358.614928061738	334.323375811434	360.411849535609	352.991469110889	323.347426806341	343.910602618564	382.166510288374	331.28631938208	371.473133238377	352.342372581205	26.5785567956968
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	350.638902803782	349.853757676787	347.996753315609	338.131018274066	352.494840016254	353.575075454221	370.638183583662	368.151783042216	268.053417781547	337.35765995454	336.95362368217	373.106323811042	336.140149376286	327.845148960514	302.371795326887	321.476108155678	343.548229135547	311.371463464717	331.750389261065	337.9712959514	25.1458498083964
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	386.736496915543	363.663774427186	330.163124683092	341.462358355584	355.177763271647	346.039626708645	358.655455240378	369.73523157143	319.092074540552	334.341048986243	348.72025815996	372.747222440676	352.168630613575	325.016187943597	325.606340965666	337.537166691608	328.100916674416	319.175934026926	340.917176332753	345.002988871025	19.2153777379521
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	358.514741519075	323.959976269788	314.739445865779	389.766789537593	378.498557722372	353.722829351193	379.315331694316	364.457069807384	317.082678605158	349.926872322444	349.789952203396	326.782247033733	324.233277600014	307.413763838334	314.311770169038	340.851353373625	354.052401609116	315.946497932219	332.186902931146	341.871182072933	24.9055177677978
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	353.920502268488	306.697455331789	317.631385644025	326.471327988753	340.008927943079	328.604666865937	356.589467594984	355.220286720303	274.483484774807	345.401955869998	359.684622105174	355.510356663072	311.410492610183	322.18722692668	318.829598487689	310.513798361313	360.849219092013	302.75963387883	357.504695795806	331.804163416996	24.5815585590689
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	358.02250159937	331.440402009588	333.537054424379	324.805657947994	362.091450122083	346.039626708645	386.752887217734	350.469941132662	272.474088839413	344.145034633208	377.869420843577	344.378214181703	346.215194725439	344.818915062017	312.375558032473	322.240920466913	371.353391565582	333.439276778551	315.162869798012	340.928021373123	26.1276901629555
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	375.086818815838	332.015819374188	293.049897528934	306.483287499646	343.414176690309	333.776053259961	364.440220647481	339.91361760457	291.362410632116	342.636729149059	327.326377291251	370.233512848108	310.494579396624	309.928395853372	325.606340965666	307.709486553452	314.816227957844	311.909702813835	330.440848250824	327.928658059636	24.1387831923414
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	375.414978762309	326.837063092788	320.523325422271	328.136998029512	363.639290461733	344.562087738924	366.919405821953	339.385801428165	312.662007547291	341.379807912269	355.673269442291	369.156208737008	345.29928151188	340.103980033822	336.255507716773	344.675414929799	356.832917852119	329.133361985608	347.464881383958	344.423978411078	17.0725420180052
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	397.2376152026	371.719617531586	337.392974128707	354.787718681655	402.541677664932	349.142458545059	403.693985909964	368.943507306823	299.399994373691	352.189330548666	343.639211453642	359.460471737106	351.710674006795	314.957659883447	319.475002533211	329.124231268026	376.914424051589	345.549662133705	343.536258353235	353.758761858655	28.576768479453
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	369.836259672309	313.602463706988	336.428994202625	314.811637703441	360.853177850363	351.211013102668	392.537652624837	353.63683819109	299.399994373691	323.280142102487	361.021739659468	370.233512848108	316.905971891539	322.815884930439	311.730153986951	337.027291817452	338.914035397208	304.643471600743	354.449100105243	338.596807145666	25.9102297112514
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	358.678821492311	323.384558905188	317.149395680984	353.122048640897	356.003278119461	362.292555375575	358.242257711299	362.345805101766	286.53986038717	342.888113396417	358.882351572597	347.969227885371	342.093585264422	340.418309035701	332.060381420883	364.305597584825	329.645647920529	324.020088168988	312.54378777753	340.662403760101	21.0255157726139
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	388.869536567601	354.457096593587	357.636552576429	351.456378600138	388.198357184177	358.155446260356	381.38131933971	342.024882310188	333.961604462466	360.987779206199	379.741385419589	355.510356663072	308.204796362725	338.218006022544	320.443108601493	333.203230261278	382.475456537596	316.753856955896	371.473133238377	353.850120166496	24.5389066647457
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	374.922738842603	318.205802623788	370.650281578536	368.113079007727	357.035171679227	362.440309272547	372.704171229056	359.970632307945	301.409390309085	362.496084690347	348.72025815996	363.769688181507	341.177672050862	321.244239921041	314.634472191799	348.754413923051	399.46750024484	329.671601334726	312.98030144761	348.861463631382	26.1164344765151
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	343.911623901136	329.714149915788	328.235164830928	314.811637703441	339.080223739289	337.322146787291	332.624010908415	316.953613930969	301.811269496164	339.620118180762	322.780177606651	352.996647070505	343.467455084761	328.788135966153	297.853967008236	325.55510714893	344.784014132437	327.518643938254	325.63919787994	329.129858170003	14.2867794226625
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	375.743138708779	357.334183416587	309.919546235369	339.796688314825	381.697427757648	358.746461848245	374.356961345371	378.708106570309	268.053417781547	356.211478506395	354.336151887997	369.156208737008	371.402808098321	340.103980033822	341.096038058186	318.671796347817	354.361347858338	331.28631938208	343.972772023315	348.681833311156	27.9429645854735
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	385.752017076131	353.881679228987	356.190582687306	344.793698437102	372.204007007796	369.384742430235	364.853418176559	359.178908043338	309.84885323774	359.982242216767	339.627858790759	350.482937477938	359.03797971527	335.389045005627	331.414977375361	341.106290810704	375.987585303921	336.3995931987	328.694793570503	351.274274199513	18.7897605915463
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	355.069062081135	332.015819374188	358.11854253947	351.456378600138	369.314705040449	377.954468454617	382.620911926947	347.303044074234	291.362410632116	343.390881891134	353.266457844561	388.188581366445	372.318721311881	332.24575498683	323.02472478358	320.711295844443	382.166510288374	326.442165240018	307.305623736566	348.11979263248	27.2216007511731
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	352.44378250937	391.283807927985	314.739445865779	306.483287499646	370.759356024122	350.619997514779	342.540751606305	331.204650693894	303.0169070574	368.026538132225	348.987681670819	367.360701885174	313.242319037302	327.530819958634	317.538790396646	324.535357400617	352.507670363003	326.442165240018	356.631668455645	340.310299959967	24.6101326833964
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	348.341783178488	329.714149915788	349.924713167773	336.465348233307	346.097099945702	352.393044278445	346.259529368014	355.220286720303	284.128585264698	330.067516781155	349.255105181678	365.924296403708	348.962934366117	332.874412990589	301.403689258605	336.772354380373	320.686206693073	333.439276778551	354.885613775324	338.042944562194	19.6101605085391
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	357.694341652899	357.334183416587	334.01904438742	383.104109374558	342.175904418589	354.018337145138	387.992479804971	374.221669070869	339.989792268648	357.217015495828	363.161127746339	359.819573107473	356.290240074592	346.390560071416	328.187957147753	330.143981016339	360.231326593568	329.133361985608	360.560291486368	353.772910329735	17.1552589240822
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	351.295222696723	363.663774427186	363.902422095962	313.145967662682	343.414176690309	356.97341508458	375.596553932607	362.87362127817	317.484557792237	345.401955869998	341.232399855912	351.560241589038	350.794760793236	336.332032011266	290.431820484737	333.713105135434	344.475067883215	342.589345713556	322.147088519298	342.475133132429	20.5439154388511
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	388.049136701425	303.244951144189	343.65884364824	361.450398844691	388.507925252107	359.632985230077	354.110282420511	374.221669070869	310.250732424818	362.998853185064	370.11413902867	337.555288144735	348.962934366117	344.190257058258	329.478765238796	332.693355387121	367.646036574911	360.889483583565	336.552039631949	351.274109312427	23.1278963146331
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	371.312979431427	399.915068396985	334.501034350461	339.796688314825	364.05204788564	354.018337145138	350.391504658802	368.679599218621	313.06388673437	340.122886675479	343.639211453642	344.378214181703	348.962934366117	348.905192086453	341.096038058186	318.926733784896	318.832529197738	329.671601334726	358.377723135967	346.770747916378	20.6699981959251
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	343.255304008195	325.686228363588	361.492472280757	389.766789537593	342.382283130542	340.424978623705	332.624010908415	346.511319809627	336.372879584939	352.440714796024	327.058953780392	356.587660774172	355.832283467812	320.929910919161	317.861492419407	310.003923487157	327.791970425193	345.818781808264	341.790203672913	340.770113778835	18.3278566549102
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	353.592342322017	344.675001395387	334.501034350461	323.139987907236	366.21902436115	362.588063169519	382.207714397868	350.733849220864	313.465765921449	346.40749285943	342.302093899348	369.874411477742	336.140149376286	327.530819958634	333.996593557448	314.082922480409	371.971284064027	319.445053701485	365.361941857252	345.170291909369	20.7049072949257
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	373.446019083485	332.015819374188	343.176853685199	346.459368477861	361.988260766107	362.144801478603	379.728529223395	386.625349216378	337.176637959097	336.603507212465	390.973172875661	355.151255292705	367.281198637304	321.8728979248	354.972225036901	333.203230261278	338.914035397208	345.280542459146	358.377723135967	353.967969868302	19.4518359467147
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	338.332904811137	364.239191791786	343.176853685199	353.122048640897	357.86068652704	334.071561053905	368.572195938268	373.429944806262	351.644288693933	366.769616895435	346.580870073089	340.068997737302	374.608504345779	346.076231069536	334.641997602969	351.558725730912	356.523971602897	357.929167163417	333.496443941387	352.247589584797	13.207539062957
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	308.962589602022	356.758766051987	365.348391985085	323.139987907236	321.744411935211	344.266579944979	311.550936925397	334.635455840523	314.671403482685	353.446251785457	332.942271019287	329.2959566263	353.084543827134	315.586317887206	341.096038058186	326.829794334321	333.044056661978	370.308672193129	330.877361920905	335.136304631002	18.0892237787522
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	335.871705212607	351.004592405987	341.248893833035	349.790708559379	337.429194043663	344.118826048007	343.780344193542	352.317297750078	346.419859261909	346.910261354147	347.650564116525	344.73731555207	342.551541871201	336.332032011266	359.490053355552	345.185289803956	331.190379166642	331.28631938208	358.377723135967	344.510152687243	7.91126422002802
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	338.168824837901	311.876211613188	357.636552576429	328.136998029512	326.181554242207	344.414333841952	336.755986199203	342.28879039839	267.651538594468	325.793984576068	320.105942498062	366.642499144441	363.617545783067	348.905192086453	320.120406578733	350.793913419677	321.921991689964	321.059771748839	330.004334580744	332.740861707331	22.2947869668887
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	336.199865159078	337.194575655587	366.312371911167	374.775759170763	346.922614793515	325.649588926496	343.367146664463	344.400055104009	309.045094863582	332.329975007378	319.036248454626	338.632592255835	330.64467009493	338.846664026303	328.187957147753	303.6304875602	316.052012954734	347.971739204735	348.337908724119	336.186175141014	17.7142105676757
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	382.30633763819	355.607931322787	333.537054424379	364.781738926209	383.038889385344	346.187380605617	390.471664979443	352.053389661876	322.307108037182	359.982242216767	350.859646246831	374.183627922142	373.69259113222	345.447573065777	327.219851079471	345.695164678112	350.653992867667	339.090789944289	358.814236806047	355.575326891597	18.9899678596517
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	374.758658869368	271.02157872659	311.365516124492	361.450398844691	368.489190192636	376.476929484896	348.738714542487	363.401437454575	306.633819741109	362.747468937705	359.149775083456	333.246071700334	348.962934366117	337.903677020664	311.730153986951	358.696973969103	375.678639054699	313.524420861188	338.298094312271	343.27760280386	28.9268317228061
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	352.936022429076	323.959976269788	351.852673019937	343.128028396343	346.819425437538	374.999390515175	336.342788670124	333.315915399512	349.23301357146	341.379807912269	351.12706975769	391.061392329379	358.122066501711	340.418309035701	323.347426806341	331.928543075886	347.873476624663	352.277653997679	354.885613775324	347.632031238189	16.195476232424
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	356.873941786723	357.909600781187	369.686301652454	341.462358355584	350.637431608675	338.208670169124	348.738714542487	347.303044074234	348.027376010224	349.172719580369	351.394493268549	365.924296403708	338.887889016964	330.988438979311	347.550078513402	345.185289803956	345.710852880105	325.634806216342	351.393504414681	347.931042529372	10.6077448565214
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	348.998103071429	355.607931322787	347.996753315609	394.76379965987	352.082082592348	346.187380605617	329.318430675785	328.829477900073	387.813415531023	347.915798343579	354.870998909714	370.951715588842	369.113025064423	337.903677020664	350.77709874101	317.397109162426	363.011842836571	348.240858879294	361.869832496609	353.349964827246	19.0134541085369
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	334.230905480255	342.948749301587	344.140833611281	348.12503851862	344.033312826169	355.495876114859	382.207714397868	355.748102896708	329.5409334046	367.775153884867	347.917987627384	361.615079959307	357.206153288151	335.703374007506	332.060381420883	332.948292824199	360.231326593568	316.215617606778	356.195154785565	347.59684150264	15.6166164019949
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	324.550187059373	362.512939697986	369.204311689413	293.157927173574	345.581153165818	352.540798175417	353.283887362354	361.290172748956	347.625496823145	345.401955869998	375.730032756706	397.525216995981	379.188070413576	337.275019016905	329.156063216035	334.477917446669	364.556574082685	344.742303110028	365.361941857252	351.745366771677	23.1213085800971
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	339.809624570254	319.356637352988	377.880131024152	339.796688314825	340.318496011009	350.176735823863	332.624010908415	352.58120583828	328.335295843364	359.47947372205	333.209694530146	331.450564848501	352.168630613575	351.419824101491	340.127931989903	340.341478499469	363.629735335017	352.815893346796	350.956990744601	345.077844390458	13.8315028938344
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	342.927144061724	361.362104968786	332.573074498297	309.814627581164	335.571785636083	324.467557750719	299.568208582113	315.89798157816	313.06388673437	335.346585975675	330.802882932416	375.979134773976	340.261758837303	328.788135966153	332.060381420883	323.260670215226	345.401906630882	332.901037429433	360.123777816288	333.693297020508	18.6068445529952
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	332.261945801431	345.825836124587	322.933275237476	299.82060733661	329.79318170139	324.615311647691	365.679813234717	319.064878636587	338.382275520333	315.989998929103	340.430129323336	359.460471737106	324.233277600014	348.590863084573	325.283638942906	336.262479506217	369.499714070246	325.9039258909	345.718826703636	335.250023738361	17.6728819075158
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	331.113385988784	327.412480457388	315.22143582882	329.802668070271	332.166536888853	325.058573338607	327.252443030391	337.538444810749	318.288316166394	343.139497643775	378.404267865295	326.423145663366	367.281198637304	357.706404139084	344.968462331316	346.205039552269	312.962550462508	328.056883287372	339.607635322512	336.24259839395	17.119778546426
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	348.834023098194	375.172121719186	322.933275237476	371.444419089245	337.945140823546	328.604666865937	356.589467594984	337.274536722547	383.794623660235	345.904724364714	334.546812084441	374.901830662876	349.878847579676	340.418309035701	339.805229967143	350.029101108442	323.157776686854	343.127585062674	352.266531754842	348.243632795722	17.5810386476346
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	332.261945801431	333.166654103388	360.528492354675	349.790708559379	329.380424277484	357.416676775496	330.9712207921	334.107639664119	329.5409334046	355.457325764321	338.558164747324	352.278444329771	337.056062589845	314.329001879687	347.550078513402	344.675414929799	328.409862923639	357.660047488858	357.504695795806	341.612831299743	13.1383528747952
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	327.175466631138	349.853757676787	325.343225052681	288.160917051298	334.230324008386	329.343436350798	345.846331838936	366.3044264248	369.326972925399	358.976705227334	360.486892637751	354.073951181605	302.709317081369	321.8728979248	335.287401648491	335.242729757904	318.214636699292	319.445053701485	361.869832496609	337.040225069309	22.1705331264966
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	349.982582910841	387.255886375786	346.068793463445	299.82060733661	338.564276959406	338.356424066096	352.457492304196	339.649709516367	340.793550642806	338.363196943972	337.755894214747	344.019112811336	343.467455084761	332.560083988709	353.036012900336	327.594606645556	328.718809172861	335.861353849582	358.377723135967	341.721240648599	16.6426624692816
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	339.973704543489	357.909600781187	367.276351837249	269.838546602949	336.913247263779	341.902517593426	290.064665413301	333.843731575917	359.27999324843	338.865965438688	339.627858790759	353.355748440872	353.084543827134	332.560083988709	329.801467261557	320.966233281522	326.556185428303	368.155714796657	316.035897138173	335.579581960637	24.6676078626197
