""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"62720_S6_L001.bam"	"63120_S8_L001.bam"	"63220_S9_L001.bam"	"63320_S1_L001.bam"	"63420_S1_L001.bam"	"63520_S2_L001.bam"	"63620_S3_L001.bam"	"63720_S4_L001.bam"	"63820_S5_L001.bam"	"64820_S7_L001.bam"	"AML11_S6_L001.bam"	"AML12_S6_L001.bam"	"AML13_S7_L001.bam"	"AML14_S8_L001.bam"	"healthy1_S4_L001.bam"	"healthy2_S5_L001.bam"	"healthy3_S6_L001.bam"	"Kontrolle-karyotype_S6_L001.bam"	"WholeGenomeHealthy_S7_L001.bam"	"gc"	"ploidy"	"gender"	"bin"	"sum"	"mean"	"norm.median"	"norm.sd"	"nnorm.var"	"gc_blocked"	"norm.clean.mean"	"norm.clean.median"	"norm.clean.var"	"norm.clean.sd"	"norm.clean.iqr"	"var_blocked"	"blocked"
"18"	"chr1-17"	"chr1"	17000001	18000000	"."	1000000	1530	1286	1003	778	1048	1078	1411	1185	1282	816	2277	608	745	249	3764	2488	941	1477	703	0.502632	2	"neutral"	18	24669	1298.36842105263	1.05823863636364	0.0827929511827155	0.00612095941149968	FALSE	1.07649419149016	1.05823863636364	0.00291263033192397	0.0539687903507571	0.0776408251161738	FALSE	FALSE
"19"	"chr1-18"	"chr1"	18000001	19000000	"."	1000000	1473	1326	957	875	1056	1021	1279	1260	1254	793	2375	595	711	173	3561	2480	917	1485	719	0.497501	2	"neutral"	19	24310	1279.47368421053	1.02720207253886	0.0942101411657557	0.00841169534733761	FALSE	1.06643532515933	1.04	0.00527791348874311	0.0726492497465948	0.123668839193954	FALSE	FALSE
"20"	"chr1-19"	"chr1"	19000001	20000000	"."	1000000	1363	1428	983	781	1006	1015	1218	1181	1204	783	2214	575	667	198	3641	2413	873	1392	758	0.471745	2	"neutral"	20	23693	1247	1.01424870466321	0.066567621839709	0.00430761777385451	FALSE	1.02049254479037	1.01424870466321	0.0044312482773945	0.066567621839709	0.111101744703468	FALSE	FALSE
"21"	"chr1-20"	"chr1"	20000001	21000000	"."	1000000	1483	1354	936	743	1047	1046	1251	1136	1226	809	2193	548	691	218	3436	2473	905	1306	734	0.460951	2	"neutral"	21	23535	1238.68421052632	1.02672955974843	0.0614304385668462	0.00357976980488736	FALSE	1.02137625247687	1.02672955974843	0.00377369878251507	0.0614304385668462	0.0840319445185875	FALSE	FALSE
"22"	"chr1-21"	"chr1"	21000001	22000000	"."	1000000	1355	1335	981	712	1055	962	1252	1178	1177	829	2204	579	715	212	3299	2299	927	1396	697	0.483198	2	"neutral"	22	23164	1219.15789473684	1.01367337532647	0.0711632935782077	0.00492851406675633	FALSE	1.02290288168086	1.01464918766324	0.00349291418529557	0.0591008814257077	0.0836164036842987	FALSE	FALSE
"23"	"chr1-22"	"chr1"	22000001	23000000	"."	1000000	1353	1341	931	787	1123	1002	1349	1237	1231	851	2348	608	661	201	3656	2487	972	1393	730	0.494369	2	"neutral"	23	24261	1276.89473684211	1.05176470588235	0.0803752761831335	0.00583993173236013	FALSE	1.0470858368172	1.05176470588235	0.0040520584282398	0.0636557807920051	0.100076281213027	FALSE	FALSE
"24"	"chr1-23"	"chr1"	23000001	24000000	"."	1000000	1342	1260	1039	734	1043	937	1261	1112	1157	760	2137	608	722	203	3416	2393	897	1395	667	0.460703	2	"neutral"	24	23083	1214.89473684211	1.0049504950495	0.072598255172126	0.00521870837708585	FALSE	1.01449013001801	1.01525933843384	0.00310241297683379	0.0556993085848809	0.0637041610318412	FALSE	FALSE
"25"	"chr1-24"	"chr1"	24000001	25000000	"."	1000000	1330	1304	1038	769	1034	1009	1324	1062	1186	781	2357	632	685	205	3442	2342	868	1401	794	0.469168	2	"neutral"	25	23563	1240.15789473684	1.01485148514851	0.0555886096942064	0.00300031353493615	FALSE	1.02435615422974	1.01485148514851	0.00309009352773482	0.0555886096942064	0.088041408240786	FALSE	FALSE
"26"	"chr1-25"	"chr1"	25000001	26000000	"."	1000000	1392	1308	910	708	978	974	1337	1146	1174	761	2185	563	653	234	3668	2394	918	1381	789	0.477051	2	"neutral"	26	23473	1235.42105263158	1.01750380517504	0.0753061413626462	0.00547757971232389	FALSE	1.00726863449329	1.00162755025591	0.00473148141549757	0.0687857646282831	0.1041308626648	FALSE	FALSE
"27"	"chr1-26"	"chr1"	26000001	27000000	"."	1000000	1374	1345	990	680	1025	988	1218	1168	1125	819	2157	533	659	196	3295	2224	863	1346	683	0.486304	2	"neutral"	27	22688	1194.10526315789	0.976294995610184	0.0720308823997187	0.00544346385799703	FALSE	0.994184594774504	0.99436965174579	0.00385853186844463	0.062117081937617	0.116722926197542	FALSE	FALSE
"28"	"chr1-27"	"chr1"	27000001	28000000	"."	1000000	1369	1413	959	756	1097	968	1264	1202	1239	722	2182	576	692	195	3509	2342	936	1328	678	0.485994	2	"neutral"	28	23427	1233	1.01332346410067	0.0767672822648118	0.005739263091263	FALSE	1.0153194519783	1.01332346410067	0.00295043127549815	0.0543178725236744	0.0677539707920264	FALSE	FALSE
"29"	"chr1-28"	"chr1"	28000001	29000000	"."	1000000	1363	1224	1031	678	986	1009	1207	1019	1159	757	2286	577	608	184	3328	2259	882	1288	725	0.453068	2	"neutral"	29	22570	1187.89473684211	0.972061657032755	0.0711628949307095	0.00535944216349092	FALSE	0.965539556032016	0.966030828516378	0.00402235365747916	0.0634220281722302	0.0837587541054772	FALSE	FALSE
"30"	"chr1-29"	"chr1"	29000001	30000000	"."	1000000	1358	1330	1028	754	1082	1042	1352	1155	1223	796	2288	568	665	197	3524	2332	888	1286	778	0.472683	2	"neutral"	30	23646	1244.52631578947	1.01787394167451	0.0508935156760226	0.00249998217781476	FALSE	1.02272664904209	1.01787394167451	0.00259014993786556	0.0508935156760226	0.0616204571785857	FALSE	FALSE
"31"	"chr1-30"	"chr1"	30000001	31000000	"."	1000000	1401	1285	1001	768	1002	990	1291	1220	1284	787	2421	646	700	213	3901	2363	977	1398	745	0.4824	2	"neutral"	31	24393	1283.84210526316	1.03700962250185	0.0852036981881261	0.00675073901083728	FALSE	1.04098555590814	1.03602502688435	0.00397750217339713	0.0630674414686146	0.0603628055745591	FALSE	FALSE
"32"	"chr1-31"	"chr1"	31000001	32000000	"."	1000000	1286	1350	1031	692	1027	966	1322	1097	1132	812	2254	545	698	189	3497	2377	950	1340	745	0.473163	2	"neutral"	32	23310	1226.84210526316	1.00608828006088	0.0767823667925604	0.00582439486231154	FALSE	0.996093100958244	0.998782776394078	0.00450143851757999	0.0670927605452331	0.119675899967132	FALSE	FALSE
"33"	"chr1-32"	"chr1"	32000001	33000000	"."	1000000	1364	1342	969	747	1083	1029	1429	1067	1204	716	2186	562	658	212	3450	2452	867	1373	713	0.472913	2	"neutral"	33	23423	1232.78947368421	1.01881467544685	0.0624548813018875	0.00375787552381425	FALSE	1.02001222620284	1.01994474552111	0.00268597520888756	0.0518263949053719	0.0817250683000303	FALSE	FALSE
"34"	"chr1-33"	"chr1"	33000001	34000000	"."	1000000	1436	1420	990	673	1076	993	1307	1238	1177	851	2370	616	742	211	3762	2424	923	1296	831	0.458975	2	"neutral"	34	24336	1280.84210526316	1.04455445544554	0.0728727047055146	0.00486707015208839	FALSE	1.05868822892441	1.04926586408641	0.0043406930368498	0.06588393610623	0.0969878837890488	FALSE	FALSE
"35"	"chr1-34"	"chr1"	34000001	35000000	"."	1000000	1442	1304	1013	745	1022	975	1368	1293	1225	717	2285	553	769	221	3460	2453	902	1364	750	0.448008	2	"neutral"	35	23861	1255.84210526316	1.06314333999078	0.0773214266058451	0.00528951765201876	FALSE	1.02714343579216	1.05211961520087	0.00480092282308653	0.0692886918846541	0.108839137766022	FALSE	FALSE
"36"	"chr1-35"	"chr1"	35000001	36000000	"."	1000000	1351	1207	983	750	1046	923	1277	1116	1217	746	2096	573	681	189	3286	2283	805	1201	751	0.4239	2	"neutral"	36	22481	1183.21052631579	0.976725521669342	0.0403878235316792	0.00170984139944668	FALSE	0.977221842471272	0.976725521669342	0.00163117628962606	0.0403878235316792	0.0494429518769315	FALSE	FALSE
"37"	"chr1-36"	"chr1"	36000001	37000000	"."	1000000	1417	1325	1028	811	1082	1057	1250	1147	1231	788	2290	621	643	204	3699	2428	906	1435	667	0.484499	2	"neutral"	37	24029	1264.68421052632	1.04885270170244	0.0817483097066377	0.0060747521129493	FALSE	1.04811211582176	1.0506975372919	0.00374454790746963	0.0611927112282961	0.0725737515547076	FALSE	FALSE
"38"	"chr1-37"	"chr1"	37000001	38000000	"."	1000000	1432	1270	976	784	1067	1027	1338	1217	1250	753	2351	615	739	207	3607	2500	883	1361	771	0.472904	2	"neutral"	38	24148	1270.94736842105	1.04237288135593	0.0557611250183043	0.00286165218147175	FALSE	1.04304617171567	1.04237288135593	0.00310930306330696	0.0557611250183043	0.0765594011433395	FALSE	FALSE
"39"	"chr1-38"	"chr1"	38000001	39000000	"."	1000000	1366	1321	1081	813	1057	1001	1258	1237	1213	704	2164	577	743	211	3579	2558	926	1316	725	0.454738	2	"neutral"	39	23850	1255.26315789474	1.03607843137255	0.0788982216016	0.00579894730850857	FALSE	1.04243096999205	1.04031644340905	0.00500065356563065	0.0707152993745388	0.11663942963277	FALSE	FALSE
"40"	"chr1-39"	"chr1"	39000001	40000000	"."	1000000	1464	1305	1023	684	1042	984	1273	1141	1213	817	2148	680	653	184	3593	2373	829	1255	754	0.45828	2	"neutral"	40	23415	1232.36842105263	1.02345679012346	0.0705422784755036	0.00475072555880021	FALSE	1.00244534636225	1.00504600512462	0.00401343885852173	0.0633517076211978	0.0996695886789742	FALSE	FALSE
"41"	"chr1-40"	"chr1"	40000001	41000000	"."	1000000	1313	1306	1019	762	1059	934	1321	1038	1239	813	2123	573	726	202	3354	2385	838	1346	707	0.444053	2	"neutral"	41	23058	1213.57894736842	1.0243137254902	0.0553674415776914	0.00292174915963182	FALSE	1.01204112666549	1.02563395169389	0.00181508077684192	0.0426037648200475	0.0443108981094047	FALSE	FALSE
"42"	"chr1-41"	"chr1"	41000001	42000000	"."	1000000	1421	1358	1002	778	1102	1017	1295	1166	1223	826	2180	621	693	230	3316	2396	939	1418	846	0.462513	2	"neutral"	42	23827	1254.05263157895	1.05181347150259	0.0504599760312365	0.00230152990331692	FALSE	1.05045166146636	1.05181347150259	0.00254620918107296	0.0504599760312365	0.0502008085535552	FALSE	FALSE
"43"	"chr1-42"	"chr1"	42000001	43000000	"."	1000000	1374	1276	979	766	1070	900	1309	1115	1273	738	2141	632	755	188	3328	2416	909	1375	790	0.424446	2	"neutral"	43	23334	1228.10526315789	1.02258411430327	0.0593858994253467	0.00337262918141504	FALSE	1.02515399861142	1.02559095014057	0.00234115809139731	0.0483855153056915	0.0555775233318221	FALSE	FALSE
"44"	"chr1-43"	"chr1"	43000001	44000000	"."	1000000	1444	1384	940	762	1095	1021	1305	1190	1341	771	2365	527	713	217	3765	2434	857	1418	772	0.474953	2	"neutral"	44	24321	1280.05263157895	1.05802469135802	0.0696485359002923	0.00433343589910113	FALSE	1.05144616050306	1.06325290757541	0.00374110450285548	0.0611645690155296	0.0809541221068151	FALSE	FALSE
"45"	"chr1-44"	"chr1"	44000001	45000000	"."	1000000	1353	1285	959	762	1110	1057	1251	1032	1225	821	2263	695	694	204	3528	2396	848	1397	779	0.465378	2	"neutral"	45	23659	1245.21052631579	1.01830443159923	0.05997498375966	0.00346884592647732	FALSE	1.02136786833538	1.01442091969846	0.0024419796504035	0.0494163905035921	0.0608615762331501	FALSE	FALSE
"46"	"chr1-45"	"chr1"	45000001	46000000	"."	1000000	1402	1223	993	777	1021	985	1216	1061	1285	783	2092	566	750	234	3318	2304	805	1313	837	0.426325	2	"neutral"	46	22965	1208.68421052632	1.01424870466321	0.0524522004656734	0.00267447474534139	FALSE	1.00362504364714	1.01283111264767	0.0015778277394884	0.0397218798584407	0.0669371103033647	FALSE	FALSE
"47"	"chr1-46"	"chr1"	46000001	47000000	"."	1000000	1378	1280	1030	734	1042	1035	1232	1204	1187	837	2155	599	694	194	3549	2454	925	1329	780	0.456795	2	"neutral"	47	23638	1244.10526315789	1.01525423728814	0.0610318862104526	0.00361379874606426	FALSE	1.02489941623898	1.01525423728814	0.00372489113440564	0.0610318862104526	0.0977088004568671	FALSE	FALSE
"48"	"chr1-47"	"chr1"	47000001	48000000	"."	1000000	1339	1462	989	802	1024	1100	1307	1097	1283	821	2276	577	712	208	3508	2451	919	1465	839	0.460638	2	"neutral"	48	24179	1272.57894736842	1.04214963119073	0.0569640354403801	0.00298772992910807	FALSE	1.05101925442551	1.04214963119073	0.00324490133365288	0.0569640354403801	0.0682738365834024	FALSE	FALSE
"49"	"chr1-48"	"chr1"	48000001	49000000	"."	1000000	1459	1296	947	818	1101	1037	1379	1154	1330	764	2062	633	712	212	3468	2261	892	1415	875	0.415183	2	"neutral"	49	23815	1253.42105263158	1.04950495049505	0.0392800696799976	0.00140079800990938	FALSE	1.04595558319155	1.04950495049505	0.00154292387406547	0.0392800696799976	0.0590745680900775	FALSE	FALSE
"50"	"chr1-49"	"chr1"	49000001	50000000	"."	1000000	1406	1245	917	771	1004	1057	1282	1078	1376	758	1883	620	758	194	3118	2330	754	1268	783	0.375699	2	"neutral"	50	22602	1189.57894736842	0.981865284974093	0.0504906176258294	0.00264434159158977	FALSE	0.994980134382513	0.981865284974093	0.00254930246823771	0.0504906176258294	0.0717282430875045	FALSE	FALSE
"51"	"chr1-50"	"chr1"	50000001	51000000	"."	1000000	1380	1300	960	748	1070	1114	1354	1072	1231	821	2047	610	708	210	3270	2329	832	1335	862	0.400627	2	"neutral"	51	23253	1223.84210526316	1.02146558105107	0.0231093564010987	0.000511832932806256	FALSE	1.02296669066853	1.02146558105107	0.000534042353273001	0.0231093564010987	0.0300927836820004	FALSE	FALSE
"52"	"chr1-51"	"chr1"	51000001	52000000	"."	1000000	1296	1197	1021	794	1110	992	1376	1042	1193	756	2061	542	742	197	3161	2331	815	1297	666	0.411079	2	"neutral"	52	22589	1188.89473684211	0.979274611398964	0.0642280045972039	0.00430169752148547	FALSE	0.998203633276075	0.992723725452568	0.00223156568993056	0.0472394505676195	0.0791966566093261	FALSE	FALSE
"53"	"chr1-52"	"chr1"	52000001	53000000	"."	1000000	1322	1193	943	722	1078	1017	1191	1023	1293	798	2049	586	760	225	3362	2204	831	1305	769	0.423526	2	"neutral"	53	22671	1193.21052631579	0.993677555321391	0.0519874433835923	0.00273719640040303	FALSE	0.998226515801458	0.993677555321391	0.00270269426956221	0.0519874433835923	0.0592066986778554	FALSE	FALSE
"54"	"chr1-53"	"chr1"	53000001	54000000	"."	1000000	1432	1312	1042	816	1099	1014	1356	1135	1260	822	2330	618	692	219	3712	2343	945	1334	802	0.472964	2	"neutral"	54	24283	1278.05263157895	1.04745762711864	0.055673394267213	0.00282502615508805	FALSE	1.0557880272544	1.04745762711864	0.00309952682923254	0.055673394267213	0.062301449468277	FALSE	FALSE
"55"	"chr1-54"	"chr1"	54000001	55000000	"."	1000000	1443	1343	928	762	1075	966	1407	1216	1165	775	2284	471	646	217	3571	2548	844	1377	763	0.484937	2	"neutral"	55	23801	1252.68421052632	1.04197530864198	0.0870621851616727	0.00698142812135112	FALSE	1.03170334652496	1.04765432098765	0.00498995158602163	0.0706395893675892	0.0960996484848092	FALSE	FALSE
"56"	"chr1-55"	"chr1"	55000001	56000000	"."	1000000	1358	1313	1089	782	1083	1002	1302	1126	1309	813	2151	563	730	206	3361	2538	814	1263	869	0.412484	2	"neutral"	56	23672	1245.89473684211	1.03272392072515	0.045734859242436	0.0019612195800331	FALSE	1.032154012189	1.03272392072515	0.00209167734992544	0.045734859242436	0.0467754936438836	FALSE	FALSE
"57"	"chr1-56"	"chr1"	56000001	57000000	"."	1000000	1389	1314	1019	740	1053	1077	1354	1119	1210	805	2175	622	767	205	3398	2289	844	1316	866	0.404437	2	"neutral"	57	23562	1240.10526315789	1.03459119496855	0.0287678311829704	0.000773173013312154	FALSE	1.03306027645894	1.03459119496855	0.000827588110971885	0.0287678311829704	0.0222437451590429	FALSE	FALSE
"58"	"chr1-57"	"chr1"	57000001	58000000	"."	1000000	1384	1327	1033	806	1075	1087	1245	1175	1294	829	2127	618	722	237	3412	2343	797	1246	965	0.406107	2	"neutral"	58	23722	1248.52631578947	1.04264705882353	0.055638217077862	0.00284755266003005	FALSE	1.04917353265753	1.04264705882353	0.0030956111996033	0.055638217077862	0.0538940018525917	FALSE	FALSE
"59"	"chr1-58"	"chr1"	58000001	59000000	"."	1000000	1463	1301	1007	780	1068	1029	1306	1166	1175	816	2037	596	714	209	3334	2406	925	1348	820	0.417019	2	"neutral"	59	23500	1236.84210526316	1.02442771547089	0.044477127735223	0.00188499771281748	FALSE	1.03205665935899	1.02442771547089	0.00197821489157534	0.044477127735223	0.0567550828496937	FALSE	FALSE
"60"	"chr1-59"	"chr1"	59000001	60000000	"."	1000000	1374	1405	1107	828	1073	1020	1312	1180	1281	837	1978	630	766	176	3349	2386	855	1369	865	0.402909	2	"neutral"	60	23791	1252.15789473684	1.04741000877963	0.0643047535752848	0.00376923067967875	FALSE	1.05381514248324	1.05148278216759	0.00252169687639657	0.0502165000412869	0.0673095674883133	FALSE	FALSE
"61"	"chr1-60"	"chr1"	60000001	61000000	"."	1000000	1430	1246	923	769	1118	1054	1335	1177	1311	804	2071	555	784	204	3298	2370	805	1336	817	0.385882	2	"neutral"	61	23407	1231.94736842105	1.01598173515982	0.0413622025429303	0.00165743121164592	FALSE	1.02467953638753	1.01598173515982	0.00171083179920239	0.0413622025429303	0.0491633361474009	FALSE	FALSE
"62"	"chr1-61"	"chr1"	61000001	62000000	"."	1000000	1334	1237	1047	743	1046	1029	1268	1118	1237	825	2090	628	690	186	3252	2196	725	1197	779	0.399864	2	"neutral"	62	22627	1190.89473684211	0.987416728349371	0.051827262358268	0.00275496177112358	FALSE	0.990687520093486	0.987416728349371	0.00268606512355274	0.051827262358268	0.0484308056570106	FALSE	FALSE
"63"	"chr1-62"	"chr1"	62000001	63000000	"."	1000000	1257	1273	1001	708	1109	1008	1319	1196	1211	792	2025	601	670	180	3196	2197	885	1209	842	0.407032	2	"neutral"	63	22679	1193.63157894737	0.992647058823529	0.053667592764157	0.00292303833472079	FALSE	0.995537634799909	0.992647058823529	0.0028802105130994	0.053667592764157	0.0629652062792525	FALSE	FALSE
"64"	"chr1-63"	"chr1"	63000001	64000000	"."	1000000	1365	1415	909	802	1138	1069	1358	1013	1219	778	2018	569	654	198	3219	2200	792	1279	792	0.403547	2	"neutral"	64	22787	1199.31578947368	0.98909202642495	0.0488591229956405	0.00244015791657394	FALSE	0.998344039664073	0.98909202642495	0.00238721389990313	0.0488591229956405	0.0550308008883748	FALSE	FALSE
"65"	"chr1-64"	"chr1"	64000001	65000000	"."	1000000	1376	1251	1044	764	1083	1053	1373	1046	1275	807	2126	652	670	223	3275	2224	863	1278	955	0.406266	2	"neutral"	65	23338	1228.31578947368	1.02327447833066	0.0524342697831758	0.0026257064053448	FALSE	1.03407425161571	1.02327447833066	0.00274935264769486	0.0524342697831758	0.0498764672710541	FALSE	FALSE
"66"	"chr1-65"	"chr1"	65000001	66000000	"."	1000000	1414	1266	981	736	1000	1077	1352	1063	1329	819	2025	579	748	210	3192	2419	801	1266	820	0.392518	2	"neutral"	66	23097	1215.63157894737	0.995283018867924	0.0366626302434649	0.00135691939136698	FALSE	1.01428822603742	0.995283018867924	0.00134414845636903	0.0366626302434649	0.0546976943152835	FALSE	FALSE
"67"	"chr1-66"	"chr1"	66000001	67000000	"."	1000000	1428	1348	986	661	1024	1039	1315	1030	1187	829	1994	608	675	173	3239	2229	837	1388	919	0.377629	2	"neutral"	67	22909	1205.73684210526	1.00076103500761	0.0652487378988104	0.0042509251296843	FALSE	1.00877930275742	1.00086221307221	0.00321447497762409	0.0566963400725663	0.0856469339454696	FALSE	FALSE
"68"	"chr1-67"	"chr1"	67000001	68000000	"."	1000000	1346	1263	958	750	1058	1094	1285	1064	1248	821	2133	673	718	180	3281	2290	853	1287	848	0.409002	2	"neutral"	68	23150	1218.42105263158	1.00948366701791	0.0481170241802497	0.00227195082660036	FALSE	1.01464068049558	1.00948366701791	0.00231524801596274	0.0481170241802497	0.0378398066969832	FALSE	FALSE
