""	"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"15650_S7_L001.bam"	"15654_S8_L001.bam"	"15655_S9_L001.bam"	"15656_S10_L001.bam"	"182533_S1_L001.bam"	"182534_S5_L001.bam"	"182535_S2_L001.bam"	"182536_S3_L001.bam"	"182538_S6_L001.bam"	"182539_S7_L001.bam"	"182540_S8_L001.bam"	"182541_S9_L001.bam"	"182542_S10_L001.bam"	"gc"	"ploidy"	"gender"	"bin"	"sum"	"mean"	"norm.median"	"norm.sd"	"nnorm.var"	"gc_blocked"	"norm.clean.mean"	"norm.clean.median"	"norm.clean.var"	"norm.clean.sd"	"var_blocked"	"blocked"
"16"	"chr1-15"	"chr1"	15000001	16000000	"."	1000000	1880	1758	1838	1527	1267	964	1703	1413	1739	1223	1126	1573	1260	0.483764	2	"neutral"	16	19271	1482.38461538462	1.4163288940359	0.148452954667623	0.0109862495918609	FALSE	1.42487772611907	1.4163288940359	0.00969084187232365	0.0984420736896763	FALSE	FALSE
"17"	"chr1-16"	"chr1"	16000001	17000000	"."	1000000	2480	2211	2222	1854	1717	1204	2108	1736	1974	1575	1404	2117	1750	0.47616	2	"neutral"	17	24352	1873.23076923077	1.81501057082452	0.20529337258156	0.0127935638605921	FALSE	1.79428884064961	1.81501057082452	0.0158799686461553	0.126015747611778	FALSE	FALSE
"18"	"chr1-17"	"chr1"	17000001	18000000	"."	1000000	1812	1816	1846	1559	1293	891	1893	1403	1854	1247	1125	1665	1226	0.502632	2	"neutral"	18	19630	1510	1.44412275622467	0.163387337470934	0.0128005481670781	FALSE	1.43196840640133	1.44290119148714	0.0109409809318307	0.104599144030105	FALSE	FALSE
"19"	"chr1-18"	"chr1"	18000001	19000000	"."	1000000	1677	1729	1703	1546	1224	872	1789	1510	1831	1301	1136	1641	1283	0.497501	2	"neutral"	19	19242	1480.15384615385	1.44892221180881	0.165145710841082	0.012991056065738	FALSE	1.40768541843647	1.43635846204748	0.021421910373533	0.146362257339565	TRUE	TRUE
"20"	"chr1-19"	"chr1"	19000001	20000000	"."	1000000	1723	1814	1802	1441	1113	944	1736	1347	1757	1169	1035	1639	1281	0.471745	2	"neutral"	20	18801	1446.23076923077	1.35880149812734	0.132326191471242	0.00948373897352856	FALSE	1.3918502250654	1.35880149812734	0.0175102209492837	0.132326191471242	FALSE	FALSE
"21"	"chr1-20"	"chr1"	20000001	21000000	"."	1000000	1730	1646	1786	1364	1162	841	1557	1216	1638	1131	1066	1547	1203	0.460951	2	"neutral"	21	17887	1375.92307692308	1.30978575564563	0.13101784628713	0.0100059974098177	FALSE	1.30092258220391	1.29406813555477	0.00994469740085845	0.0997231036463389	FALSE	FALSE
"22"	"chr1-21"	"chr1"	21000001	22000000	"."	1000000	1850	1820	1834	1472	1140	864	1600	1365	1793	1253	1164	1562	1289	0.483198	2	"neutral"	22	19006	1462	1.39424572317263	0.155300644076985	0.0124070311273504	FALSE	1.38214796770734	1.38690730394808	0.0157388384009707	0.125454527223894	FALSE	FALSE
"23"	"chr1-22"	"chr1"	22000001	23000000	"."	1000000	1715	1832	1754	1508	1228	901	1811	1453	1863	1239	1050	1554	1215	0.494369	2	"neutral"	23	19123	1471	1.41659070191431	0.152105248529696	0.0115292120317805	FALSE	1.41923845315378	1.41659070191431	0.0149799002163596	0.12239240260882	FALSE	FALSE
"24"	"chr1-23"	"chr1"	23000001	24000000	"."	1000000	1728	1748	1698	1318	1138	886	1519	1334	1631	1054	1037	1501	1216	0.460703	2	"neutral"	24	17808	1369.84615384615	1.26827371695179	0.13517440500076	0.0113595976268721	FALSE	1.29603966624654	1.26442639076988	0.0109878223264133	0.104822813959621	FALSE	FALSE
"25"	"chr1-24"	"chr1"	24000001	25000000	"."	1000000	1793	1807	1784	1378	1153	783	1600	1295	1784	1065	1056	1471	1221	0.469168	2	"neutral"	25	18190	1399.23076923077	1.34092980856882	0.155023212187319	0.0133653819007467	FALSE	1.33374098995992	1.34092980856882	0.0103885124773019	0.101924052496464	FALSE	FALSE
"26"	"chr1-25"	"chr1"	25000001	26000000	"."	1000000	1726	1633	1878	1519	1153	947	1681	1433	1820	1222	1115	1526	1207	0.477051	2	"neutral"	26	18860	1450.76923076923	1.4151708164447	0.150222850076412	0.0112681927321741	FALSE	1.42381278429374	1.41520593699374	0.0181026382500992	0.134546045092746	FALSE	FALSE
"27"	"chr1-26"	"chr1"	26000001	27000000	"."	1000000	1957	1685	1760	1572	1158	984	1665	1375	1876	1315	1110	1516	1252	0.486304	2	"neutral"	27	19225	1478.84615384615	1.45878693623639	0.173358778644748	0.014122381728471	FALSE	1.41611063085908	1.45878693623639	0.0133791504805982	0.115668277762739	FALSE	FALSE
"28"	"chr1-27"	"chr1"	27000001	28000000	"."	1000000	1980	1859	1945	1369	1221	851	1746	1349	1851	1169	1090	1651	1351	0.485994	2	"neutral"	28	19432	1494.76923076923	1.4393468118196	0.173918878747614	0.0146003260153511	FALSE	1.41758575853607	1.4393468118196	0.0113236271768524	0.106412532987672	FALSE	FALSE
"29"	"chr1-28"	"chr1"	28000001	29000000	"."	1000000	1829	1900	1848	1460	1128	904	1637	1271	1671	1162	1104	1453	1235	0.453068	2	"neutral"	29	18602	1430.92307692308	1.36832239925023	0.144901447997825	0.0112142072504945	FALSE	1.34847753328662	1.35700428011151	0.0114857014067893	0.107171364677274	FALSE	FALSE
"30"	"chr1-29"	"chr1"	29000001	30000000	"."	1000000	1839	1664	1785	1469	1085	826	1741	1329	1747	1143	1057	1553	1236	0.472683	2	"neutral"	30	18474	1421.07692307692	1.35847589424572	0.173158381946084	0.0162473735312088	FALSE	1.33662586169331	1.34182146605382	0.0199371728086187	0.141199053851712	FALSE	FALSE
"31"	"chr1-30"	"chr1"	30000001	31000000	"."	1000000	1606	1856	1670	1425	1244	818	1775	1269	1733	1140	1144	1583	1221	0.4824	2	"neutral"	31	18484	1421.84615384615	1.34758942457232	0.143895852698111	0.0114020086436824	FALSE	1.36870671343206	1.34758942457232	0.0132170209463896	0.114965303228364	FALSE	FALSE
"32"	"chr1-31"	"chr1"	31000001	32000000	"."	1000000	1724	1816	1823	1444	1197	891	1587	1370	1801	1175	1048	1571	1170	0.473163	2	"neutral"	32	18617	1432.07692307692	1.36074116965837	0.132011688279941	0.00941182234690927	FALSE	1.38034626755491	1.36074116965837	0.00792964338242264	0.0890485450887472	FALSE	FALSE
"33"	"chr1-32"	"chr1"	32000001	33000000	"."	1000000	1830	1765	1939	1470	1206	856	1656	1411	1696	1287	1054	1576	1215	0.472913	2	"neutral"	33	18961	1458.53846153846	1.42818428184282	0.159349085867177	0.012448890723654	FALSE	1.39885855238603	1.42818428184282	0.0142501515110789	0.119373998471522	FALSE	FALSE
"34"	"chr1-33"	"chr1"	33000001	34000000	"."	1000000	1587	1641	1671	1361	1141	865	1697	1259	1653	1162	1095	1542	1254	0.458975	2	"neutral"	34	17928	1379.07692307692	1.28538102643857	0.12506512681914	0.00946691953248086	FALSE	1.33286898785354	1.28538102643857	0.0156412859462875	0.12506512681914	FALSE	FALSE
"35"	"chr1-34"	"chr1"	34000001	35000000	"."	1000000	1465	1635	1605	1348	1064	849	1414	1246	1598	1071	997	1485	1165	0.448008	2	"neutral"	35	16942	1303.23076923077	1.24261275272162	0.0971751217804837	0.00611559299242637	FALSE	1.25800710894592	1.24261275272162	0.00944300429305184	0.0971751217804837	FALSE	FALSE
"36"	"chr1-35"	"chr1"	35000001	36000000	"."	1000000	1577	1643	1659	1226	1058	821	1379	1279	1526	1140	996	1370	1094	0.4239	2	"neutral"	36	16768	1289.84615384615	1.23162583518931	0.129746915880608	0.0110977900907329	FALSE	1.22678170220592	1.2311687228381	0.0129520209139611	0.113806945807192	FALSE	FALSE
"37"	"chr1-36"	"chr1"	36000001	37000000	"."	1000000	1714	1845	1859	1482	1231	916	1702	1391	1768	1189	1115	1535	1239	0.484499	2	"neutral"	37	18986	1460.46153846154	1.38202247191011	0.126445437583414	0.0083709764055206	FALSE	1.40771752308399	1.38202247191011	0.0159884486856611	0.126445437583414	FALSE	FALSE
"38"	"chr1-37"	"chr1"	37000001	38000000	"."	1000000	1697	1806	1678	1448	1113	872	1615	1338	1799	1227	1016	1618	1231	0.472904	2	"neutral"	38	18458	1419.84615384615	1.37669376693767	0.135225794805556	0.00964815769536443	FALSE	1.36659994839789	1.37669376693767	0.0182860155807943	0.135225794805556	FALSE	FALSE
"39"	"chr1-38"	"chr1"	38000001	39000000	"."	1000000	1590	1775	1780	1450	1125	874	1580	1453	1667	1152	943	1508	1224	0.454738	2	"neutral"	39	18121	1393.92307692308	1.32958801498127	0.133325875230347	0.0100552923820219	FALSE	1.31512364299037	1.32552155017809	0.00954179672063162	0.0976821207828312	FALSE	FALSE
"40"	"chr1-39"	"chr1"	39000001	40000000	"."	1000000	1721	1776	1628	1455	1138	896	1599	1360	1726	1121	1140	1543	1146	0.45828	2	"neutral"	40	18249	1403.76923076923	1.34214618973561	0.155122210423625	0.0133582117556271	FALSE	1.35833799060986	1.34214618973561	0.0148929416804263	0.12203664072903	FALSE	FALSE
"41"	"chr1-40"	"chr1"	40000001	41000000	"."	1000000	1610	1790	1699	1472	1137	800	1404	1309	1605	1246	1075	1454	1276	0.444053	2	"neutral"	41	17877	1375.15384615385	1.32543299908842	0.124486211278628	0.00882118521721354	FALSE	1.32733674695993	1.32543299908842	0.0154968167985071	0.124486211278628	FALSE	FALSE
"42"	"chr1-41"	"chr1"	41000001	42000000	"."	1000000	1589	1605	1757	1448	983	929	1651	1168	1590	1065	981	1481	1230	0.462513	2	"neutral"	42	17477	1344.38461538462	1.30438010393467	0.125358424701507	0.00923631467140254	FALSE	1.31584742339842	1.3168241983088	0.0107168462003034	0.103522201485012	FALSE	FALSE
"43"	"chr1-42"	"chr1"	42000001	43000000	"."	1000000	1460	1530	1498	1308	1121	794	1347	1109	1502	950	981	1320	1134	0.424446	2	"neutral"	43	16054	1234.92307692308	1.18498942917548	0.0905397813131773	0.0058378096482965	FALSE	1.19265472124686	1.18498942917548	0.00819745200023797	0.0905397813131773	FALSE	FALSE
"44"	"chr1-43"	"chr1"	43000001	44000000	"."	1000000	1690	1713	1782	1590	1231	899	1592	1357	1646	1222	1086	1580	1264	0.474953	2	"neutral"	44	18652	1434.76923076923	1.4151708164447	0.122661936726148	0.00751280137588952	FALSE	1.38688155328794	1.4151708164447	0.0150459507214097	0.122661936726148	FALSE	FALSE
"45"	"chr1-44"	"chr1"	44000001	45000000	"."	1000000	1812	1891	1783	1479	1108	855	1681	1367	1648	1281	1092	1512	1231	0.465378	2	"neutral"	45	18740	1441.53846153846	1.38612933458294	0.163000914768327	0.0138284204034997	FALSE	1.3632338519581	1.38221690065519	0.019387872802401	0.139240341863991	FALSE	FALSE
"46"	"chr1-45"	"chr1"	45000001	46000000	"."	1000000	1608	1629	1768	1195	1166	801	1254	1187	1622	1067	947	1486	1123	0.426325	2	"neutral"	46	16853	1296.38461538462	1.23566878980892	0.122107210002818	0.0097651397183266	FALSE	1.22396964151244	1.2341134646719	0.00940694313305058	0.0969893970135426	FALSE	FALSE
"47"	"chr1-46"	"chr1"	46000001	47000000	"."	1000000	1708	1717	1731	1368	1114	868	1606	1289	1560	1114	976	1439	1195	0.456795	2	"neutral"	47	17685	1360.38461538462	1.28614232209738	0.131362918913326	0.0104319986235487	FALSE	1.28610628087547	1.2856101365498	0.0103577247695839	0.101772907836928	FALSE	FALSE
"48"	"chr1-47"	"chr1"	47000001	48000000	"."	1000000	1571	1660	1623	1353	1151	851	1635	1372	1646	1190	1014	1480	1177	0.460638	2	"neutral"	48	17723	1363.30769230769	1.27993779160187	0.133810381933359	0.0109295403066369	FALSE	1.29745632391193	1.27398951435763	0.0135120596227023	0.116241385154782	FALSE	FALSE
"49"	"chr1-48"	"chr1"	48000001	49000000	"."	1000000	1078	1280	1315	1177	944	730	1238	907	1293	873	781	1182	1132	0.415183	2	"neutral"	49	13930	1071.53846153846	1.01220657276995	0.0499362355814245	0.00243384711594065	FALSE	1.03418173132161	1.01220657276995	0.00249362762404353	0.0499362355814245	FALSE	FALSE
"50"	"chr1-49"	"chr1"	49000001	50000000	"."	1000000	662	1004	1076	788	683	658	802	547	1058	631	520	716	980	0.375699	2	"neutral"	50	10125	778.846153846154	0.730746960046323	0.0962699867004436	0.017355925967368	FALSE	0.748982777906726	0.730746960046323	0.00926791033930359	0.0962699867004436	FALSE	FALSE
"51"	"chr1-50"	"chr1"	50000001	51000000	"."	1000000	1219	1386	1401	1149	1021	698	1059	916	1381	929	804	1055	1106	0.400627	2	"neutral"	51	14124	1086.46153846154	1.04933586337761	0.0547521138249707	0.00272253047170848	FALSE	1.04634201895893	1.04933586337761	0.00299779396830255	0.0547521138249707	FALSE	FALSE
"52"	"chr1-51"	"chr1"	51000001	52000000	"."	1000000	1510	1635	1654	1260	1014	744	1222	1129	1512	1042	812	1203	1138	0.411079	2	"neutral"	52	15875	1221.15384615385	1.17573872472784	0.105909688381101	0.00811427524334645	FALSE	1.14937316814897	1.14332390781846	0.00618835516693158	0.078666099222801	FALSE	FALSE
"53"	"chr1-52"	"chr1"	52000001	53000000	"."	1000000	1575	1714	1669	1307	1078	795	1471	1192	1594	1209	967	1282	1152	0.423526	2	"neutral"	53	17005	1308.07692307692	1.23950233281493	0.117322431408006	0.00895916247518704	FALSE	1.25958707525011	1.23950233281493	0.0137645529114863	0.117322431408006	FALSE	FALSE
"54"	"chr1-53"	"chr1"	53000001	54000000	"."	1000000	1738	1774	1731	1432	1121	870	1619	1263	1765	1108	1073	1465	1184	0.472964	2	"neutral"	54	18143	1395.61538461538	1.33546034639927	0.136248919463845	0.01040888329573	FALSE	1.31878627260906	1.33214964885507	0.0120229255074595	0.109649101717522	FALSE	FALSE
"55"	"chr1-54"	"chr1"	54000001	55000000	"."	1000000	1793	1809	1727	1486	1100	876	1678	1385	1763	1223	1039	1695	1333	0.484937	2	"neutral"	55	18907	1454.38461538462	1.39268978444236	0.151896359135677	0.0118955889395089	FALSE	1.39563726953343	1.39268978444236	0.0139981777793773	0.118313895123849	FALSE	FALSE
"56"	"chr1-55"	"chr1"	55000001	56000000	"."	1000000	1090	1451	1427	1130	1016	816	1270	977	1520	852	901	1209	1098	0.412484	2	"neutral"	56	14757	1135.15384615385	1.08689138576779	0.0653646786001	0.00361671232953194	FALSE	1.09492189267675	1.08689138576779	0.00427254120849437	0.0653646786001	FALSE	FALSE
"57"	"chr1-56"	"chr1"	56000001	57000000	"."	1000000	1055	1392	1298	1197	924	817	1165	838	1277	889	749	1139	1080	0.404437	2	"neutral"	57	13820	1063.07692307692	1.0246679316888	0.0541700791093331	0.00279481232902334	FALSE	1.02623714038733	1.0246679316888	0.00293439747071141	0.0541700791093331	FALSE	FALSE
"58"	"chr1-57"	"chr1"	57000001	58000000	"."	1000000	1010	1383	1288	1225	950	732	1246	833	1273	903	869	1109	1149	0.406107	2	"neutral"	58	13970	1074.61538461538	1.01244813278008	0.0766895389570861	0.00573755268194615	FALSE	1.03865983114412	1.01244813278008	0.00588128538545043	0.0766895389570861	FALSE	FALSE
"59"	"chr1-58"	"chr1"	58000001	59000000	"."	1000000	1151	1478	1367	1229	1063	781	1314	967	1397	960	874	1238	1111	0.417019	2	"neutral"	59	14930	1148.46153846154	1.10711610486891	0.0495657058090148	0.00200436242681498	FALSE	1.10932324253321	1.10711610486891	0.0024567591923458	0.0495657058090148	FALSE	FALSE
"60"	"chr1-59"	"chr1"	59000001	60000000	"."	1000000	1047	1348	1271	1095	1033	747	1158	809	1313	871	762	1179	1090	0.402909	2	"neutral"	60	13723	1055.61538461538	1.02624179943768	0.0470955044889031	0.00210600553068261	FALSE	1.01804925574774	1.02624179943768	0.00221798654306429	0.0470955044889031	FALSE	FALSE
"61"	"chr1-60"	"chr1"	60000001	61000000	"."	1000000	702	1145	1233	986	766	702	886	609	1305	658	648	899	1019	0.385882	2	"neutral"	61	11558	889.076923076923	0.857677902621723	0.107529180475153	0.0157182513688646	FALSE	0.852182211214059	0.857677902621723	0.0115625246536581	0.107529180475153	FALSE	FALSE
"62"	"chr1-61"	"chr1"	61000001	62000000	"."	1000000	1231	1466	1446	1165	973	669	1166	1033	1306	910	785	1154	1102	0.399864	2	"neutral"	62	14406	1108.15384615385	1.06	0.0626017590846001	0.00348787846251897	FALSE	1.06479471996336	1.06	0.00391898024048631	0.0626017590846001	FALSE	FALSE
"63"	"chr1-62"	"chr1"	62000001	63000000	"."	1000000	1258	1398	1516	1137	966	784	1125	1019	1345	1023	890	1096	1117	0.407032	2	"neutral"	63	14674	1128.76923076923	1.06560449859419	0.0707213407094207	0.00440462439735586	FALSE	1.09274715735909	1.06560449859419	0.00500150803173797	0.0707213407094207	FALSE	FALSE
"64"	"chr1-63"	"chr1"	63000001	64000000	"."	1000000	1122	1466	1412	1138	929	727	1277	973	1297	845	759	1195	1065	0.403547	2	"neutral"	64	14205	1092.69230769231	1.04825538233111	0.0543935427188007	0.00269252962108968	FALSE	1.04925917001428	1.04825538233111	0.00295865748950199	0.0543935427188007	FALSE	FALSE
"65"	"chr1-64"	"chr1"	64000001	65000000	"."	1000000	1252	1471	1470	1188	1011	721	1251	939	1450	1005	842	1227	1085	0.406266	2	"neutral"	65	14912	1147.07692307692	1.11340206185567	0.0511990465212884	0.00211455849703012	FALSE	1.10284093511913	1.11340206185567	0.00262134236468906	0.0511990465212884	FALSE	FALSE
"66"	"chr1-65"	"chr1"	65000001	66000000	"."	1000000	1054	1269	1337	1039	853	730	1061	876	1140	887	734	967	1065	0.392518	2	"neutral"	66	13012	1000.92307692308	0.989671361502347	0.0488949776824508	0.00244088038988634	FALSE	0.967854733328494	0.989671361502347	0.00239071884256736	0.0488949776824508	FALSE	FALSE
"67"	"chr1-66"	"chr1"	66000001	67000000	"."	1000000	809	1089	1203	882	805	665	954	706	1134	690	556	911	1033	0.377629	2	"neutral"	67	11437	879.769230769231	0.830446672743847	0.0637678260818315	0.00589630206977644	FALSE	0.844871847534223	0.830446672743847	0.00406633564320271	0.0637678260818315	FALSE	FALSE
"68"	"chr1-67"	"chr1"	67000001	68000000	"."	1000000	1285	1576	1434	1239	1023	778	1339	1029	1401	1001	890	1282	1154	0.409002	2	"neutral"	68	15431	1187	1.16119962511715	0.0553163452599812	0.00226930663730903	FALSE	1.14459637484239	1.16119962511715	0.00305989805292144	0.0553163452599812	FALSE	FALSE
"69"	"chr1-68"	"chr1"	68000001	69000000	"."	1000000	800	1165	1302	906	782	722	943	596	1154	733	566	868	1045	0.386798	2	"neutral"	69	11582	890.923076923077	0.849109653233365	0.0948233510290057	0.0124710506098957	FALSE	0.853685759606639	0.849109653233365	0.00899146790037003	0.0948233510290057	FALSE	FALSE
"70"	"chr1-69"	"chr1"	69000001	70000000	"."	1000000	513	794	1042	621	618	545	549	435	809	451	439	571	871	0.361758	2	"neutral"	70	8258	635.230769230769	0.594756554307116	0.113699210577549	0.036545711818228	FALSE	0.609815331632489	0.594756554307116	0.0129275104859579	0.113699210577549	FALSE	FALSE
"71"	"chr1-70"	"chr1"	70000001	71000000	"."	1000000	867	1199	1179	843	829	654	880	696	1081	733	612	875	1013	0.376105	2	"neutral"	71	11461	881.615384615385	0.840590979782271	0.052209948848172	0.00385777669087925	FALSE	0.84845918816902	0.840590979782271	0.00272587875872874	0.052209948848172	FALSE	FALSE
"72"	"chr1-71"	"chr1"	71000001	72000000	"."	1000000	561	722	1013	631	616	553	567	425	812	480	359	473	814	0.361607	2	"neutral"	72	8026	617.384615384615	0.555877243775333	0.113860479423829	0.0419554347139443	FALSE	0.592660545957302	0.555877243775333	0.0129642087746242	0.113860479423829	FALSE	FALSE
"73"	"chr1-72"	"chr1"	72000001	73000000	"."	1000000	451	567	837	406	374	483	374	278	614	323	287	346	725	0.347653	2	"neutral"	73	6065	466.538461538462	0.395348837209302	0.129314780593761	0.106988082268316	FALSE	0.42720437254046	0.392118863049096	0.0125413344446533	0.111988099567112	FALSE	FALSE
"74"	"chr1-73"	"chr1"	73000001	74000000	"."	1000000	434	643	946	595	440	528	441	363	737	372	309	448	726	0.351923	2	"neutral"	74	6982	537.076923076923	0.465116279069767	0.123452293163982	0.0704490665077181	FALSE	0.513796331530838	0.465116279069767	0.0152404686874458	0.123452293163982	FALSE	FALSE
"75"	"chr1-74"	"chr1"	74000001	75000000	"."	1000000	560	727	969	642	556	494	600	424	853	478	386	540	851	0.364474	2	"neutral"	75	8080	621.538461538462	0.553561088592936	0.096932156848418	0.0306622939902349	FALSE	0.594707562353809	0.553561088592936	0.00939584303128631	0.096932156848418	FALSE	FALSE
"76"	"chr1-75"	"chr1"	75000001	76000000	"."	1000000	852	1155	1070	855	835	650	765	574	964	645	560	791	998	0.376241	2	"neutral"	76	10714	824.153846153846	0.794357832219748	0.0852557033290257	0.0115189931263208	FALSE	0.793551642402165	0.794357832219748	0.00726853495012684	0.0852557033290257	FALSE	FALSE
"77"	"chr1-76"	"chr1"	76000001	77000000	"."	1000000	674	995	1189	964	827	807	871	615	1209	655	600	908	1026	0.386777	2	"neutral"	77	11340	872.307692307692	0.82771194165907	0.126440005236994	0.0233351484693258	FALSE	0.820404307695616	0.820360035870185	0.0100990650644567	0.100494104625379	FALSE	FALSE
"78"	"chr1-77"	"chr1"	77000001	78000000	"."	1000000	1107	1327	1309	991	909	708	983	873	1302	813	677	994	1033	0.388185	2	"neutral"	78	13026	1002	0.971789161098738	0.0435321587086028	0.00200667160829779	FALSE	0.963175092506996	0.971789161098738	0.00189504884183098	0.0435321587086028	FALSE	FALSE
"79"	"chr1-78"	"chr1"	78000001	79000000	"."	1000000	658	898	1179	769	799	672	775	580	1035	602	499	702	994	0.372289	2	"neutral"	79	10162	781.692307692308	0.704545454545455	0.112379414474743	0.0254422487995006	FALSE	0.752920353946623	0.704545454545455	0.012629132797686	0.112379414474743	FALSE	FALSE
