genes	discription
JAK1	tsg
JAK2	
JAK3	
KANSL1	tsg
KDM5C	tsg
KDM6A	tsg
KEAP1	possible tsg
KEL	
KIF1A	tsg
KIT	oncogene
KLF5	possible oncogene
KMT2A	tsg
KMT2B	tsg
KMT2C	tsg
KMT2D	tsg
KRAS	oncogene
KRT222	possible tsg
LATS1	tsg
LATS2	tsg
LEMD2	
LZTR1	possible oncogene
MACF1	possible oncogene
MAP2K1	oncogene
MAP2K4	tsg
MAP3K1	tsg
MAP3K4	possible tsg
MAPK1	oncogene
MAX	oncogene
MECOM	possible oncogene
MED12	oncogene
MEN1	tsg
MET	possible tsg
MGA	tsg
MGMT	
MLH1	
MSH2	
MSH3	possible oncogene
MSH6	tsg
MTOR	possible oncogene
MUC6	possible tsg
MYC	oncogene
MYCN	oncogene
MYD88	oncogene
MYH9	oncogene
NCOR1	tsg
NF1	tsg
NF2	tsg
NFE2L2	oncogene
NIPBL	tsg
NOTCH1	tsg
NOTCH2	
NPM1	oncogene
NRAS	possible tsg
NSD1	tsg
NUP133	possible tsg
NUP93	possible tsg
PAX5	
PBRM1	tsg
PCBP1	oncogene
PDGFRA	possible oncogene
PDS5B	tsg
PGR	possible tsg
PHF6	possible tsg
PIK3CA	possible oncogene
PIK3CB	
PIK3CG	possible oncogene
PIK3R1	possible oncogene
PIK3R2	oncogene
PIM1	oncogene
PLCB4	oncogene
PLCG1	oncogene
PLXNB2	possible oncogene
PMS1	possible oncogene
PMS2	possible tsg
POLE	
POLQ	
POLRMT	oncogene
PPM1D	
PPP2R1A	oncogene
PPP6C	oncogene
PRKAR1A	tsg
PSIP1	tsg
PTCH1	tsg
PTEN	tsg
PTMA	possible tsg
PTPDC1	oncogene
PTPN11	possible oncogene
PTPRC	possible oncogene
PTPRD	
RAC1	oncogene
RAD21	
RAF1	
RARA	
RASA1	tsg
RB1	tsg
RBM10	tsg
RET	oncogene
RFC1	possible tsg
RHEB	
RHOA	oncogene
RIT1	
RNF111	tsg
RNF43	tsg
RPL22	
RPL5	tsg
RPS6KA3	tsg
RQCD1	possible oncogene
RRAS2	oncogene
RUNX1	tsg
RXRA	oncogene
SCAF4	tsg
SETBP1	possible oncogene
SETD2	tsg
SF1	possible oncogene
SF3B1	oncogene
SIN3A	tsg
SMAD2	possible tsg
SMAD4	oncogene
SMARCA1	tsg
SMARCA4	possible oncogene
SMARCB1	possible oncogene
SMC1A	oncogene
SMC3	possible oncogene
SOS1	oncogene
SOX17	possible oncogene
SOX9	possible tsg
SPOP	oncogene
SPTA1	possible tsg
SPTAN1	tsg
SRSF2	
STAG2	tsg
STK11	tsg
TAF1	oncogene
TBL1XR1	possible tsg
TBX3	possible tsg
TCEB1	possible tsg
TCF12	possible tsg
TCF7L2	tsg
TET2	
TGFBR2	possible tsg
TGIF1	possible tsg
THRAP3	tsg
TLR4	
TMSB4X	possible tsg
TNFAIP3	tsg
TP53	tsg
TRAF3	tsg
TSC1	tsg
TSC2	tsg
TXNIP	possible tsg
U2AF1	oncogene
UNCX	possible oncogene
USP9X	tsg
VHL	tsg
WHSC1	oncogene
WT1	possible oncogene
XPO1	oncogene
ZBTB20	possible tsg
ZBTB7B	tsg
ZC3H12A	
ZCCHC12	oncogene
ZFHX3	possible tsg
ZFP36L1	possible tsg
ZFP36L2	possible tsg
ZMYM2	tsg
ZMYM3	tsg
ZNF133	oncogene
ZNF750	possible tsg
MDM2	
CSF1R	
FOXL2	
HNF1A	
MPL	
ROS1	
SRC	
TERT	
AURKA	
CCNE1	
DDR2	
KDR	
SMO	
PDGFRB	
