""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"mean"	"sd"
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	2.01776461880089	2.19764705882353	2.03161222339305	2.08234130033915	0.10009746496779
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	2.12583271650629	1.9921568627451	2.02528977871444	2.04775978598861	0.069613105015306
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	2.95484826054774	2.51921568627451	2.78398314014752	2.75268236232326	0.219496557971381
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	2.26498889711325	2.01725490196078	2.11380400421496	2.13201593442967	0.124867084894937
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	2.18060695780903	2.08	2.01685985247629	2.09248893676177	0.0825848580690948
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	2.01776461880089	2.24	2.07165437302424	2.10980633060837	0.115925924903816
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	2.19541080680977	2.12392156862745	1.97260273972603	2.09731170505442	0.11376256993814
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	2.0059215396003	2.09411764705882	2.06743940990516	2.05582619885476	0.0452303918387285
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	2.00296076980015	2.10352941176471	1.96206533192835	2.02285183783107	0.0727994671103092
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	1.98667653589933	1.97647058823529	2.18967334035827	2.05094015483097	0.12025478334289
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	1.96891191709845	2.04549019607843	2.18756585879874	2.0673226573252	0.110949893322785
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	2.06069578090303	2.05176470588235	1.91780821917808	2.01008956865449	0.0800426550106032
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	2.0340488527017	2.10980392156863	2.08640674394099	2.07675317273711	0.0387891891188702
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	2.02664692820133	2.21647058823529	2.02107481559536	2.08806411067733	0.111238166646418
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	2.01776461880089	1.92	2.17281348788198	2.03685936889429	0.127483810833416
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	2.01036269430052	2.08627450980392	2.16649104320337	2.08770941576927	0.0780740645101168
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	2.0740192450037	2.0156862745098	2.10958904109589	2.06643152020313	0.0474089924894755
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	1.90377498149519	2.11764705882353	2.17281348788198	2.0647451760669	0.142106954013891
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	2.01924500370096	2.10509803921569	2.04214963119073	2.05549755803579	0.0444557228044828
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	2.12583271650629	2.22745098039216	2.08640674394099	2.14656348027981	0.0727715094250374
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	2.13471502590674	2.04549019607843	2.13487881981033	2.10502801393183	0.0515613277871041
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	2	1.89333333333333	2.07165437302424	1.98832923545252	0.0897315627744948
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	2.09770540340489	2.07843137254902	2.16649104320337	2.11420927305243	0.0462915724937651
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	2.119911176906	1.9921568627451	2.05690200210748	2.05632334725286	0.063879122784842
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	2.02220577350111	2.0721568627451	2.2781875658588	2.12418340070167	0.135689866952082
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	2.16728349370836	2.04705882352941	2.15595363540569	2.12343198421449	0.0663832522332336
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	1.94374537379719	2.04862745098039	2.14752370916754	2.04663217798171	0.10190381900269
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	2.10362694300518	2.13019607843137	2.11169652265543	2.11517318136399	0.0136214942702963
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	2.0340488527017	2.00156862745098	2.06322444678609	2.03294730897959	0.0308426662822742
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	2.13767579570688	2.17098039215686	1.98103266596417	2.09656295127597	0.101428468165222
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	2.00296076980015	2.0156862745098	2.02107481559536	2.01324061996844	0.00930137534827886
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	2.07549962990378	1.91843137254902	2.0927291886196	2.02888673035746	0.0960442813228839
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	2.039970392302	2.0078431372549	2.17070600632244	2.07283984529312	0.0862634293033804
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	1.98223538119911	2.29333333333333	2.08429926238145	2.11995599230463	0.158584475113857
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	2.15988156920799	2.03294117647059	1.99578503688093	2.06286926085317	0.0860446724472248
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	2.08142116950407	1.95294117647059	1.93256059009484	1.98897431202317	0.0807072374005333
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	2.04293116210215	2.03921568627451	2.0231822971549	2.03510971517719	0.01049517344617
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	1.91857883049593	1.87764705882353	2.15173867228662	1.98265485386869	0.147854170455723
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	1.95706883789785	1.87137254901961	1.98735511064278	1.93859883252008	0.0601568323148713
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	2.119911176906	2.05803921568627	2.19599578503688	2.12464872587638	0.0691001956179016
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	2.13619541080681	2.10666666666667	1.95574288724974	2.06620165490774	0.0967927745083107
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	2.01036269430052	2.05960784313725	2.29504741833509	2.12167265192429	0.152152484015175
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	2.05625462620281	2.06117647058824	2.14752370916754	2.08831826865286	0.0513324388466164
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	2.04885270170244	2.08156862745098	2.17702845100105	2.10248326005149	0.0665982137123505
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	2.16580310880829	2.04078431372549	2.12223393045311	2.1096071176623	0.0634586643566459
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	2.0340488527017	2.20392156862745	2.33298208640674	2.19031750257863	0.149930225482168
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	2.11695040710585	1.95450980392157	1.94520547945205	2.00555523015982	0.0965831594978413
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	1.97483345669874	1.94039215686275	2.20653319283456	2.04058626879868	0.144742312339294
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	1.86084381939304	1.99686274509804	2.10958904109589	1.98909853519566	0.124554239376089
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	2.02072538860104	2.21960784313726	1.91570073761855	2.05201132311895	0.154350216942459
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	2.03700962250185	1.96235294117647	2.20021074815595	2.06652443727809	0.121644676429876
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	2.09326424870466	1.98588235294118	2.06743940990516	2.04886200385033	0.0560496021059434
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	2.1139896373057	2.11450980392157	2.07797681770285	2.1021587529767	0.0209437852003622
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	1.99259807549963	1.98117647058824	2.01896733403583	1.9975806267079	0.0193818652981568
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	1.99555884529978	1.9921568627451	2.07376185458377	2.02049252087622	0.0461639448765032
"chr1-69"	"chr1"	69000001	70000000	"."	1000000	2.06217616580311	1.85882352941176	1.84826132771338	1.92308700764275	0.120570458506621
"chr1-70"	"chr1"	70000001	71000000	"."	1000000	1.91265729089563	1.97176470588235	2.03793466807165	1.97411888828321	0.0626718592281111
"chr1-71"	"chr1"	71000001	72000000	"."	1000000	1.92153960029608	1.96862745098039	2.04847207586934	1.97954637571527	0.0641668179576751
"chr1-72"	"chr1"	72000001	73000000	"."	1000000	1.82235381199112	1.72078431372549	1.61222339304531	1.71845383958731	0.105084592466577
"chr1-73"	"chr1"	73000001	74000000	"."	1000000	2.06217616580311	1.81333333333333	1.80821917808219	1.89457622573954	0.145168328425886
"chr1-74"	"chr1"	74000001	75000000	"."	1000000	2.06957809030348	1.94039215686275	1.83140147523709	1.94712390746777	0.119230920237901
"chr1-75"	"chr1"	75000001	76000000	"."	1000000	1.93042190969652	2.00156862745098	1.92202318229715	1.95133790648155	0.0437033025332597
"chr1-76"	"chr1"	76000001	77000000	"."	1000000	2.07549962990378	2.08627450980392	2.1622760800843	2.10801673993067	0.0472977959808535
"chr1-77"	"chr1"	77000001	78000000	"."	1000000	2.05181347150259	2.16156862745098	1.89251844046365	2.03530017980574	0.13528310087176
"chr1-78"	"chr1"	78000001	79000000	"."	1000000	1.93930421909697	2.09098039215686	1.83983140147524	1.95670533757636	0.126475503846991
"chr1-79"	"chr1"	79000001	80000000	"."	1000000	1.83715766099186	1.80078431372549	1.6522655426765	1.76340250579795	0.0979506177965895
"chr1-80"	"chr1"	80000001	81000000	"."	1000000	2	1.87294117647059	1.68387776606955	1.85227298084671	0.159071359549905
"chr1-81"	"chr1"	81000001	82000000	"."	1000000	1.93782383419689	2.03137254901961	1.97471022128556	1.98130220150069	0.0471214512044453
"chr1-82"	"chr1"	82000001	83000000	"."	1000000	1.91857883049593	2.07686274509804	1.87987355110643	1.9584383755668	0.104368448955174
"chr1-83"	"chr1"	83000001	84000000	"."	1000000	2.10362694300518	2.03137254901961	2.1390937829294	2.09136442498473	0.0548975688889175
"chr1-84"	"chr1"	84000001	85000000	"."	1000000	1.96150999259808	2.00156862745098	2.19810326659642	2.05372729554849	0.126627364019762
"chr1-85"	"chr1"	85000001	86000000	"."	1000000	1.93782383419689	1.81333333333333	1.93677555321391	1.89597757358138	0.0715739307142428
"chr1-86"	"chr1"	86000001	87000000	"."	1000000	2.06513693560326	2.03294117647059	2.00421496311907	2.03409769173097	0.03047744786726
"chr1-87"	"chr1"	87000001	88000000	"."	1000000	1.97927461139896	2.09882352941176	2.04847207586934	2.04219007222669	0.0600215263620689
"chr1-88"	"chr1"	88000001	89000000	"."	1000000	1.88304959289415	1.94666666666667	1.94309799789252	1.92427141915111	0.0357437137014909
"chr1-89"	"chr1"	89000001	90000000	"."	1000000	2.04293116210215	2.01725490196078	2.14541622760801	2.06853409722365	0.0678082890437464
"chr1-90"	"chr1"	90000001	91000000	"."	1000000	1.99259807549963	1.8243137254902	1.96838777660695	1.92843319253226	0.0909790206913703
"chr1-91"	"chr1"	91000001	92000000	"."	1000000	1.89637305699482	1.90588235294118	1.9768177028451	1.92635770426037	0.0439575394014207
"chr1-92"	"chr1"	92000001	93000000	"."	1000000	1.89045151739452	2.03607843137255	2.14752370916754	2.02468455264487	0.128914286640745
"chr1-93"	"chr1"	93000001	94000000	"."	1000000	2.10510732790526	2.12862745098039	2.19178082191781	2.14183853360115	0.0448215703550803
"chr1-94"	"chr1"	94000001	95000000	"."	1000000	2.01184307920059	1.98588235294118	2.05900948366702	2.01891163860293	0.0370724656728799
"chr1-95"	"chr1"	95000001	96000000	"."	1000000	2.07846039970392	2.0078431372549	1.90937829293994	1.99856060996625	0.0849223980560216
"chr1-96"	"chr1"	96000001	97000000	"."	1000000	2.00296076980015	2.10352941176471	1.86512118018967	1.99053712058484	0.119688685829331
"chr1-97"	"chr1"	97000001	98000000	"."	1000000	1.95854922279793	1.86196078431373	2.0927291886196	1.97107973191042	0.11589337492037
"chr1-98"	"chr1"	98000001	99000000	"."	1000000	1.94226498889711	1.87294117647059	2.07165437302424	1.96228684613065	0.100858265384906
"chr1-99"	"chr1"	99000001	100000000	"."	1000000	1.98075499629904	1.92627450980392	1.99789251844046	1.96830734151447	0.037396428606121
"chr1-100"	"chr1"	100000001	101000000	"."	1000000	2.1139896373057	2.11294117647059	1.95152792413066	2.05948624596898	0.0934961189469403
"chr1-101"	"chr1"	101000001	102000000	"."	1000000	2.01184307920059	2.05019607843137	2	2.02067971921065	0.0262388305279163
"chr1-102"	"chr1"	102000001	103000000	"."	1000000	2.02368615840118	1.93411764705882	1.75553213909378	1.90444531485126	0.136517324877304
"chr1-103"	"chr1"	103000001	104000000	"."	1000000	1.70688378978534	2.12549019607843	2.07165437302424	1.96800945296267	0.227737860133816
"chr1-104"	"chr1"	104000001	105000000	"."	1000000	1.89341228719467	1.8556862745098	1.7218124341412	1.82363699861523	0.0901775718015193
"chr1-105"	"chr1"	105000001	106000000	"."	1000000	1.81643227239082	1.87450980392157	1.70284510010537	1.79792905880592	0.0873153441200444
"chr1-106"	"chr1"	106000001	107000000	"."	1000000	2.03700962250185	1.97333333333333	1.80189673340358	1.93741322974626	0.121602664593805
"chr1-107"	"chr1"	107000001	108000000	"."	1000000	1.9659511472983	2.00627450980392	2.06743940990516	2.01322168900246	0.0510995531864272
"chr1-108"	"chr1"	108000001	109000000	"."	1000000	2.1880088823094	2.04705882352941	2.00421496311907	2.07976088965263	0.0961619468884684
"chr1-109"	"chr1"	109000001	110000000	"."	1000000	2.00148038490007	2.06117647058824	2.08008429926238	2.0475803849169	0.0410278441726594
"chr1-110"	"chr1"	110000001	111000000	"."	1000000	1.98223538119911	2.08941176470588	2.29715489989463	2.12293401526654	0.160113652684092
"chr1-111"	"chr1"	111000001	112000000	"."	1000000	1.95410806809771	2.1678431372549	2.02739726027397	2.04978282187553	0.108611716555216
"chr1-112"	"chr1"	112000001	113000000	"."	1000000	1.93930421909697	2.05176470588235	2.08219178082192	2.02442023526708	0.0752662200382597
"chr1-113"	"chr1"	113000001	114000000	"."	1000000	1.97779422649889	2.09254901960784	1.97892518440464	2.01642281017046	0.0659296563689271
"chr1-114"	"chr1"	114000001	115000000	"."	1000000	2.07698001480385	2.22901960784314	2.07586933614331	2.1272896529301	0.088102475542566
"chr1-115"	"chr1"	115000001	116000000	"."	1000000	2.02072538860104	2.1443137254902	2.28029504741834	2.14844472050319	0.129834127965186
"chr1-116"	"chr1"	116000001	117000000	"."	1000000	2.02072538860104	2.05176470588235	2.29504741833509	2.12251250427283	0.150223441020957
"chr1-117"	"chr1"	117000001	118000000	"."	1000000	1.95558845299778	2.05019607843137	1.96417281348788	1.98998578163901	0.05232000278215
"chr1-118"	"chr1"	118000001	119000000	"."	1000000	2.10214655810511	2.08313725490196	1.7913593256059	1.99221437953766	0.17420505997104
"chr1-119"	"chr1"	119000001	120000000	"."	1000000	2.19837157660992	2.08941176470588	2.07586933614331	2.12121755915304	0.067159557399865
"chr1-120"	"chr1"	120000001	121000000	"."	1000000	2.08734270910437	1.6878431372549	2.22760800842993	2.00093128492973	0.280065581086938
"chr1-121"	"chr1"	121000001	122000000	"."	1000000	1.98963730569948	1.86666666666667	2.49315068493151	2.11648488576589	0.331946212076358
"chr1-122"	"chr1"	122000001	123000000	"."	1000000	4.97853441894893	3.54039215686275	7.22655426765016	5.24849361448728	1.8578499003399
"chr1-123"	"chr1"	123000001	124000000	"."	1000000	8.43375277572169	6.3356862745098	12.3688092729189	9.04608277438345	3.06281803229133
"chr1-124"	"chr1"	124000001	125000000	"."	1000000	11.8904515173945	8.38745098039216	14.5521601685985	11.6100208887951	3.09190731537695
"chr1-125"	"chr1"	125000001	126000000	"."	1000000	13.2923760177646	4.76549019607843	8.30347734457323	8.78711451947209	4.28396710324978
"chr1-126"	"chr1"	126000001	127000000	"."	1000000	0	0	0	0	0
"chr1-127"	"chr1"	127000001	128000000	"."	1000000	0	0	0	0	0
"chr1-128"	"chr1"	128000001	129000000	"."	1000000	0	0	0	0	0
"chr1-129"	"chr1"	129000001	130000000	"."	1000000	0	0	0	0	0
"chr1-130"	"chr1"	130000001	131000000	"."	1000000	0	0	0	0	0
"chr1-131"	"chr1"	131000001	132000000	"."	1000000	0	0	0	0	0
"chr1-132"	"chr1"	132000001	133000000	"."	1000000	0	0	0	0	0
"chr1-133"	"chr1"	133000001	134000000	"."	1000000	0	0	0	0	0
"chr1-134"	"chr1"	134000001	135000000	"."	1000000	0	0	0	0	0
"chr1-135"	"chr1"	135000001	136000000	"."	1000000	0	0	0	0	0
"chr1-136"	"chr1"	136000001	137000000	"."	1000000	0	0	0	0	0
"chr1-137"	"chr1"	137000001	138000000	"."	1000000	0	0	0	0	0
"chr1-138"	"chr1"	138000001	139000000	"."	1000000	0	0	0	0	0
"chr1-139"	"chr1"	139000001	140000000	"."	1000000	0	0	0	0	0
"chr1-140"	"chr1"	140000001	141000000	"."	1000000	0	0	0	0	0
"chr1-141"	"chr1"	141000001	142000000	"."	1000000	0	0	0	0	0
"chr1-142"	"chr1"	142000001	143000000	"."	1000000	0	0	0	0	0
"chr1-143"	"chr1"	143000001	144000000	"."	1000000	23.019985196151	7.55764705882353	13.8229715489989	14.8002012679912	7.77735228795919
"chr1-144"	"chr1"	144000001	145000000	"."	1000000	1.96150999259808	1.75372549019608	1.82507903055848	1.84677150445088	0.105577092341524
"chr1-145"	"chr1"	145000001	146000000	"."	1000000	2.09918578830496	2.12549019607843	2.1622760800843	2.12898402148923	0.0316899249163107
"chr1-146"	"chr1"	146000001	147000000	"."	1000000	2.07549962990378	2.22745098039216	2.01685985247629	2.10660348759074	0.108686444699776
"chr1-147"	"chr1"	147000001	148000000	"."	1000000	1.95854922279793	2.05176470588235	2.1159114857745	2.04207513815159	0.079127341951968
"chr1-148"	"chr1"	148000001	149000000	"."	1000000	2.07698001480385	2.01725490196078	2.23814541622761	2.11079344433075	0.11426139258535
"chr1-149"	"chr1"	149000001	150000000	"."	1000000	2.1820873427091	1.93098039215686	2.25079030558483	2.1212860134836	0.168351407503447
"chr1-150"	"chr1"	150000001	151000000	"."	1000000	2.01628423390081	1.92313725490196	2.12644889357218	2.02195679412499	0.101774451898869
"chr1-151"	"chr1"	151000001	152000000	"."	1000000	2.01332346410067	2.08156862745098	2.19388830347734	2.09626013167633	0.0911745333252878
"chr1-152"	"chr1"	152000001	153000000	"."	1000000	1.99259807549963	2.10666666666667	1.96417281348788	2.02114585188473	0.0754145622597807
"chr1-153"	"chr1"	153000001	154000000	"."	1000000	1.98075499629904	2.02509803921569	2.11801896733404	2.04129066761625	0.0700499846321419
"chr1-154"	"chr1"	154000001	155000000	"."	1000000	2.04737231680237	1.86666666666667	2.17070600632244	2.02824832993049	0.152919178555167
"chr1-155"	"chr1"	155000001	156000000	"."	1000000	1.94522575869726	2.06274509803922	2.09694415173867	2.03497166949172	0.0795810291258496
"chr1-156"	"chr1"	156000001	157000000	"."	1000000	2.12879348630644	2.03137254901961	2.15595363540569	2.10537322357725	0.0655094901599186
"chr1-157"	"chr1"	157000001	158000000	"."	1000000	2.13619541080681	2.20078431372549	2.01053740779768	2.11583904410999	0.0967432558507182
"chr1-158"	"chr1"	158000001	159000000	"."	1000000	1.92301998519615	2.05647058823529	1.95785036880927	1.97911364741357	0.069219658520039
"chr1-159"	"chr1"	159000001	160000000	"."	1000000	2.18504811250925	2.10980392156863	2.16649104320337	2.15378102576042	0.0391992407468239
"chr1-160"	"chr1"	160000001	161000000	"."	1000000	2.16432272390822	1.97019607843137	2.14541622760801	2.0933116766492	0.107039487078309
"chr1-161"	"chr1"	161000001	162000000	"."	1000000	2.13619541080681	2.31058823529412	2.18335089567966	2.2100448472602	0.0902088665065866
"chr1-162"	"chr1"	162000001	163000000	"."	1000000	2.119911176906	2.23372549019608	2.20653319283456	2.18672328664555	0.0594369309843344
"chr1-163"	"chr1"	163000001	164000000	"."	1000000	2.00296076980015	1.88549019607843	2.04847207586934	1.97897434724931	0.0840968764885766
"chr1-164"	"chr1"	164000001	165000000	"."	1000000	2.07549962990378	1.80078431372549	1.87565858798736	1.91731417720554	0.142015905167588
"chr1-165"	"chr1"	165000001	166000000	"."	1000000	2.09326424870466	2.24313725490196	2.00210748155954	2.11283632838872	0.121701017402257
"chr1-166"	"chr1"	166000001	167000000	"."	1000000	2.07698001480385	2.08470588235294	2.12012644889357	2.09393744868345	0.023006956694676
"chr1-167"	"chr1"	167000001	168000000	"."	1000000	2.09178386380459	2.00313725490196	2.11380400421496	2.06957504097384	0.0585807665494616
"chr1-168"	"chr1"	168000001	169000000	"."	1000000	2.12435233160622	2.14901960784314	2.08429926238145	2.1192237339436	0.032663552541918
"chr1-169"	"chr1"	169000001	170000000	"."	1000000	2.06957809030348	2.00627450980392	2.08008429926238	2.05197896645659	0.0399282872799352
"chr1-170"	"chr1"	170000001	171000000	"."	1000000	2.04441154700222	1.93725490196078	1.83983140147524	1.94049928347941	0.102328654318032
"chr1-171"	"chr1"	171000001	172000000	"."	1000000	2.03849000740192	2.15372549019608	2.10326659641728	2.09849403133843	0.0577657957339321
"chr1-172"	"chr1"	172000001	173000000	"."	1000000	1.84752035529238	2.06901960784314	1.9072708113804	1.94127025817197	0.114596908800962
"chr1-173"	"chr1"	173000001	174000000	"."	1000000	2.19096965210955	2.08313725490196	1.9072708113804	2.06045923946397	0.143202574508701
"chr1-174"	"chr1"	174000001	175000000	"."	1000000	2.03700962250185	2.04235294117647	2.11801896733404	2.06579384367079	0.045307123279303
"chr1-175"	"chr1"	175000001	176000000	"."	1000000	2.18060695780903	2.03137254901961	2.11169652265543	2.10789200982802	0.0746899118360207
"chr1-176"	"chr1"	176000001	177000000	"."	1000000	2.13915618060696	2.05803921568627	1.83983140147524	2.01234226592282	0.154806295943756
"chr1-177"	"chr1"	177000001	178000000	"."	1000000	2.03700962250185	2.20862745098039	1.94309799789252	2.06291169045825	0.134646427570879
"chr1-178"	"chr1"	178000001	179000000	"."	1000000	1.90969652109548	1.9843137254902	1.95995785036881	1.95132269898483	0.0380507053481103
"chr1-179"	"chr1"	179000001	180000000	"."	1000000	1.94522575869726	2.13960784313725	1.95785036880927	2.0142279902146	0.10876546250672
"chr1-180"	"chr1"	180000001	181000000	"."	1000000	2.00148038490007	2.02823529411765	1.99367755532139	2.0077977447797	0.0181243235615605
"chr1-181"	"chr1"	181000001	182000000	"."	1000000	2.07846039970392	2.03294117647059	2.23814541622761	2.11651566413404	0.107765241922889
"chr1-182"	"chr1"	182000001	183000000	"."	1000000	2.0340488527017	2.08627450980392	2.17702845100105	2.09911727116889	0.0723498014653058
"chr1-183"	"chr1"	183000001	184000000	"."	1000000	1.88452997779423	1.9921568627451	2.24025289778714	2.03897991277549	0.182425320234564
"chr1-184"	"chr1"	184000001	185000000	"."	1000000	2.1480384900074	2.01882352941176	1.96206533192835	2.0429757837825	0.0953100331804899
"chr1-185"	"chr1"	185000001	186000000	"."	1000000	1.98815692079941	2.01254901960784	2.03793466807165	2.0128802028263	0.0248905261619366
"chr1-186"	"chr1"	186000001	187000000	"."	1000000	1.89045151739452	1.99686274509804	1.89462592202318	1.92731339483858	0.060267657202147
"chr1-187"	"chr1"	187000001	188000000	"."	1000000	1.98667653589933	1.83372549019608	1.84193888303477	1.88744696971006	0.0860333950281169
"chr1-188"	"chr1"	188000001	189000000	"."	1000000	1.9259807549963	1.96235294117647	1.78503688092729	1.89112352570002	0.0936563726141078
"chr1-189"	"chr1"	189000001	190000000	"."	1000000	1.95262768319763	1.81176470588235	1.69441517386723	1.8196025209824	0.129284564054773
"chr1-190"	"chr1"	190000001	191000000	"."	1000000	1.80458919319023	1.88705882352941	1.77660695468915	1.82275165713626	0.0574222095971585
"chr1-191"	"chr1"	191000001	192000000	"."	1000000	1.99111769059956	1.80078431372549	1.82086406743941	1.87092202392149	0.104575560450051
"chr1-192"	"chr1"	192000001	193000000	"."	1000000	1.93338267949667	1.97803921568627	1.95785036880927	1.95642408799741	0.0223624073800007
"chr1-193"	"chr1"	193000001	194000000	"."	1000000	2.04589193190229	1.94666666666667	1.97471022128556	1.98908960661818	0.0511516212565932
"chr1-194"	"chr1"	194000001	195000000	"."	1000000	1.84159881569208	1.8321568627451	1.69652265542676	1.79009277795465	0.0811715066465782
"chr1-195"	"chr1"	195000001	196000000	"."	1000000	1.86084381939304	1.91372549019608	1.57218124341412	1.78225018433441	0.18383644288133
"chr1-196"	"chr1"	196000001	197000000	"."	1000000	1.79422649888971	1.87294117647059	1.73656480505796	1.80124416013942	0.0684584863036045
"chr1-197"	"chr1"	197000001	198000000	"."	1000000	1.87564766839378	1.94039215686275	1.8377239199157	1.88458791505741	0.0519147159027042
"chr1-198"	"chr1"	198000001	199000000	"."	1000000	1.94522575869726	1.84	1.90094836670179	1.89539137513302	0.0528325201918773
"chr1-199"	"chr1"	199000001	200000000	"."	1000000	2.05477424130274	1.9278431372549	1.99367755532139	1.99209831129301	0.0634802867233331
"chr1-200"	"chr1"	200000001	201000000	"."	1000000	1.96891191709845	1.95294117647059	2.10326659641728	2.00837322999544	0.0825671204669462
"chr1-201"	"chr1"	201000001	202000000	"."	1000000	2.01036269430052	2.05647058823529	1.96628029504742	2.01103785919441	0.0450989371499397
"chr1-202"	"chr1"	202000001	203000000	"."	1000000	2.10510732790526	2.0156862745098	2.02528977871444	2.0486944603765	0.0490903813426306
"chr1-203"	"chr1"	203000001	204000000	"."	1000000	1.98075499629904	2.18352941176471	2.05268703898841	2.07232381568405	0.102803541481346
"chr1-204"	"chr1"	204000001	205000000	"."	1000000	2.1539600296077	2.06117647058824	2.26765015806112	2.16092888608568	0.103413101805914
"chr1-205"	"chr1"	205000001	206000000	"."	1000000	2.10362694300518	2.03137254901961	2.17702845100105	2.10400931434195	0.0728287038288239
"chr1-206"	"chr1"	206000001	207000000	"."	1000000	2.14063656550703	2.12705882352941	2.10748155953635	2.1250589828576	0.0166677271174984
"chr1-207"	"chr1"	207000001	208000000	"."	1000000	1.89341228719467	2.02039215686275	1.90937829293994	1.94106091233245	0.069165114789961
