""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"mean"	"sd"
"chr1-10"	"chr1"	10000001	11000000	"."	1000000	2.1188605108055	2.03050847457627	2.08522727272727	1.95049504950495	2.16	2.04657293497364	2.1509900990099	2.05196850393701	1.83112183353438	2.14359733530718	2.0878431372549	2.19388830347734	2.00808625336927	2.01696512723845	1.8129218900675	2.04874333587205	1.86506469500924	1.89397590361446	1.9559585492228	2.02383101102643	0.113238959726745
"chr1-11"	"chr1"	11000001	12000000	"."	1000000	2.26424361493124	1.92542372881356	1.97727272727273	2	2.14092307692308	2.12478031634446	2.1460396039604	2.10708661417323	1.65018094089264	2.18356772760918	2.1443137254902	1.91991570073762	1.87601078167116	2.01319509896324	1.88621022179364	1.91012947448591	2.17929759704251	1.89076305220884	1.87823834196891	2.01145222869908	0.152829680635673
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	2.07858546168959	1.73559322033898	1.94318181818182	1.88118811881188	2.05846153846154	1.94200351493849	2.04950495049505	1.94330708661417	1.60675512665862	2.11843079200592	1.97333333333333	2.04214963119073	1.94070080862534	1.92836946277097	1.82063645130183	1.92079207920792	2.00924214417745	2.08674698795181	1.89119170984456	1.94579864403158	0.126437665405561
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	2.05599214145383	2.13898305084746	1.95738636363636	2.16831683168317	2.09107692307692	2.06590509666081	2.10148514851485	2.02047244094488	1.79010856453558	2.21909696521095	2.1521568627451	2.12855637513172	2.11320754716981	1.79264844486334	1.82835101253616	1.89185072353389	2.14048059149723	2.09317269076305	1.88082901554404	2.03316193633417	0.13465685575544
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	2.1532416502947	1.99322033898305	2.15909090909091	2.16831683168317	2.208	2.03514938488576	2.19554455445545	2.11338582677165	1.99276236429433	2.01776461880089	2.19764705882353	2.03161222339305	2.09164420485175	2.18473138548539	1.92092574734812	1.97867479055598	2.26987060998152	1.98875502008032	2.10103626943005	2.09480914680051	0.0985462819015087
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	2.10314341846758	1.75593220338983	2.05113636363636	1.83168316831683	2.11938461538462	2.00878734622144	2.1509900990099	2.0503937007874	1.80458383594692	2.12583271650629	1.9921568627451	2.02528977871444	2.05390835579515	2.35626767200754	2	1.85529322162986	2.18299445471349	1.90200803212851	2.09585492227979	2.02450740882532	0.146663209109815
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	2.70137524557957	2.26440677966102	2.27272727272727	3.03960396039604	2.74276923076923	2.50439367311072	2.76980198019802	2.68031496062992	2.23160434258142	2.95484826054774	2.51921568627451	2.78398314014752	2.53099730458221	2.44297832233742	2.62873674059788	2.27570449352628	3.29205175600739	2.70200803212851	2.56217616580311	2.6262998604003	0.279196735349231
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	2.23673870333988	2.06101694915254	2.11647727272727	2.46534653465347	2.31630769230769	2.18629173989455	2.32920792079208	2.3259842519685	1.69601930036188	2.26498889711325	2.01725490196078	2.11380400421496	2.09703504043127	1.97549481621112	2.07907425265188	2.14927646610815	2.19038817005545	2.05943775100402	2.1139896373057	2.14705970011866	0.165927685878078
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	2.33300589390963	2.01694915254237	2.01988636363636	1.71287128712871	2.19138461538462	2.1792618629174	2.26980198019802	2.33858267716535	1.73462002412545	2.18060695780903	2.08	2.01685985247629	2.35849056603774	1.99057492931197	1.96914175506268	1.94821020563595	2.32902033271719	2.0144578313253	2.05440414507772	2.09148054907694	0.189238132310828
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	2.17485265225933	1.94915254237288	1.89488636363636	1.96039603960396	2.24061538461538	2.12038664323374	2.16089108910891	2.19212598425197	1.82870928829916	2.01776461880089	2.24	2.07165437302424	2.10512129380054	1.89632422243167	1.95756991321119	1.85529322162986	2.18299445471349	1.93413654618474	2.02849740932642	2.04270379160551	0.133724773021963
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	2.15422396856582	1.85762711864407	1.96306818181818	2.15841584158416	2.11446153846154	2.17311072056239	2.24009900990099	2.05669291338583	1.7708082026538	2.19541080680977	2.12392156862745	1.97260273972603	2.00269541778976	1.97360980207352	2.01735776277724	1.90555978674791	2.09981515711645	1.96947791164659	2.09585492227979	2.04446386164059	0.123312958009709
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	2.16502946954813	1.96271186440678	2.03125	2.0990099009901	2.03015384615385	2.02021089630931	2.29455445544554	2.19842519685039	1.68154402895054	2.0059215396003	2.09411764705882	2.06743940990516	1.91913746630728	1.98868991517436	1.85535197685632	1.90708301599391	2.17744916820702	1.89076305220884	2.14766839378238	2.02823743388153	0.142986636114054
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	2.30648330058939	2.06101694915254	1.87784090909091	1.99009900990099	2.24984615384615	2.18541300527241	2.40594059405941	2.19370078740157	1.76115802171291	2.00296076980015	2.10352941176471	1.96206533192835	2.12129380053908	2.11687087653157	1.93249758919961	2.05483625285605	2.28650646950092	1.97751004016064	2.20466321243523	2.0944332887233	0.161928400349659
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	2.0992141453831	2.06101694915254	2.05113636363636	2.00990099009901	2.10215384615385	2.10281195079086	2.22029702970297	2.19685039370079	1.60916767189385	1.98667653589933	1.97647058823529	2.18967334035827	1.97843665768194	1.96606974552309	1.80713596914176	1.92079207920792	2.05545286506469	1.85863453815261	1.96891191709845	2.0084633461514	0.145635481902534
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	2.31532416502947	2.14237288135593	1.94602272727273	2.02970297029703	2.11815384615385	2.05799648506151	2.14851485148515	2.20629921259843	1.91556091676719	1.96891191709845	2.04549019607843	2.18756585879874	2.07277628032345	1.94910461828464	1.94599807135969	2.01675552170602	1.9630314232902	1.90522088353414	2.02331606217617	2.05042730993006	0.111665071017469
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	2.14636542239686	1.90847457627119	1.85511363636364	2.31683168316832	2.25723076923077	2.10369068541301	2.27227722772277	2.1748031496063	1.90349819059107	2.06069578090303	2.05176470588235	1.91780821917808	1.90835579514825	1.8435438265787	1.87849566055931	2.03655750190404	2.11829944547135	1.8859437751004	1.97150259067358	2.03217119169279	0.151353913588025
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	2.1188605108055	1.80677966101695	1.87215909090909	1.94059405940594	2.02769230769231	1.95430579964851	2.13613861386139	2.11968503937008	1.64776839565742	2.0340488527017	2.10980392156863	2.08640674394099	1.83288409703504	1.93213949104618	1.90549662487946	1.85529322162986	2.15896487985213	1.80722891566265	2.12176165803109	1.97200062551131	0.144637784594655
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	2.1434184675835	1.95254237288136	1.96590909090909	1.93069306930693	2.15938461538462	2.05799648506151	2.31683168316832	2.09133858267717	1.6357056694813	2.02664692820133	2.21647058823529	2.02107481559536	2.0377358490566	2.06786050895382	1.86692381870781	1.92536176694593	2.22181146025878	1.99036144578313	1.87046632124352	2.0262386073387	0.154435074106219
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	2.24557956777996	1.95593220338983	1.72727272727273	1.82178217821782	2.048	1.98506151142355	2.18316831683168	2.02834645669291	1.74909529553679	2.01776461880089	1.92	2.17281348788198	1.82749326145553	1.85862393967955	1.94599807135969	1.83853769992384	1.88354898336414	1.86184738955823	1.96113989637306	1.94905292660748	0.143057928359255
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	2.2475442043222	1.92542372881356	1.88920454545455	1.95049504950495	2.16861538461538	2.04920913884007	2.1980198019802	2.0251968503937	1.87696019300362	2.01036269430052	2.08627450980392	2.16649104320337	2.03234501347709	2.03958529688973	2.00964320154291	2.05940594059406	2.13493530499076	1.96465863453815	2.06217616580311	2.0471866685301	0.102720467419794
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	2.37819253438114	2.18983050847458	1.98863636363636	2.10891089108911	2.40061538461538	2.07644991212654	2.41831683168317	2.20157480314961	1.79734620024125	2.0740192450037	2.0156862745098	2.10958904109589	2.07008086253369	1.88878416588124	1.90935390549662	1.96648895658797	2.2550831792976	2.06265060240964	2.03886010362694	2.10265630346528	0.171385273822476
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	2.21414538310413	1.84745762711864	1.98295454545455	1.87128712871287	2.152	2.08875219683656	2.35148514851485	2.11023622047244	1.79734620024125	1.90377498149519	2.11764705882353	2.17281348788198	1.86522911051213	1.93590951932139	1.86306653809065	2.01370906321401	2.02772643253235	1.81847389558233	2.10362694300518	2.0125074463639	0.154450484191028
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	2.14734774066798	1.90508474576271	1.86931818181818	2.0990099009901	2.12307692307692	2.15465729349736	2.1460396039604	2.16220472440945	1.72014475271411	2.01924500370096	2.10509803921569	2.04214963119073	2.01347708894879	2.04147031102733	1.98457087753134	2.17669459253618	1.97227356746765	1.93413654618474	1.85492227979275	2.02478535813123	0.125534415268404
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	2.32809430255403	2.08813559322034	2.10795454545455	2.08910891089109	2.31507692307692	2.13005272407733	2.28465346534653	2.04094488188976	2.00482509047045	2.12583271650629	2.22745098039216	2.08640674394099	1.81401617250674	2.02827521206409	1.91513982642237	1.99086062452399	2.28835489833641	1.89076305220884	2.20466321243523	2.10318999349043	0.146493086375717
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	2.24459724950884	1.87457627118644	2.18465909090909	2.18811881188119	2.12923076923077	2.15553602811951	2.23267326732673	2.14803149606299	1.80940892641737	2.13471502590674	2.04549019607843	2.13487881981033	2.00808625336927	1.92648444863336	1.88042430086789	2.08377760853008	2.39001848428835	1.96787148594378	1.85751295336788	2.0734784993389	0.155344962672789
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	2.05893909626719	1.94237288135593	1.93465909090909	1.87128712871287	2.02215384615385	2.00615114235501	1.99257425742574	1.89133858267717	1.81182147165259	2	1.89333333333333	2.07165437302424	2.02156334231806	1.97172478793591	1.7801350048216	1.94516374714395	2.06284658040665	1.95502008032129	1.93264248704663	1.95607269651901	0.081105200666821
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	2.24950884086444	2.10508474576271	1.82670454545455	2.01980198019802	2.27630769230769	2.13356766256591	2.24257425742574	2.25984251968504	1.60916767189385	2.09770540340489	2.07843137254902	2.16649104320337	2.18598382749326	2.03958529688973	2.03857280617165	1.9040365575019	2.12014787430684	1.97751004016064	2.04145077720207	2.07223552184428	0.164114869338645
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	2.30943025540275	2.08474576271186	2.09943181818182	2.04950495049505	2.21969230769231	2.19683655536028	2.18564356435644	2.14330708661417	1.86007237635706	2.119911176906	1.9921568627451	2.05690200210748	2.11320754716981	2.01131008482564	1.98071359691418	2.03808073115004	2.24953789279113	2.00803212851406	1.95077720207254	2.08785757380883	0.112397200230759
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	2.12573673870334	1.95593220338983	2.11079545454545	2.08910891089109	2.20246153846154	2.24780316344464	2.29207920792079	2.07244094488189	1.74909529553679	2.02220577350111	2.0721568627451	2.2781875658588	2.19137466307278	1.99245994344958	1.93056894889103	1.91622239146992	2.28650646950092	1.94859437751004	1.82383419689119	2.06881919214031	0.15833540037617
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	2.11001964636542	2.30508474576271	1.85511363636364	1.82178217821782	2.21107692307692	2.08523725834798	2.0519801980198	1.97637795275591	1.81905910735826	2.16728349370836	2.04705882352941	2.15595363540569	1.84366576819407	1.96418473138549	1.89778206364513	1.93907083015994	2.1090573012939	1.94859437751004	2.11658031088083	2.02236647273586	0.141181324044303
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	2.08546168958743	1.94237288135593	2.0625	2	2.064	2.09578207381371	2.07425742574257	2.11968503937008	1.70566948130277	1.94374537379719	2.04862745098039	2.14752370916754	2.05390835579515	1.99622997172479	1.80135004821601	2.01218583396801	1.91866913123845	1.99036144578313	2.10621761658031	2.0088709225486	0.110701768909898
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	2.14145383104126	2.10508474576271	1.96875	2.27722772277228	2.04061538461538	2.10544815465729	2.32425742574257	2.23307086614173	2.04101326899879	2.10362694300518	2.13019607843137	2.11169652265543	2.09703504043127	2.07728557964185	1.96142719382835	1.97258187357197	2.15526802218115	1.96465863453815	2.13989637305699	2.10266282426704	0.101452929076272
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	2.10314341846758	2.14237288135593	2.14488636363636	1.86138613861386	2.048	2.12302284710018	2.25	2.16535433070866	1.9059107358263	2.0340488527017	2.00156862745098	2.06322444678609	2.06469002695418	2.01696512723845	1.7357762777242	1.99390708301599	2.06099815157116	2.04497991967872	1.9119170984456	2.03537643827768	0.119362931150467
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	2.32318271119843	1.7864406779661	2.02556818181818	2.14851485148515	2.31692307692308	2.13884007029877	2.12128712871287	2.23307086614173	1.86248492159228	2.13767579570688	2.17098039215686	1.98103266596417	2.05390835579515	2.06409048067861	1.96914175506268	1.98781416603199	2.1996303142329	2.15421686746988	1.99740932642487	2.08801118977161	0.140149986572277
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	2.2229862475442	2.35593220338983	1.97159090909091	2.01980198019802	2.17107692307692	2.10544815465729	2.0990099009901	2.2	1.87937273823884	2.00296076980015	2.0156862745098	2.02107481559536	2.05390835579515	2.0923656927427	2.03857280617165	1.90555978674791	1.90757855822551	1.96787148594378	2.12694300518135	2.06093371620524	0.120193522728554
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	2.05500982318271	1.91864406779661	2.13068181818182	2.31683168316832	2.04184615384615	2.02460456942004	1.99257425742574	2.06771653543307	2.01930036188179	2.07549962990378	1.91843137254902	2.0927291886196	2.09433962264151	1.92459943449576	1.89971070395371	1.85224676313785	1.96118299445471	2.06425702811245	2.02849740932642	2.02519491671216	0.104426482891808
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	2.11689587426326	2.03050847457627	1.97159090909091	1.92079207920792	2.184	2.15641476274165	2.28960396039604	2.09291338582677	1.88178528347407	2.039970392302	2.0078431372549	2.17070600632244	1.97843665768194	1.96418473138549	1.99614271938284	1.87661843107388	2.22550831792976	1.90682730923695	2.16839378238342	2.05153348497529	0.122858237474744
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	2.23575638506876	1.95593220338983	2.02272727272727	2.05940594059406	2.15876923076923	2.15377855887522	2.27475247524752	2.30708661417323	2.02412545235223	1.98223538119911	2.29333333333333	2.08429926238145	2.16172506738544	1.93025447690858	2.12150433944069	1.99086062452399	2.02772643253235	2.06104417670683	2.12694300518135	2.10380317014687	0.114506857994776
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	2.02554027504912	2.14576271186441	2.02272727272727	2.0990099009901	2.13415384615385	1.98681898066784	2.20792079207921	2.22834645669291	2.11097708082027	2.15988156920799	2.03294117647059	1.99578503688093	2.20485175202156	2.07540056550424	2	2.1005331302361	2.13308687615527	2.13654618473896	1.97927461139896	2.09366095892945	0.0790960801500601
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	1.84970530451866	2.10169491525424	2.15340909090909	1.92079207920792	1.91876923076923	2.04745166959578	1.86633663366337	1.99685039370079	1.88902291917973	2.08142116950407	1.95294117647059	1.93256059009484	2.07816711590297	1.89255419415646	2.03857280617165	1.95277989337395	1.99260628465804	2.21044176706827	1.96373056994819	1.99156883179725	0.100235833941249
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	2.01080550098232	2.06779661016949	2.01136363636364	2.07920792079208	2.01230769230769	2.04657293497364	2.05940594059406	2.10236220472441	2.07961399276236	2.04293116210215	2.03921568627451	2.0231822971549	2.01617250673854	2.01696512723845	2.14850530376085	2.06245239908606	1.9815157116451	1.97751004016064	2.12694300518135	2.04762261436907	0.0459925501331166
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	2.024557956778	1.83728813559322	2.10795454545455	1.95049504950495	1.94523076923077	2.04833040421793	2.01732673267327	2.04251968503937	1.60675512665862	1.91857883049593	1.87764705882353	2.15173867228662	2.14016172506739	2.0923656927427	1.91321118611379	2.0959634424981	1.92606284658041	1.91646586345382	1.95854922279793	1.97743173400057	0.12851637045667
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	2.01277013752456	1.9864406779661	2.15909090909091	2.22772277227723	2.06892307692308	1.93673110720562	2.05693069306931	2.05511811023622	1.85524728588661	1.95706883789785	1.87137254901961	1.98735511064278	1.94609164420485	2.0320452403393	1.96142719382835	1.81416603198781	1.8909426987061	2.07710843373494	2.06735751295337	1.99810052755235	0.103899292040637
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	2.28880157170923	2.09491525423729	1.96590909090909	2.16831683168317	2.28430769230769	2.05887521968366	2.33910891089109	2.1007874015748	1.93486127864897	2.119911176906	2.05803921568627	2.19599578503688	2.19946091644205	2.07163053722903	1.9556412729026	2.06549885757807	2.09796672828096	2.02409638554217	2.12953367875648	2.11335041084239	0.111995840839022
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	2.24361493123772	1.59661016949153	1.83522727272727	2.14851485148515	2.19753846153846	2.2390158172232	2.08910891089109	2.16850393700787	1.84077201447527	2.13619541080681	2.10666666666667	1.95574288724974	2.05390835579515	2.02639019792648	1.86306653809065	2.14318354912414	2.24768946395564	1.8714859437751	2.00777202072539	2.04057933685228	0.174880231556844
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	2.11296660117878	1.90847457627119	2.07386363636364	2.03960396039604	2.06830769230769	2.23022847100176	2.01485148514851	1.98897637795276	2.09650180940893	2.01036269430052	2.05960784313725	2.29504741833509	2.1078167115903	2.04147031102733	1.93249758919961	1.98324447829398	2.08133086876155	2.10281124497992	2.10621761658031	2.06600954664396	0.0913061256562705
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	2.13654223968566	2.10847457627119	2.17897727272727	2.02970297029703	2.09107692307692	2.01142355008787	2.08910891089109	2.07244094488189	2.08926417370326	2.05625462620281	2.06117647058824	2.14752370916754	1.99460916442049	1.98491988689915	2.0771456123433	2.06245239908606	2.06839186691312	1.94377510040161	2.08549222797927	2.06782908555915	0.0574546365622441
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	2.08939096267191	2.09491525423729	2.05113636363636	2.34653465346535	2.09969230769231	2.05887521968366	1.97277227722772	1.96220472440945	2.32810615199035	2.04885270170244	2.08156862745098	2.17702845100105	2.17250673854447	2.02639019792648	2.09643201542912	1.8964204112719	2.17190388170055	2.07871485943775	2.14766839378238	2.10005864175061	0.110835507780874
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	2.00098231827112	2.02033898305085	2.02840909090909	2.06930693069307	2.05169230769231	2.11423550087873	2.28960396039604	2.12283464566929	1.97828709288299	2.16580310880829	2.04078431372549	2.12223393045311	2.10242587601078	2.01319509896324	1.98457087753134	1.98933739527799	2.15526802218115	1.88755020080321	2.1139896373057	2.06583417323704	0.0893456067661971
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	1.94302554027505	2.13559322033898	2.17613636363636	1.74257425742574	2.06092307692308	2.09666080843585	2.11633663366337	2.15590551181102	2.08685162846803	2.0340488527017	2.20392156862745	2.33298208640674	2.23180592991914	2.02262016965127	1.9672131147541	1.998476770754	2.181146025878	2.0578313253012	2.16839378238342	2.09012877196603	0.128339822091032
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	2.03438113948919	1.88135593220339	2.22727272727273	2.01980198019802	2.02953846153846	2.08260105448155	1.99257425742574	2.10393700787402	1.97104945717732	2.11695040710585	1.95450980392157	1.94520547945205	2.07277628032345	2.10744580584354	2.0327868852459	2.03351104341203	2.17560073937153	2.10602409638554	2.08290155440414	2.05106442700663	0.0829620836576825
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	2.05304518664047	2.12881355932203	1.96022727272727	1.84158415841584	2.00123076923077	1.92970123022847	1.79455445544554	1.88503937007874	1.87937273823884	1.97483345669874	1.94039215686275	2.20653319283456	2.00269541778976	1.97172478793591	1.98457087753134	1.93145468392993	2.06654343807763	1.98714859437751	2.13730569948187	1.98298794978147	0.103154494777103
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	1.98919449901768	2.03728813559322	1.90340909090909	1.78217821782178	1.96676923076923	1.93057996485062	2.19059405940594	1.90393700787402	2.0313630880579	1.86084381939304	1.99686274509804	2.10958904109589	1.90835579514825	2.09048067860509	1.94406943105111	2.00913937547601	2.21072088724584	1.94538152610442	2.05181347150259	1.99276684552736	0.108269936822621
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	1.98231827111984	1.92881355932203	1.85795454545455	1.96039603960396	1.98092307692308	1.93321616871705	1.96039603960396	2.01417322834646	1.91073582629674	2.02072538860104	2.21960784313726	1.91570073761855	2.16172506738544	2.14514608859566	2.06171648987464	2.06854531607007	1.8724584103512	1.95823293172691	2.01554404145078	1.99833310895785	0.0975763080306855
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	2.08840864440079	2.21016949152542	1.90340909090909	2.20792079207921	2.01538461538462	1.95430579964851	2.13613861386139	2.01259842519685	2.30398069963812	2.03700962250185	1.96235294117647	2.20021074815595	2.05929919137466	2.04147031102733	2.03085824493732	2.09139375476009	1.93345656192237	2.04819277108434	2.09067357512953	2.06985441551126	0.104785820345571
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	1.98919449901768	1.96271186440678	2.125	2.07920792079208	1.96430769230769	2.12565905096661	1.98267326732673	1.99370078740157	1.97828709288299	2.09326424870466	1.98588235294118	2.06743940990516	1.98382749326146	1.88501413760603	2.0771456123433	2.05940594059406	1.96487985212569	2.13493975903614	2.12176165803109	2.03022645471847	0.0724951670693276
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	1.95874263261297	2.06101694915254	1.91761363636364	1.71287128712871	1.99323076923077	1.95869947275923	2.07178217821782	2.18582677165354	2.21712907117008	2.1139896373057	2.11450980392157	2.07797681770285	1.78167115902965	1.93025447690858	2.00385728061717	2.003046458492	1.90388170055453	1.90682730923695	2.14766839378238	2.00318925293898	0.130705709059714
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	2.09528487229862	2.28135593220339	2.03977272727273	1.78217821782178	2.01907692307692	2.01230228471002	2.11138613861386	2.02677165354331	2.04583835946924	1.99259807549963	1.98117647058824	2.01896733403583	2.02156334231806	1.99434495758718	2.1099324975892	1.95734958111196	1.96672828096118	2.00481927710843	2.12694300518135	2.03096789110479	0.0963795151085857
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	2.03536345776031	2.10847457627119	2.16477272727273	1.6039603960396	2.00923076923077	2.03339191564148	1.73762376237624	1.99212598425197	2.15681544028951	1.99555884529978	1.9921568627451	2.07376185458377	2.07816711590297	1.99434495758718	1.97107039537126	1.91774562071592	1.95378927911275	2.19759036144578	1.87564766839378	1.99429431527853	0.142789375080797
"chr1-69"	"chr1"	69000001	70000000	"."	1000000	1.91159135559921	2.09491525423729	1.99715909090909	1.91089108910891	1.88123076923077	1.9103690685413	1.82425742574257	1.81102362204724	1.9686369119421	2.06217616580311	1.85882352941176	1.84826132771338	2.09164420485175	1.97926484448633	2.12150433944069	2.00609291698401	1.97227356746765	2.06746987951807	1.92487046632124	1.96012925417666	0.0959474191923223
