""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"mean"	"sd"
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	5.00815217391304	5.08888888888889	5.12743628185907	5.77488744372186	3.22065727699531	3.92340425531915	3.76421052631579	3.43495145631068	2.74456928838951	2.60430586488493	2.82661668228679	3.956189103535	1.11764438914494
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	4.27717391304348	4.23174603174603	5.38230884557721	4.49224612306153	3.24507042253521	3.72978723404255	3.89052631578947	3.43883495145631	2.6187265917603	2.52115812917595	2.47047797563261	3.66345968489279	0.918798879309912
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	4.19565217391304	4.46666666666667	4.81559220389805	4.63631815907954	3.36713615023474	3.6531914893617	3.70189473684211	3.44660194174757	2.70711610486891	2.64884929472903	2.58294283036551	3.6565419774279	0.803098276579818
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	4.79076086956522	4.4984126984127	4.92953523238381	4.65632816408204	3.24131455399061	3.80212765957447	3.52	3.45242718446602	2.44644194756554	2.78841870824053	2.84723523898782	3.72481838702443	0.876976496670647
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	4.84239130434783	4.88888888888889	6.56671664167916	5.12056028014007	3.67511737089202	4.14255319148936	4.47831578947368	3.78834951456311	2.52434456928839	2.61321455085375	2.94657919400187	4.14427557232892	1.21343918933994
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	5.22826086956522	5.4984126984127	6.4167916041979	5.5327663831916	3.71830985915493	4.11276595744681	4.37052631578947	3.66407766990291	2.78501872659176	2.88789903489235	2.56607310215558	4.25280929284557	1.27876406568373
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	4.40760869565217	4.3015873015873	6.06296851574213	4.24012006003001	3.43474178403756	4.27021276595745	4.68042105263158	3.72621359223301	2.84644194756554	2.74387527839644	2.73664479850047	3.95007598112124	0.998912181445825
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	4.3179347826087	4.32063492063492	4.67466266866567	4.81240620310155	3.45352112676056	3.48723404255319	3.24547368421053	3.00582524271845	2.49288389513109	2.65033407572383	2.7535145267104	3.5649477426199	0.836843610931144
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	4.76358695652174	5.11111111111111	4.53673163418291	5.07453726863432	3.01596244131455	3.40212765957447	2.96589473684211	3.20582524271845	2.78052434456929	2.47958426132146	2.67104029990628	3.63699326879061	1.01988326018771
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	4.5570652173913	4.93333333333333	5.43328335832084	5.00850425212606	3.23755868544601	4.00851063829787	3.87705263157895	3.53980582524272	2.72059925093633	2.70675575352635	2.7066541705717	3.88446573788832	0.994804466798488
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	4.21467391304348	4.56825396825397	5.82308845577211	4.74437218609305	3.43661971830986	4.28085106382979	4.44294736842105	3.63495145631068	2.64419475655431	2.87899034892353	2.75538894095595	3.94766656149707	0.979095343175725
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	3.84510869565217	3.60634920634921	3.33733133433283	3.81990995497749	2.98028169014085	3.23404255319149	2.43705263157895	2.88155339805825	2.45842696629213	2.48106904231626	2.55107778819119	3.05747302373462	0.546058980823613
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	3.47282608695652	3.18095238095238	2.66266866566717	3.48174087043522	2.75117370892019	2.68936170212766	2.19452631578947	2.68543689320388	2.44943820224719	2.38307349665924	2.52671040299906	2.77071897508709	0.428692829595035
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	3.3695652173913	2.97460317460317	3.86506746626687	2.93546773386693	2.96150234741784	3.36808510638298	3.50315789473684	2.98446601941748	2.46142322097378	2.46325167037862	2.29803186504217	3.01678379240709	0.484554619809364
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	4.875	4.8031746031746	5.67616191904048	5.01450725362681	3.218779342723	3.94893617021277	3.77263157894737	3.23883495145631	2.76404494382022	2.76020786933927	2.77788191190253	3.89546914038576	1.04553758385072
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	4.20380434782609	4.05079365079365	4.4167916041979	4.42621310655328	3.1868544600939	3.44893617021277	3.34147368421053	3.32621359223301	2.70561797752809	2.49146250927988	2.71415182755389	3.48293753913482	0.701116062925622
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	3.51358695652174	3.27936507936508	4.08695652173913	4.00600300150075	2.98591549295775	3.27872340425532	2.79242105263158	2.85436893203884	2.65917602996255	2.64291017074981	2.71790065604499	3.16521157252432	0.519665866623196
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	3.99184782608696	3.95555555555556	4.96851574212894	4.08404202101051	3.23192488262911	3.62765957446809	3.38694736842105	3.45825242718447	2.66067415730337	2.41722345953972	2.72727272727273	3.50090143105459	0.743219019852755
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	3.83695652173913	3.77460317460317	4.60869565217391	3.83991995997999	3.02347417840376	3.5468085106383	3.42736842105263	3.41165048543689	2.68164794007491	2.52264291017075	2.75913776944705	3.40299141124732	0.620188164846788
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	3.97010869565217	4.04126984126984	3.84107946026987	4.39619809904953	2.98403755868545	3.0063829787234	2.74357894736842	2.80194174757282	2.40449438202247	2.60876020786934	2.71415182755389	3.22836397691247	0.693048732178963
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	2.83152173913043	3.03809523809524	3.32833583208396	2.99949974987494	2.74178403755869	2.91063829787234	2.74863157894737	2.82912621359223	2.29213483146067	2.22420193021529	2.45173383317713	2.76324575290985	0.33039960569137
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	4.63586956521739	4.5047619047619	4.70164917541229	4.88044022011005	3.17370892018779	4.04893617021277	3.25389473684211	3.26990291262136	2.56629213483146	2.64587973273942	2.98031865042174	3.69651401121439	0.872767812496804
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	4.45652173913043	4.36825396825397	5.33733133433283	4.55427713856928	3.40281690140845	3.71063829787234	3.52505263157895	3.6252427184466	2.83295880149813	2.64736451373422	2.77225866916589	3.74842879218101	0.851402671643527
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	3.28532608695652	3.45396825396825	4.34782608695652	3.1655827913957	3.01971830985915	3.19787234042553	3.57221052631579	3.14757281553398	2.44044943820225	2.62509279881218	2.23992502343018	3.13595858835055	0.578647558161744
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	3.83695652173913	3.77142857142857	3.9880059970015	4.18009004502251	3.2075117370892	3.50851063829787	3.296	2.97281553398058	2.57228464419476	2.57015590200445	2.56419868791003	3.31526893442442	0.593182556781903
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	4.00271739130435	4.05396825396825	3.86506746626687	4.08004002001	2.95023474178404	3.20425531914894	2.96589473684211	3.09320388349515	2.48689138576779	2.4097995545657	2.5360824742268	3.24074138430727	0.65379525033629
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	2.11141304347826	2.25079365079365	1.79610194902549	2.29314657328664	2.02441314553991	2.08723404255319	1.71452631578947	2.08349514563107	1.91760299625468	1.9524870081663	2.20618556701031	2.03976358522991	0.182663286563358
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	1.4320652173913	1.25396825396825	1.43328335832084	1.34467233616808	1.24319248826291	1.48510638297872	1.83747368421053	1.53203883495146	1.50411985018727	1.59762435040831	1.47703842549203	1.46732574384906	0.165270228492944
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	2.20380434782609	2.31746031746032	2.51574212893553	2.23511755877939	2.28920187793427	2.51914893617021	2.29221052631579	2.21553398058252	2.07640449438202	2.08017817371938	2.15370196813496	2.26350039184004	0.14856519369486
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	2.85326086956522	2.99047619047619	3.49925037481259	2.87343671835918	2.83568075117371	2.96595744680851	3.07705263157895	2.96699029126214	2.44943820224719	2.4558277654046	2.36176194939082	2.84810301737083	0.327851892303535
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	3.42934782608696	3.33650793650794	4.57871064467766	3.03951975987994	2.95774647887324	3.4936170212766	3.69347368421053	3.33203883495146	2.56779026217228	2.47809948032665	2.44985941893158	3.21424648617226	0.623296708167622
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	4.64945652173913	4.56825396825397	4.99250374812594	4.7383691845923	3.26384976525822	3.5531914893617	3.392	3.28155339805825	2.65767790262172	2.57015590200445	2.68416119962512	3.66828846178553	0.909378916504019
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	4.67934782608696	4.90476190476191	5.16341829085457	5.20260130065033	3.36713615023474	4.16595744680851	3.79284210526316	3.35533980582524	2.71011235955056	2.56421677802524	2.78537956888472	3.88101032154054	1.00056492365697
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	2.28804347826087	2.25714285714286	1.83208395802099	2.53526763381691	2.04694835680751	2.23829787234043	1.66736842105263	2	2.17378277153558	2.11878247958426	2.11808809746954	2.11598235691196	0.233177201380268
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	1.83152173913043	1.97142857142857	1.59220389805097	2.11105552776388	1.981220657277	1.88510638297872	1.63031578947368	2.00194174757282	2.08539325842697	1.92724573125464	2.24367385192127	1.93282792320718	0.19503456262359
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	1.72554347826087	1.77460317460317	1.51124437781109	2.03101550775388	1.89671361502347	1.71276595744681	1.33557894736842	1.96504854368932	2.07191011235955	1.91239792130661	2.29615745079663	1.83936173512907	0.268053314423275
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	2.36141304347826	2.22539682539683	1.79010494752624	2.55927963981991	2.16150234741784	2.11276595744681	1.85768421052632	2.06407766990291	2.21423220973783	2.02969561989607	2.30365510777882	2.15270977990253	0.219975524755136
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	1.92391304347826	1.9968253968254	1.68215892053973	2.00300150075038	1.96619718309859	1.88297872340426	1.72294736842105	2.08932038834951	2.01947565543071	1.88715664439495	2.05248359887535	1.9296780385062	0.129566452896364
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	1.32608695652174	1.47936507936508	1.29835082458771	1.45472736368184	1.31830985915493	1.3	1.54947368421053	1.53398058252427	1.71535580524345	1.83073496659243	1.84817244611059	1.51405068799932	0.206110003136012
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	2.02445652173913	2.07301587301587	2.73163418290855	2.10505252626313	2.31173708920188	2.50851063829787	2.26526315789474	2.43883495145631	2.19625468164794	2.14699331848552	2.18369259606373	2.27140413972497	0.213204459986858
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	2.80163043478261	2.36507936507937	3.41829085457271	2.65932966483242	2.36244131455399	2.63404255319149	2.78231578947368	2.58640776699029	2.09438202247191	2.25092798812175	2.13120899718838	2.55327788647805	0.378580584192951
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	2.14945652173913	2.35555555555556	2.20689655172414	2.11305652826413	2.10704225352113	2.12978723404255	2.07494736842105	1.92427184466019	2.19625468164794	2.09651076466221	2.13308341143393	2.13516933778836	0.104193460391089
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	2.00271739130435	2.0031746031746	2.10194902548726	2.12306153076538	2.35117370892019	2.22553191489362	1.94021052631579	2.06990291262136	2.20374531835206	2.1826280623608	2.22680412371134	2.13008173799152	0.121809463342686
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	1.94836956521739	2.06666666666667	1.928035982009	1.73686843421711	1.97934272300469	2.15106382978723	2.11873684210526	1.93203883495146	1.90112359550562	1.98515219005197	1.94751640112465	1.97226500587646	0.113040412470639
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	1.40760869565217	1.3047619047619	1.44527736131934	1.28264132066033	1.51924882629108	1.47659574468085	1.48715789473684	1.57281553398058	1.6314606741573	1.78619153674833	1.65323336457357	1.50609025977839	0.150179456792797
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	2.26358695652174	2.40634920634921	2.39580209895052	2.39719859929965	2.4131455399061	2.43617021276596	2.14568421052632	2.50679611650485	2.36104868913858	2.12917594654788	2.3223992502343	2.34339607515865	0.119112561632611
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	1.55978260869565	1.6	1.53223388305847	1.5287643821911	1.50234741784038	1.51489361702128	1.80715789473684	1.67766990291262	1.74531835205993	1.93318485523385	1.69821930646673	1.64541565638335	0.140035185536737
"chr1-69"	"chr1"	69000001	70000000	"."	1000000	0.989130434782609	0.911111111111111	1.04047976011994	0.96448224112056	0.963380281690141	1.08297872340426	1.44336842105263	1.0873786407767	1.18951310861423	1.547141796585	1.16401124648547	1.12572506961297	0.202894280010121
"chr1-70"	"chr1"	70000001	71000000	"."	1000000	1.70923913043478	1.56507936507937	1.94602698650675	1.45672836418209	1.62816901408451	1.76170212765957	1.87115789473684	1.84271844660194	1.79625468164794	1.75055679287305	1.58013120899719	1.71888763752764	0.14795101821357
"chr1-71"	"chr1"	71000001	72000000	"."	1000000	1.03532608695652	0.755555555555556	1.18740629685157	0.982491245622811	1.05352112676056	0.825531914893617	1.17726315789474	1.05242718446602	1.08164794007491	1.50408314773571	1.18275538894096	1.076182640523	0.198551542984709
"chr1-72"	"chr1"	72000001	73000000	"."	1000000	0.638586956521739	0.676190476190476	1.1304347826087	0.666333166583292	0.846948356807512	0.921276595744681	1.18231578947368	0.842718446601942	0.849438202247191	1.24276169265033	0.761012183692596	0.887092422647467	0.212109744561456
"chr1-73"	"chr1"	73000001	74000000	"."	1000000	0.986413043478261	0.806349206349206	1.07046476761619	0.734367183591796	0.815023474178404	0.88936170212766	1.15031578947368	1.03883495145631	0.963295880149813	1.40460282108389	1.11527647610122	0.997664117782403	0.19027630734286
"chr1-74"	"chr1"	74000001	75000000	"."	1000000	0.97554347826087	1.02222222222222	1.03748125937031	0.912456228114057	1.05164319248826	1.07872340425532	1.30526315789474	1.14174757281553	1.08913857677903	1.43875278396437	1.20337394564199	1.11421325652788	0.151862561064234
"chr1-75"	"chr1"	75000001	76000000	"."	1000000	1.37228260869565	1.39047619047619	1.47226386806597	1.37668834417209	1.6	1.47659574468085	2.03452631578947	1.6252427184466	1.73033707865169	1.5887156644395	1.60262417994377	1.56997751939652	0.193345832676153
"chr1-76"	"chr1"	76000001	77000000	"."	1000000	1.34510869565217	1.3047619047619	1.19940029985008	1.32466233116558	1.26572769953052	1.31702127659574	1.27326315789474	1.38640776699029	1.49063670411985	1.76540460282108	1.80693533270853	1.40721179746277	0.201474722963815
"chr1-77"	"chr1"	77000001	78000000	"."	1000000	2.11141304347826	1.95555555555556	2.25187406296852	1.97898949474737	2.07887323943662	2.09148936170213	2.23157894736842	2.03300970873786	1.98801498127341	1.94357832219748	1.85754451733833	2.04744738498218	0.121011038317831
"chr1-78"	"chr1"	78000001	79000000	"."	1000000	1.24728260869565	1.24761904761905	1.1784107946027	1.34267133566783	1.23568075117371	1.49574468085106	1.568	1.35922330097087	1.34531835205993	1.75055679287305	1.44142455482662	1.38290292903095	0.170107683479732
"chr1-79"	"chr1"	79000001	80000000	"."	1000000	0.942934782608696	1.13333333333333	1.1904047976012	1.05252626313157	1.15492957746479	1.13829787234043	1.19242105263158	1.17864077669903	1.09812734082397	1.29621380846325	1.04029990627929	1.12892086467065	0.0939597100413274
"chr1-80"	"chr1"	80000001	81000000	"."	1000000	0.771739130434783	0.8	1.02548725637181	0.716358179089545	0.867605633802817	0.965957446808511	1.24968421052632	1.01941747572816	0.930337078651685	1.23533778767632	0.931583880037488	0.955773461738857	0.172630652897295
"chr1-81"	"chr1"	81000001	82000000	"."	1000000	1.19836956521739	1.15238095238095	1.35532233883058	1.20260130065033	1.30140845070423	1.3936170212766	1.33894736842105	1.52621359223301	1.38876404494382	1.64513734224202	1.33083411433927	1.3485087355672	0.144287326237917
"chr1-82"	"chr1"	82000001	83000000	"."	1000000	0.891304347826087	0.987301587301587	1.04647676161919	0.898449224612306	0.942723004694836	1.03404255319149	0.963368421052632	0.978640776699029	1.13558052434457	1.5456570155902	1.22774133083411	1.05920777706964	0.189766931773646
"chr1-83"	"chr1"	83000001	84000000	"."	1000000	1.09782608695652	1.02222222222222	1.20839580209895	1.02251125562781	1.1887323943662	1.17021276595745	1.08631578947368	1.14174757281553	1.30337078651685	1.62286562731997	1.52764761012184	1.217440719407	0.196075680021522
"chr1-84"	"chr1"	84000001	85000000	"."	1000000	1.79076086956522	1.53650793650794	1.70914542728636	1.78289144572286	1.79342723004695	1.79574468085106	1.68421052631579	1.83495145631068	1.89513108614232	1.97624350408315	1.88940955951265	1.78985670203136	0.118205251495453
"chr1-85"	"chr1"	85000001	86000000	"."	1000000	1.74184782608696	1.73333333333333	2.0119940029985	1.84492246123062	2.04319248826291	2.07021276595745	1.99410526315789	1.8873786407767	1.88164794007491	1.9109131403118	1.75632614807873	1.89780672820634	0.121615298846928
"chr1-86"	"chr1"	86000001	87000000	"."	1000000	1.47826086956522	1.79047619047619	1.96101949025487	1.6128064032016	1.84037558685446	1.86808510638298	2.00421052631579	1.81165048543689	1.73632958801498	1.91239792130661	1.80880974695408	1.80222017406942	0.151456111575283
"chr1-87"	"chr1"	87000001	88000000	"."	1000000	1.5	1.62222222222222	1.43028485757121	1.5967983991996	1.65633802816901	1.66382978723404	1.25642105263158	1.71650485436893	1.7498127340824	1.85449146250928	1.95126522961575	1.63617896614582	0.193487551050606
"chr1-88"	"chr1"	88000001	89000000	"."	1000000	1.4320652173913	1.43809523809524	1.75712143928036	1.41270635317659	1.54553990610329	1.53829787234043	1.44168421052632	1.54368932038835	1.3752808988764	1.98960653303638	1.52952202436739	1.54578263759837	0.180031513902199
"chr1-89"	"chr1"	89000001	90000000	"."	1000000	1.79891304347826	1.76825396825397	1.93703148425787	1.95497748874437	2.0131455399061	2.16382978723404	2.06315789473684	1.86990291262136	2.0689138576779	2.01633259094284	2.12933458294283	1.98034483189058	0.128668236060325
"chr1-90"	"chr1"	90000001	91000000	"."	1000000	1.34510869565217	1.7015873015873	1.50524737631184	1.5447723861931	1.64694835680751	1.58723404255319	1.68589473684211	1.86601941747573	1.86067415730337	1.84409799554566	1.90627928772259	1.68126034127223	0.177914371586133
"chr1-91"	"chr1"	91000001	92000000	"."	1000000	2.50271739130435	2.38412698412698	2.58470764617691	2.34917458729365	2.30046948356808	2.51914893617021	2.61557894736842	2.4252427184466	2.38352059925094	2.15144766146993	2.26616682286785	2.40748197982218	0.140734713917162
"chr1-92"	"chr1"	92000001	93000000	"."	1000000	2.40489130434783	2.34920634920635	2.95052473763118	2.07703851925963	2.60093896713615	2.48297872340426	3.19494736842105	2.5126213592233	2.20074906367041	2.30289532293987	1.93439550140581	2.45556247424053	0.365216522057089
"chr1-93"	"chr1"	93000001	94000000	"."	1000000	2.44021739130435	2.44444444444444	2.74362818590705	2.71935967983992	2.58591549295775	2.61702127659574	2.65094736842105	2.40970873786408	2.30112359550562	2.16629547141797	2.17619493908154	2.47771423484905	0.204069561386838
"chr1-94"	"chr1"	94000001	95000000	"."	1000000	2.46467391304348	2.59047619047619	2.16491754122939	2.60330165082541	2.71924882629108	2.55106382978723	2.016	2.43300970873786	2.37453183520599	2.23162583518931	2.28491096532334	2.40306911782812	0.212717021137387
"chr1-95"	"chr1"	95000001	96000000	"."	1000000	1.48913043478261	1.45714285714286	1.56821589205397	1.34067033516758	1.55305164319249	1.54893617021277	1.50231578947368	1.59805825242718	1.6749063670412	1.84261321455085	1.86129334582943	1.58512130017042	0.156726252460783
"chr1-96"	"chr1"	96000001	97000000	"."	1000000	1.51358695652174	1.25714285714286	1.41829085457271	1.22661330665333	1.41596244131455	1.28723404255319	1.75494736842105	1.59223300970874	1.52659176029963	1.73719376391982	1.4639175257732	1.47215580789826	0.1778086829616
"chr1-97"	"chr1"	97000001	98000000	"."	1000000	0.717391304347826	0.828571428571429	1.01949025487256	0.770385192596298	0.816901408450704	0.9	1.20421052631579	1.07766990291262	1.00973782771536	1.39272457312546	1.02717900656045	0.978569220497136	0.200905938063056
"chr1-98"	"chr1"	98000001	99000000	"."	1000000	0.956521739130435	1.04761904761905	0.956521739130435	1.09454727363682	0.995305164319249	1.07872340425532	1.27157894736842	1.15339805825243	1.02621722846442	1.62731997030438	1.31396438612933	1.13833790532821	0.200193199481354
"chr1-99"	"chr1"	99000001	100000000	"."	1000000	1.375	1.65396825396825	1.67016491754123	1.36268134067034	1.74835680751174	1.82978723404255	1.824	1.61165048543689	1.64494382022472	1.80400890868597	1.85192127460169	1.67058936751667	0.170937692378547
"chr1-100"	"chr1"	100000001	101000000	"."	1000000	1.80978260869565	1.80952380952381	2.11994002998501	1.76688344172086	1.89483568075117	1.91914893617021	2.03957894736842	2	1.86516853932584	2.06978470675575	1.93814432989691	1.9302537300176	0.115637919964571
"chr1-101"	"chr1"	101000001	102000000	"."	1000000	1.34510869565217	1.14285714285714	1.37631184407796	1.22661330665333	1.2169014084507	1.23404255319149	1.32378947368421	1.47378640776699	1.51161048689139	1.65998515219005	1.37956888472352	1.35368866873991	0.151312095446878
"chr1-102"	"chr1"	102000001	103000000	"."	1000000	0.983695652173913	0.822222222222222	1.11244377811094	0.908454227113557	1.00093896713615	1.02765957446809	1.46189473684211	1.10291262135922	1.05767790262172	1.35115070527097	1.14151827553889	1.08823351480525	0.184017115281772
"chr1-103"	"chr1"	103000001	104000000	"."	1000000	0.959239130434783	0.812698412698413	0.986506746626687	0.814407203601801	0.8	0.857446808510638	1.248	0.970873786407767	0.903370786516854	1.21455085374907	1.05716963448922	0.965842123912294	0.154869981319923
