""	"Chr"	"Start"	"End"	"Strand"	"Length"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"mean"	"sd"
"chr1-12"	"chr1"	12000001	13000000	"."	1000000	2.11843079200592	1.97333333333333	2.04214963119073	1.94070080862534	1.92836946277097	1.82063645130183	1.92079207920792	2.00924214417745	2.08674698795181	1.98226685450726	0.0924569747241209
"chr1-13"	"chr1"	13000001	14000000	"."	1000000	2.21909696521095	2.1521568627451	2.12855637513172	2.11320754716981	1.79264844486334	1.82835101253616	1.89185072353389	2.14048059149723	2.09317269076305	2.03994680149458	0.157601718751731
"chr1-14"	"chr1"	14000001	15000000	"."	1000000	2.01776461880089	2.19764705882353	2.03161222339305	2.09164420485175	2.18473138548539	1.92092574734812	1.97867479055598	2.26987060998152	1.98875502008032	2.07573618436895	0.117762467687828
"chr1-15"	"chr1"	15000001	16000000	"."	1000000	2.12583271650629	1.9921568627451	2.02528977871444	2.05390835579515	2.35626767200754	2	1.85529322162986	2.18299445471349	1.90200803212851	2.05486123269338	0.151372627748025
"chr1-16"	"chr1"	16000001	17000000	"."	1000000	2.95484826054774	2.51921568627451	2.78398314014752	2.53099730458221	2.44297832233742	2.62873674059788	2.27570449352628	3.29205175600739	2.70200803212851	2.68116930401661	0.30243778546325
"chr1-17"	"chr1"	17000001	18000000	"."	1000000	2.26498889711325	2.01725490196078	2.11380400421496	2.09703504043127	1.97549481621112	2.07907425265188	2.14927646610815	2.19038817005545	2.05943775100402	2.10519492219454	0.0881812473845655
"chr1-18"	"chr1"	18000001	19000000	"."	1000000	2.18060695780903	2.08	2.01685985247629	2.35849056603774	1.99057492931197	1.96914175506268	1.94821020563595	2.32902033271719	2.0144578313253	2.09859582559735	0.155126978880175
"chr1-19"	"chr1"	19000001	20000000	"."	1000000	2.01776461880089	2.24	2.07165437302424	2.10512129380054	1.89632422243167	1.95756991321119	1.85529322162986	2.18299445471349	1.93413654618474	2.02898429375518	0.131269574509144
"chr1-20"	"chr1"	20000001	21000000	"."	1000000	2.19541080680977	2.12392156862745	1.97260273972603	2.00269541778976	1.97360980207352	2.01735776277724	1.90555978674791	2.09981515711645	1.96947791164659	2.02893899481275	0.0919061863884392
"chr1-21"	"chr1"	21000001	22000000	"."	1000000	2.0059215396003	2.09411764705882	2.06743940990516	1.91913746630728	1.98868991517436	1.85535197685632	1.90708301599391	2.17744916820702	1.89076305220884	1.98955035459022	0.107297900885223
"chr1-22"	"chr1"	22000001	23000000	"."	1000000	2.00296076980015	2.10352941176471	1.96206533192835	2.12129380053908	2.11687087653157	1.93249758919961	2.05483625285605	2.28650646950092	1.97751004016064	2.06200783803123	0.109594553802404
"chr1-23"	"chr1"	23000001	24000000	"."	1000000	1.98667653589933	1.97647058823529	2.18967334035827	1.97843665768194	1.96606974552309	1.80713596914176	1.92079207920792	2.05545286506469	1.85863453815261	1.97103803547388	0.110285906010518
"chr1-24"	"chr1"	24000001	25000000	"."	1000000	1.96891191709845	2.04549019607843	2.18756585879874	2.07277628032345	1.94910461828464	1.94599807135969	2.01675552170602	1.9630314232902	1.90522088353414	2.00609497449708	0.0861074031673205
"chr1-25"	"chr1"	25000001	26000000	"."	1000000	2.06069578090303	2.05176470588235	1.91780821917808	1.90835579514825	1.8435438265787	1.87849566055931	2.03655750190404	2.11829944547135	1.8859437751004	1.96682941230283	0.0994968539739583
"chr1-26"	"chr1"	26000001	27000000	"."	1000000	2.0340488527017	2.10980392156863	2.08640674394099	1.83288409703504	1.93213949104618	1.90549662487946	1.85529322162986	2.15896487985213	1.80722891566265	1.96914074981296	0.130836705648387
"chr1-27"	"chr1"	27000001	28000000	"."	1000000	2.02664692820133	2.21647058823529	2.02107481559536	2.0377358490566	2.06786050895382	1.86692381870781	1.92536176694593	2.22181146025878	1.99036144578313	2.04158302019312	0.117820731707228
"chr1-28"	"chr1"	28000001	29000000	"."	1000000	2.01776461880089	1.92	2.17281348788198	1.82749326145553	1.85862393967955	1.94599807135969	1.83853769992384	1.88354898336414	1.86184738955823	1.92518082800265	0.11044112557993
"chr1-29"	"chr1"	29000001	30000000	"."	1000000	2.01036269430052	2.08627450980392	2.16649104320337	2.03234501347709	2.03958529688973	2.00964320154291	2.05940594059406	2.13493530499076	1.96465863453815	2.05596684881561	0.0640030778860219
"chr1-30"	"chr1"	30000001	31000000	"."	1000000	2.0740192450037	2.0156862745098	2.10958904109589	2.07008086253369	1.88878416588124	1.90935390549662	1.96648895658797	2.2550831792976	2.06265060240964	2.03908180364624	0.111579959701204
"chr1-31"	"chr1"	31000001	32000000	"."	1000000	1.90377498149519	2.11764705882353	2.17281348788198	1.86522911051213	1.93590951932139	1.86306653809065	2.01370906321401	2.02772643253235	1.81847389558233	1.96870556527262	0.122004347690736
"chr1-32"	"chr1"	32000001	33000000	"."	1000000	2.01924500370096	2.10509803921569	2.04214963119073	2.01347708894879	2.04147031102733	1.98457087753134	2.17669459253618	1.97227356746765	1.93413654618474	2.03212396197816	0.0727772492865573
"chr1-33"	"chr1"	33000001	34000000	"."	1000000	2.12583271650629	2.22745098039216	2.08640674394099	1.81401617250674	2.02827521206409	1.91513982642237	1.99086062452399	2.28835489833641	1.89076305220884	2.04078891410021	0.157248145422007
"chr1-34"	"chr1"	34000001	35000000	"."	1000000	2.13471502590674	2.04549019607843	2.13487881981033	2.00808625336927	1.92648444863336	1.88042430086789	2.08377760853008	2.39001848428835	1.96787148594378	2.06352740260314	0.150840077999232
"chr1-35"	"chr1"	35000001	36000000	"."	1000000	2	1.89333333333333	2.07165437302424	2.02156334231806	1.97172478793591	1.7801350048216	1.94516374714395	2.06284658040665	1.95502008032129	1.96682680547834	0.0902724773690217
"chr1-36"	"chr1"	36000001	37000000	"."	1000000	2.09770540340489	2.07843137254902	2.16649104320337	2.18598382749326	2.03958529688973	2.03857280617165	1.9040365575019	2.12014787430684	1.97751004016064	2.06760713574237	0.0894956030880571
"chr1-37"	"chr1"	37000001	38000000	"."	1000000	2.119911176906	1.9921568627451	2.05690200210748	2.11320754716981	2.01131008482564	1.98071359691418	2.03808073115004	2.24953789279113	2.00803212851406	2.06331689145816	0.0856566062166864
"chr1-38"	"chr1"	38000001	39000000	"."	1000000	2.02220577350111	2.0721568627451	2.2781875658588	2.19137466307278	1.99245994344958	1.93056894889103	1.91622239146992	2.28650646950092	1.94859437751004	2.07091966622214	0.14623209602396
"chr1-39"	"chr1"	39000001	40000000	"."	1000000	2.16728349370836	2.04705882352941	2.15595363540569	1.84366576819407	1.96418473138549	1.89778206364513	1.93907083015994	2.1090573012939	1.94859437751004	2.00807233609245	0.116379445019842
"chr1-40"	"chr1"	40000001	41000000	"."	1000000	1.94374537379719	2.04862745098039	2.14752370916754	2.05390835579515	1.99622997172479	1.80135004821601	2.01218583396801	1.91866913123845	1.99036144578313	1.99028903563007	0.0972637940317363
"chr1-41"	"chr1"	41000001	42000000	"."	1000000	2.10362694300518	2.13019607843137	2.11169652265543	2.09703504043127	2.07728557964185	1.96142719382835	1.97258187357197	2.15526802218115	1.96465863453815	2.06375287647608	0.0762983107182415
"chr1-42"	"chr1"	42000001	43000000	"."	1000000	2.0340488527017	2.00156862745098	2.06322444678609	2.06469002695418	2.01696512723845	1.7357762777242	1.99390708301599	2.06099815157116	2.04497991967872	2.00179539034683	0.10319761785339
"chr1-43"	"chr1"	43000001	44000000	"."	1000000	2.13767579570688	2.17098039215686	1.98103266596417	2.05390835579515	2.06409048067861	1.96914175506268	1.98781416603199	2.1996303142329	2.15421686746988	2.07983231034435	0.0886985272940225
"chr1-44"	"chr1"	44000001	45000000	"."	1000000	2.00296076980015	2.0156862745098	2.02107481559536	2.05390835579515	2.0923656927427	2.03857280617165	1.90555978674791	1.90757855822551	1.96787148594378	2.00061983839244	0.0633579385437
"chr1-45"	"chr1"	45000001	46000000	"."	1000000	2.07549962990378	1.91843137254902	2.0927291886196	2.09433962264151	1.92459943449576	1.89971070395371	1.85224676313785	1.96118299445471	2.06425702811245	1.98699963754093	0.0945655525745498
"chr1-46"	"chr1"	46000001	47000000	"."	1000000	2.039970392302	2.0078431372549	2.17070600632244	1.97843665768194	1.96418473138549	1.99614271938284	1.87661843107388	2.22550831792976	1.90682730923695	2.01847085584113	0.114154439324333
"chr1-47"	"chr1"	47000001	48000000	"."	1000000	1.98223538119911	2.29333333333333	2.08429926238145	2.16172506738544	1.93025447690858	2.12150433944069	1.99086062452399	2.02772643253235	2.06104417670683	2.07255367715686	0.109801799742035
"chr1-48"	"chr1"	48000001	49000000	"."	1000000	2.15988156920799	2.03294117647059	1.99578503688093	2.20485175202156	2.07540056550424	2	2.1005331302361	2.13308687615527	2.13654618473896	2.0932251434684	0.0729383556956626
"chr1-49"	"chr1"	49000001	50000000	"."	1000000	2.08142116950407	1.95294117647059	1.93256059009484	2.07816711590297	1.89255419415646	2.03857280617165	1.95277989337395	1.99260628465804	2.21044176706827	2.01467166637787	0.0982136682036099
"chr1-50"	"chr1"	50000001	51000000	"."	1000000	2.04293116210215	2.03921568627451	2.0231822971549	2.01617250673854	2.01696512723845	2.14850530376085	2.06245239908606	1.9815157116451	1.97751004016064	2.03427224824013	0.0508650798173387
"chr1-51"	"chr1"	51000001	52000000	"."	1000000	1.91857883049593	1.87764705882353	2.15173867228662	2.14016172506739	2.0923656927427	1.91321118611379	2.0959634424981	1.92606284658041	1.91646586345382	2.00357725756247	0.112844898137946
"chr1-52"	"chr1"	52000001	53000000	"."	1000000	1.95706883789785	1.87137254901961	1.98735511064278	1.94609164420485	2.0320452403393	1.96142719382835	1.81416603198781	1.8909426987061	2.07710843373494	1.94861974892907	0.0810732431706162
"chr1-53"	"chr1"	53000001	54000000	"."	1000000	2.119911176906	2.05803921568627	2.19599578503688	2.19946091644205	2.07163053722903	1.9556412729026	2.06549885757807	2.09796672828096	2.02409638554217	2.08758231951156	0.0778436960751207
"chr1-54"	"chr1"	54000001	55000000	"."	1000000	2.13619541080681	2.10666666666667	1.95574288724974	2.05390835579515	2.02639019792648	1.86306653809065	2.14318354912414	2.24768946395564	1.8714859437751	2.04492544593226	0.129634961914744
"chr1-55"	"chr1"	55000001	56000000	"."	1000000	2.01036269430052	2.05960784313725	2.29504741833509	2.1078167115903	2.04147031102733	1.93249758919961	1.98324447829398	2.08133086876155	2.10281124497992	2.0682432399584	0.102570473661316
"chr1-56"	"chr1"	56000001	57000000	"."	1000000	2.05625462620281	2.06117647058824	2.14752370916754	1.99460916442049	1.98491988689915	2.0771456123433	2.06245239908606	2.06839186691312	1.94377510040161	2.04402764844692	0.0603856245403519
"chr1-57"	"chr1"	57000001	58000000	"."	1000000	2.04885270170244	2.08156862745098	2.17702845100105	2.17250673854447	2.02639019792648	2.09643201542912	1.8964204112719	2.17190388170055	2.07871485943775	2.08331309827386	0.0895400082689748
"chr1-58"	"chr1"	58000001	59000000	"."	1000000	2.16580310880829	2.04078431372549	2.12223393045311	2.10242587601078	2.01319509896324	1.98457087753134	1.98933739527799	2.15526802218115	1.88755020080321	2.05124098041718	0.0923542486487661
"chr1-59"	"chr1"	59000001	60000000	"."	1000000	2.0340488527017	2.20392156862745	2.33298208640674	2.23180592991914	2.02262016965127	1.9672131147541	1.998476770754	2.181146025878	2.0578313253012	2.11444953822151	0.126101861290384
"chr1-60"	"chr1"	60000001	61000000	"."	1000000	2.11695040710585	1.95450980392157	1.94520547945205	2.07277628032345	2.10744580584354	2.0327868852459	2.03351104341203	2.17560073937153	2.10602409638554	2.06053450456239	0.0765547562924831
"chr1-61"	"chr1"	61000001	62000000	"."	1000000	1.97483345669874	1.94039215686275	2.20653319283456	2.00269541778976	1.97172478793591	1.98457087753134	1.93145468392993	2.06654343807763	1.98714859437751	2.00732184511535	0.084184606455029
"chr1-62"	"chr1"	62000001	63000000	"."	1000000	1.86084381939304	1.99686274509804	2.10958904109589	1.90835579514825	2.09048067860509	1.94406943105111	2.00913937547601	2.21072088724584	1.94538152610442	2.00838258880197	0.110643161201726
"chr1-63"	"chr1"	63000001	64000000	"."	1000000	2.02072538860104	2.21960784313726	1.91570073761855	2.16172506738544	2.14514608859566	2.06171648987464	2.06854531607007	1.8724584103512	1.95823293172691	2.04709536370675	0.117016487945817
"chr1-64"	"chr1"	64000001	65000000	"."	1000000	2.03700962250185	1.96235294117647	2.20021074815595	2.05929919137466	2.04147031102733	2.03085824493732	2.09139375476009	1.93345656192237	2.04819277108434	2.04491601632671	0.0758338009969323
"chr1-65"	"chr1"	65000001	66000000	"."	1000000	2.09326424870466	1.98588235294118	2.06743940990516	1.98382749326146	1.88501413760603	2.0771456123433	2.05940594059406	1.96487985212569	2.13493975903614	2.02797764516863	0.0781079681854457
"chr1-66"	"chr1"	66000001	67000000	"."	1000000	2.1139896373057	2.11450980392157	2.07797681770285	1.78167115902965	1.93025447690858	2.00385728061717	2.003046458492	1.90388170055453	1.90682730923695	1.98177940486322	0.111621326383128
"chr1-67"	"chr1"	67000001	68000000	"."	1000000	1.99259807549963	1.98117647058824	2.01896733403583	2.02156334231806	1.99434495758718	2.1099324975892	1.95734958111196	1.96672828096118	2.00481927710843	2.00527553519997	0.0447908951060702
"chr1-68"	"chr1"	68000001	69000000	"."	1000000	1.99555884529978	1.9921568627451	2.07376185458377	2.07816711590297	1.99434495758718	1.97107039537126	1.91774562071592	1.95378927911275	2.19759036144578	2.01935392141828	0.0844637832817866
"chr1-69"	"chr1"	69000001	70000000	"."	1000000	2.06217616580311	1.85882352941176	1.84826132771338	2.09164420485175	1.97926484448633	2.12150433944069	2.00609291698401	1.97227356746765	2.06746987951807	2.00083453063075	0.0973171380957655
"chr1-70"	"chr1"	70000001	71000000	"."	1000000	1.91265729089563	1.97176470588235	2.03793466807165	1.96765498652291	2.02639019792648	1.96142719382835	1.90860624523991	1.87060998151571	2.09317269076305	1.97224644007178	0.0706566772561451
"chr1-71"	"chr1"	71000001	72000000	"."	1000000	1.92153960029608	1.96862745098039	2.04847207586934	1.92991913746631	2.13006597549482	2.03471552555448	1.95277989337395	1.96487985212569	2.03212851405622	1.99812533613525	0.0679956263967356
"chr1-72"	"chr1"	72000001	73000000	"."	1000000	1.82235381199112	1.72078431372549	1.61222339304531	1.75741239892183	1.9057492931197	1.91321118611379	1.98172124904798	1.70609981515712	2.01927710843374	1.8265369521729	0.13758301143337
"chr1-73"	"chr1"	73000001	74000000	"."	1000000	2.06217616580311	1.81333333333333	1.80821917808219	1.88679245283019	1.91140433553252	2.19093539054966	2.03655750190404	1.8724584103512	1.92610441767068	1.94533124289521	0.12687468012267
"chr1-74"	"chr1"	74000001	75000000	"."	1000000	2.06957809030348	1.94039215686275	1.83140147523709	1.84366576819407	1.96229971724788	1.90356798457088	2.13861386138614	1.95748613678373	1.97429718875502	1.95792248659345	0.0985695925153782
"chr1-75"	"chr1"	75000001	76000000	"."	1000000	1.93042190969652	2.00156862745098	1.92202318229715	1.86792452830189	1.88689915174364	2.02314368370299	2.10814927646611	1.97597042513863	2.07389558232932	1.97666626301414	0.0825601232116436
"chr1-76"	"chr1"	76000001	77000000	"."	1000000	2.07549962990378	2.08627450980392	2.1622760800843	2.05390835579515	2.01131008482564	2.00771456123433	2.01370906321401	2.05914972273567	1.94056224899598	2.04560047295475	0.0623251562156395
"chr1-77"	"chr1"	77000001	78000000	"."	1000000	2.05181347150259	2.16156862745098	1.89251844046365	2.08355795148248	2.11498586239397	1.99614271938284	1.98172124904798	1.96487985212569	2.03052208835341	2.0308566958004	0.082530157810017
"chr1-78"	"chr1"	78000001	79000000	"."	1000000	1.93930421909697	2.09098039215686	1.83983140147524	2.1644204851752	1.96418473138549	2.07521697203472	2.08073115003808	2.07024029574861	2.06746987951807	2.03248661406991	0.0988020706735447
"chr1-79"	"chr1"	79000001	80000000	"."	1000000	1.83715766099186	1.80078431372549	1.6522655426765	1.91913746630728	1.97360980207352	2.13693346190935	1.98172124904798	2.04621072088725	1.914859437751	1.91807551726336	0.142488423078063
"chr1-80"	"chr1"	80000001	81000000	"."	1000000	2	1.87294117647059	1.68387776606955	1.97304582210243	1.94910461828464	2.13114754098361	1.99086062452399	1.69870609981516	2.15421686746988	1.93932227952443	0.165114380559316
"chr1-81"	"chr1"	81000001	82000000	"."	1000000	1.93782383419689	2.03137254901961	1.97471022128556	1.80862533692722	2.05843543826579	2.02121504339441	1.97562833206398	1.85027726432532	2.01767068273092	1.96397318913441	0.0848678932259678
"chr1-82"	"chr1"	82000001	83000000	"."	1000000	1.91857883049593	2.07686274509804	1.87987355110643	2.04312668463612	1.93213949104618	2.14079074252652	1.94668697638995	2.04621072088725	2.06907630522088	2.00592733860081	0.088520965033626
"chr1-83"	"chr1"	83000001	84000000	"."	1000000	2.10362694300518	2.03137254901961	2.1390937829294	2.04851752021563	2.03581526861451	2.12536162005786	2.08834729626809	2.02402957486137	2.11887550200803	2.07944889521997	0.0448984788913241
"chr1-84"	"chr1"	84000001	85000000	"."	1000000	1.96150999259808	2.00156862745098	2.19810326659642	1.98921832884097	1.96041470311027	2.0327868852459	2.02437166793602	1.91312384473198	2.08674698795181	2.01864936716249	0.0836834511087795
"chr1-85"	"chr1"	85000001	86000000	"."	1000000	1.93782383419689	1.81333333333333	1.93677555321391	1.99191374663073	1.8114985862394	1.87463837994214	1.91165270373191	1.92051756007394	2.04979919678715	1.91643921046104	0.0772838680259503
"chr1-86"	"chr1"	86000001	87000000	"."	1000000	2.06513693560326	2.03294117647059	2.00421496311907	2.06199460916442	2.09048067860509	2.08100289296046	2.00761614623001	1.9630314232902	1.82329317269076	2.0144124442371	0.0827026133659407
"chr1-87"	"chr1"	87000001	88000000	"."	1000000	1.97927461139896	2.09882352941176	2.04847207586934	2.22641509433962	2.124410933082	2.19093539054966	2.02437166793602	2.16820702402957	1.99518072289157	2.09512122772317	0.0888972351280558
"chr1-88"	"chr1"	88000001	89000000	"."	1000000	1.88304959289415	1.94666666666667	1.94309799789252	1.90566037735849	2.04524033930254	1.85342333654773	2.14775323686215	1.88724584103512	2.0144578313253	1.95851057998719	0.0945067798337847
"chr1-89"	"chr1"	89000001	90000000	"."	1000000	2.04293116210215	2.01725490196078	2.14541622760801	2.14016172506739	2.16399622997172	2.11378977820636	2.05940594059406	2.17560073937153	2.08192771084337	2.10449826841393	0.0565383986243626
"chr1-90"	"chr1"	90000001	91000000	"."	1000000	1.99259807549963	1.8243137254902	1.96838777660695	2.09164420485175	1.96041470311027	1.97107039537126	1.97867479055598	2.00369685767098	2.13815261044177	1.99210590439987	0.0878322909158962
"chr1-91"	"chr1"	91000001	92000000	"."	1000000	1.89637305699482	1.90588235294118	1.9768177028451	1.9811320754717	1.97360980207352	2.09836065573771	2.05635948210206	2.10720887245841	2.01285140562249	2.00095504513855	0.075571519608714
"chr1-92"	"chr1"	92000001	93000000	"."	1000000	1.89045151739452	2.03607843137255	2.14752370916754	1.79514824797844	2.08294062205467	1.87270973963356	1.87509520182788	1.89833641404806	2.04016064257028	1.95982716956083	0.118920577105336
"chr1-93"	"chr1"	93000001	94000000	"."	1000000	2.10510732790526	2.12862745098039	2.19178082191781	1.89487870619946	2.05843543826579	2.00964320154291	2.02284843869002	1.95009242144177	2.19919678714859	2.06229006601022	0.104104718924381
"chr1-94"	"chr1"	94000001	95000000	"."	1000000	2.01184307920059	1.98588235294118	2.05900948366702	2.13477088948787	2.06032045240339	1.88042430086789	1.94211728865194	2.02033271719039	2.09317269076305	2.02087480613037	0.0778178508498067
"chr1-95"	"chr1"	95000001	96000000	"."	1000000	2.07846039970392	2.0078431372549	1.90937829293994	1.95687331536388	1.99811498586239	1.74156219864995	2.02132520944402	2.11090573012939	2.09156626506024	1.99066994826763	0.113709708209829
"chr1-96"	"chr1"	96000001	97000000	"."	1000000	2.00296076980015	2.10352941176471	1.86512118018967	2.05390835579515	1.86993402450518	1.97685631629701	2.05940594059406	1.92421441774492	2.08674698795181	1.99363082273807	0.0906302671546968
"chr1-97"	"chr1"	97000001	98000000	"."	1000000	1.95854922279793	1.86196078431373	2.0927291886196	1.95148247978437	2.02639019792648	2.21022179363549	2.05026656511805	1.80221811460259	2.12208835341365	2.00843407780132	0.128707543503641
"chr1-98"	"chr1"	98000001	99000000	"."	1000000	1.94226498889711	1.87294117647059	2.07165437302424	2.04851752021563	2.22054665409991	1.98842815814851	2.03046458492003	1.90018484288355	2.02248995983936	2.01083247316655	0.103731131891281
"chr1-99"	"chr1"	99000001	100000000	"."	1000000	1.98075499629904	1.92627450980392	1.99789251844046	2.22641509433962	2.01885014137606	1.99807135969142	2.08530083777609	1.83179297597043	2.03052208835341	2.01065272467227	0.107768972127844
"chr1-100"	"chr1"	100000001	101000000	"."	1000000	2.1139896373057	2.11294117647059	1.95152792413066	1.95148247978437	1.90386427898209	2.05978784956606	1.94668697638995	2.00554528650647	2.0433734939759	2.00991101145687	0.0767624076368509
"chr1-101"	"chr1"	101000001	102000000	"."	1000000	2.01184307920059	2.05019607843137	2	1.8355795148248	1.90009425070688	1.89392478302797	2.07616146230008	1.86136783733826	2.06907630522088	1.96647147900565	0.093941894597059
"chr1-102"	"chr1"	102000001	103000000	"."	1000000	2.02368615840118	1.93411764705882	1.75553213909378	1.83288409703504	1.86804901036758	1.9344262295082	2.03960396039604	1.65619223659889	2.09638554216867	1.90454189118091	0.142019774745208
"chr1-103"	"chr1"	103000001	104000000	"."	1000000	1.70688378978534	2.12549019607843	2.07165437302424	1.91374663072776	2.08671065032988	1.93635486981678	2.37928408225438	1.83733826247689	2.085140562249	2.01584482408252	0.194008047370846
"chr1-104"	"chr1"	104000001	105000000	"."	1000000	1.89341228719467	1.8556862745098	1.7218124341412	1.92722371967655	1.84165881244109	1.86692381870781	1.91165270373191	1.76894639556377	1.93092369477912	1.85758223786066	0.0716506109846508
"chr1-105"	"chr1"	105000001	106000000	"."	1000000	1.81643227239082	1.87450980392157	1.70284510010537	1.82210242587601	1.88124410933082	1.9556412729026	1.98629093678599	1.67097966728281	2	1.85667173206622	0.116736629767493
"chr1-106"	"chr1"	106000001	107000000	"."	1000000	2.03700962250185	1.97333333333333	1.80189673340358	1.94070080862534	2.07540056550424	2.26036644165863	2.05940594059406	1.86136783733826	2.08995983935743	2.01104901359075	0.136042290993661
"chr1-107"	"chr1"	107000001	108000000	"."	1000000	1.9659511472983	2.00627450980392	2.06743940990516	2.01347708894879	2.05655042412818	2.04243008678881	2.00609291698401	2.1275415896488	1.90200803212851	2.02086280062605	0.0641441355051614
"chr1-108"	"chr1"	108000001	109000000	"."	1000000	2.1880088823094	2.04705882352941	2.00421496311907	2.16172506738544	1.97549481621112	1.57762777242044	1.84006092916984	1.78743068391867	1.89397590361446	1.94173309351976	0.191763355699104
"chr1-109"	"chr1"	109000001	110000000	"."	1000000	2.00148038490007	2.06117647058824	2.08008429926238	1.99460916442049	1.92459943449576	2.11764705882353	1.97867479055598	1.94639556377079	1.96787148594378	2.00805985030678	0.0647004393260762
"chr1-110"	"chr1"	110000001	111000000	"."	1000000	1.98223538119911	2.08941176470588	2.29715489989463	2.14285714285714	2.23751178133836	1.86306653809065	1.96191926884996	2.2365988909427	2.04979919678715	2.09561720718506	0.145691088824391
"chr1-111"	"chr1"	111000001	112000000	"."	1000000	1.95410806809771	2.1678431372549	2.02739726027397	2.04043126684636	2.07917059377945	2.13307618129219	2.08987052551409	1.97966728280961	1.90682730923695	2.04204351390058	0.0850751915894785
"chr1-112"	"chr1"	112000001	113000000	"."	1000000	1.93930421909697	2.05176470588235	2.08219178082192	1.93800539083558	2.06786050895382	1.94985535197686	1.93602437166794	1.99075785582255	1.98875502008032	1.99383546723759	0.0592079513671335
"chr1-113"	"chr1"	113000001	114000000	"."	1000000	1.97779422649889	2.09254901960784	1.97892518440464	2.14824797843666	1.95852968897267	2	1.99238385376999	1.87615526802218	1.91164658634538	1.99291464511758	0.0836285266887025
"chr1-114"	"chr1"	114000001	115000000	"."	1000000	2.07698001480385	2.22901960784314	2.07586933614331	2.09433962264151	2.16588124410933	1.98457087753134	2.1051028179741	1.97412199630314	2.03855421686747	2.08271552602413	0.0809418354752829
"chr1-115"	"chr1"	115000001	116000000	"."	1000000	2.02072538860104	2.1443137254902	2.28029504741834	1.98652291105121	1.98868991517436	1.92092574734812	1.91774562071592	2.1996303142329	2.15903614457831	2.06865386829004	0.13032361257477
"chr1-116"	"chr1"	116000001	117000000	"."	1000000	2.02072538860104	2.05176470588235	2.29504741833509	2.14016172506739	2.07163053722903	1.99228543876567	2.05940594059406	1.99445471349353	1.94538152610442	2.0634285993414	0.103278852995094
"chr1-117"	"chr1"	117000001	118000000	"."	1000000	1.95558845299778	2.05019607843137	1.96417281348788	2.05390835579515	2.06409048067861	1.99421407907425	2.01370906321401	2.1460258780037	1.94698795180723	2.02098812816555	0.0644011408177379
